Left_Optic_Radiation_V1V2,Right_Optic_Radiation_V1V2,Left_MR,Right_MR,Left_DT,Right_DT,Left_AR,Right_AR,Left_SR,Right_SR
681,585,1753,1905,1273,1789,313,325,1149,1346
718,606,1807,2015,1320,1936,365,362,1136,1371
784,643,1957,2139,1384,2151,446,432,1145,1406
812,671,2108,2286,1471,2307,526,511,1168,1460
856,709,2231,2410,1522,2453,601,568,1174,1500
904,740,2311,2525,1552,2545,685,635,1186,1520
924,766,2406,2615,1601,2649,744,692,1195,1573
956,795,2480,2668,1663,2738,799,773,1221,1602
985,828,2553,2738,1687,2770,872,809,1227,1618
1025,864,2595,2753,1736,2847,899,872,1226,1646
1084,904,2623,2804,1744,2851,963,912,1276,1657
1125,935,2655,2835,1784,2863,1021,943,1259,1671
1182,996,2680,2874,1781,2878,1083,978,1268,1701
1213,1033,2705,2851,1760,2841,1123,1010,1286,1743
1270,1072,2708,2887,1811,2854,1195,1034,1289,1721
1346,1113,2718,2913,1814,2841,1239,1058,1299,1707
1390,1165,2742,2953,1779,2854,1275,1081,1308,1734
1444,1177,2736,2945,1773,2839,1331,1101,1309,1754
1492,1207,2794,2982,1749,2826,1372,1128,1325,1761
1550,1267,2775,2980,1760,2787,1399,1165,1333,1777
1575,1270,2807,3010,1742,2775,1466,1190,1330,1779
1581,1309,2811,2995,1730,2686,1467,1209,1359,1797
1654,1348,2846,3025,1720,2689,1488,1232,1367,1778
1682,1343,2864,3029,1690,2622,1553,1286,1382,1828
1710,1364,2865,3028,1664,2622,1593,1321,1393,1846
1745,1381,2859,3054,1643,2571,1628,1344,1439,1878
1744,1389,2899,3054,1617,2569,1650,1370,1461,1884
1761,1401,2918,3067,1597,2524,1688,1428,1479,1934
1770,1420,2895,3071,1582,2520,1692,1434,1493,1972
1783,1408,2938,3102,1561,2481,1724,1469,1501,1991
1794,1418,2987,3141,1541,2465,1764,1505,1533,2014
1761,1432,2966,3116,1532,2421,1777,1525,1570,2070
1802,1432,3004,3167,1483,2402,1827,1548,1572,2101
1799,1465,3035,3194,1467,2405,1824,1580,1611,2134
1847,1470,3068,3223,1456,2392,1850,1601,1637,2190
1821,1479,3111,3234,1440,2364,1885,1617,1651,2215
1824,1486,3133,3279,1402,2317,1904,1649,1666,2266
1790,1495,3164,3295,1374,2300,1926,1657,1687,2305
1811,1539,3210,3312,1345,2281,1932,1691,1734,2335
1822,1539,3234,3344,1336,2247,1930,1702,1775,2382
1831,1549,3242,3387,1321,2201,1977,1736,1796,2426
1857,1555,3321,3406,1290,2188,1972,1750,1811,2430
1856,1570,3334,3464,1273,2212,1956,1761,1832,2464
1880,1560,3374,3459,1238,2156,1983,1783,1858,2499
1893,1570,3369,3491,1226,2135,1998,1798,1887,2517
1905,1572,3443,3511,1215,2118,2024,1776,1899,2520
1894,1592,3459,3567,1193,2051,2008,1782,1934,2583
1907,1594,3501,3547,1180,2039,2015,1785,1953,2558
1896,1611,3519,3638,1172,1987,1994,1819,1978,2616
1906,1581,3543,3629,1169,1976,2012,1811,1984,2643
