HAL7,HAL8,HAL9,HAL10,HAL11,HAL12,HAL13,HAL14,HAL15,HAL16,HAL17,HAL18,HAL19,HAL20,HAL21,HAL22,HAL23,HAL24,HAL25,HAL26,HAL27,HAL28,HAL29,HAL30,HAL31,HAL32,HAL33,HAL34,HAL35,HAL36,HAL37,HAL38,HAL39,HAL40,HAL41,HAL42,HAL43,HAL44,HAL45,HAL46
529,680,642,528,552,844,523,477,654,579,566,523,597,547,341,481,486,657,716,622,694,494,648,693,629,322,220,620,671,543,614,522,694,683,681,603,607,542,663,639
471,634,641,481,516,803,493,460,611,547,532,496,555,506,304,466,483,617,685,613,661,478,617,645,621,334,229,580,632,538,575,492,683,652,672,594,588,514,629,609
447,652,616,471,478,791,486,439,580,522,527,455,518,495,304,456,461,594,665,603,669,466,611,648,617,328,218,580,603,533,590,482,671,629,664,600,593,526,642,616
417,637,602,461,456,784,461,422,555,511,498,456,501,468,313,440,460,580,643,596,678,460,608,645,595,342,234,565,614,548,590,482,649,629,683,616,600,537,640,620
408,626,605,440,446,767,450,423,522,496,486,428,490,456,302,426,462,566,645,587,667,451,579,632,602,340,238,556,605,556,599,476,639,629,674,638,629,545,638,611
381,636,602,430,417,770,451,431,508,468,482,416,467,455,301,421,452,569,633,587,664,447,581,624,601,366,241,539,608,550,604,466,650,623,683,641,630,547,660,610
367,640,585,418,413,775,435,439,486,451,448,408,451,437,308,434,459,542,637,586,668,439,560,606,602,374,248,547,593,548,597,466,652,605,693,654,638,548,659,611
364,639,571,396,407,762,429,420,479,446,445,396,454,426,294,407,454,539,638,588,677,434,559,599,601,370,255,529,589,566,608,456,645,616,705,664,651,556,687,615
347,633,570,396,403,777,412,421,458,434,424,387,429,413,281,394,448,519,636,591,662,419,557,610,607,387,252,495,578,572,608,459,653,596,747,653,659,561,697,601
328,621,552,378,381,761,399,421,443,418,403,356,402,380,285,393,434,516,629,597,641,396,543,579,612,385,258,498,556,567,604,449,674,607,712,663,665,556,683,590
312,614,540,359,369,775,393,416,408,401,387,344,390,362,268,373,434,512,623,613,639,384,511,574,608,394,258,492,538,563,615,439,662,591,743,660,674,545,676,556
302,611,521,342,347,782,356,405,394,375,359,305,375,350,263,358,421,507,619,616,608,375,496,543,614,395,256,473,538,553,594,423,656,606,729,653,669,540,661,549
289,602,513,333,329,777,342,398,373,365,344,293,356,335,245,348,425,482,640,614,605,357,490,527,615,388,266,451,511,528,597,404,650,600,725,653,675,507,649,528
280,576,485,315,301,780,333,388,353,344,331,296,333,320,241,332,408,474,623,603,592,339,465,517,611,381,252,435,484,530,584,408,641,588,706,605,650,496,620,476
274,546,475,322,288,793,314,380,344,334,309,275,322,295,238,323,403,461,622,597,576,328,456,488,596,388,271,420,462,504,574,378,644,561,713,587,628,467,614,461
264,523,471,293,279,792,302,365,319,315,292,258,294,286,234,317,394,454,613,584,555,310,428,477,588,389,242,394,438,497,542,366,605,557,694,553,621,440,586,446
256,503,449,285,272,790,304,372,323,312,292,253,291,292,229,309,392,448,613,569,539,289,406,464,584,393,253,382,412,467,535,348,589,517,664,540,604,414,558,419
266,481,450,285,268,783,289,366,313,292,278,245,285,272,221,289,372,439,621,543,523,291,403,451,567,391,257,358,399,435,520,334,579,507,651,521,578,394,537,406
266,473,436,282,261,794,281,363,302,292,276,237,268,263,214,273,362,430,607,536,507,281,378,424,541,389,254,350,385,429,503,330,559,481,649,496,566,380,509,384
261,447,440,270,243,789,277,361,301,275,270,240,272,268,217,280,364,424,610,520,502,281,374,414,525,371,260,357,373,412,490,320,527,456,631,479,539,368,503,382
264,438,442,275,246,810,276,360,295,272,268,233,263,261,212,284,358,421,625,508,486,281,356,396,497,383,270,369,359,402,486,316,519,433,605,451,521,351,485,370
277,440,434,276,257,800,264,359,304,279,274,236,255,265,219,273,350,434,615,483,494,289,361,393,499,371,252,349,361,383,473,314,498,419,600,457,499,350,471,381
264,415,456,286,255,805,273,363,296,267,264,228,257,271,216,277,357,438,616,446,482,292,367,371,479,374,265,354,349,374,472,313,481,399,580,429,493,342,476,386
280,419,455,284,257,823,279,377,303,265,266,232,264,272,217,273,369,434,620,450,483,294,353,379,463,378,256,360,358,373,481,310,475,381,564,431,461,339,481,388
283,420,477,290,258,832,265,378,282,274,273,235,254,279,224,285,360,450,615,428,484,321,367,364,459,378,255,361,369,373,466,305,461,371,565,427,459,338,465,388
279,421,472,288,249,826,278,385,298,266,277,244,253,265,230,288,356,449,625,411,497,325,373,379,442,366,258,380,382,376,476,297,458,358,560,437,448,340,489,409
279,432,498,295,258,835,287,387,311,275,276,248,257,285,234,297,369,477,620,402,506,333,386,380,441,367,261,369,380,380,481,308,452,351,560,429,444,344,487,408
293,430,501,304,260,855,286,398,308,269,278,243,262,272,228,292,374,479,619,390,523,347,396,387,424,378,252,394,398,369,477,322,468,359,549,446,451,346,509,419
278,445,522,307,264,838,287,409,319,268,279,246,264,281,235,302,380,476,611,393,531,348,401,399,425,366,249,382,402,381,477,330,470,350,556,452,444,355,517,417
