HAL53,HAL54,HAL55,HAL56,HAL57,HAL58,HAL59,HAL60,HAL61,HAL62,HAL63,HAL64,HAL65,HAL66,HAL67,HAL68,HAL69,HAL70,HAL71,HAL72,HAL73,HAL74,HAL75,HAL76,HAL77,HAL78,HAL79,HAL80,HAL81,HAL82,HAL83,HAL84,HAL85,HAL86,HAL87,HAL88,HAL89,HAL90,HAL91,HAL92
629,892,867,765,436,1011,748,345,606,720,589,534,763,746,562,625,634,610,743,771,728,674,743,752,782,757,271,731,715,773,775,706,793,752,824,812,799,783,757,773
605,890,840,738,436,983,721,348,574,715,578,503,717,740,531,601,612,605,717,785,719,652,724,727,773,763,298,721,716,770,759,678,807,758,834,837,814,823,787,773
565,908,836,708,400,975,721,336,549,702,561,510,685,730,529,582,601,582,698,803,722,624,718,720,772,784,291,715,694,762,754,683,801,774,872,855,842,834,834,773
555,901,818,704,406,972,701,328,549,709,572,494,668,728,506,588,579,578,712,821,699,629,714,738,777,813,305,699,703,754,747,656,793,786,895,873,853,862,881,761
551,924,812,700,384,948,704,347,546,683,552,468,651,716,498,562,581,553,724,844,714,621,701,724,805,824,322,710,684,772,735,654,790,794,924,877,877,874,916,773
529,925,826,710,380,949,687,330,549,686,524,464,650,728,491,555,555,551,718,857,717,633,688,736,804,827,340,707,705,761,745,653,799,809,941,893,897,907,958,780
520,933,819,667,369,941,674,335,546,669,525,443,630,702,468,559,551,527,700,863,737,618,676,733,812,861,354,698,706,761,753,656,804,802,954,918,899,930,990,788
501,964,817,671,352,928,671,339,515,655,507,443,615,703,455,555,527,524,697,880,718,612,677,721,801,845,357,697,705,772,749,635,807,806,973,916,928,923,998,782
487,968,813,656,356,937,658,329,532,660,505,434,605,717,448,550,519,524,682,875,717,596,665,735,797,848,360,686,709,766,746,652,804,802,985,928,935,900,1029,770
468,964,803,628,334,934,640,318,531,637,473,408,581,707,442,522,515,517,680,897,714,574,670,737,791,849,367,667,688,777,731,650,790,830,1004,939,937,919,1068,785
459,979,787,612,339,917,620,306,529,621,463,401,544,676,419,529,499,486,682,884,704,566,640,715,787,872,379,646,680,759,729,631,796,814,1018,947,947,918,1056,759
