HAL7,HAL8,HAL9,HAL10,HAL11,HAL12,HAL13,HAL14,HAL15,HAL16,HAL17,HAL18,HAL19,HAL20,HAL21,HAL22,HAL23,HAL24,HAL25,HAL26,HAL27,HAL28,HAL29,HAL30,HAL31,HAL32,HAL33,HAL34,HAL35,HAL36,HAL37,HAL38,HAL39,HAL40,HAL41,HAL42,HAL43,HAL44,HAL45,HAL46
605,787,786,562,596,889,658,487,669,683,607,565,561,665,525,691,774,614,645,682,755,596,724,748,763,275,436,734,746,649,720,761,795,775,755,689,543,361,729,714
603,778,797,550,584,888,655,479,657,693,601,554,538,656,512,665,767,589,626,671,759,584,718,754,738,277,463,738,722,631,731,768,784,744,714,661,537,357,730,708
611,799,797,545,605,874,637,466,658,695,587,539,531,658,516,652,741,571,608,694,776,594,725,776,759,271,477,760,730,644,741,772,801,756,729,675,554,358,722,720
605,797,797,546,582,860,634,446,638,670,577,526,534,657,527,650,731,577,594,705,783,572,728,787,783,288,469,751,719,649,761,766,826,771,741,671,578,365,756,731
596,812,805,539,589,863,637,456,631,681,571,502,532,641,503,640,704,547,590,723,789,578,712,786,777,302,491,760,729,650,772,783,814,769,755,664,570,369,775,727
594,804,812,552,584,868,606,444,641,671,555,491,528,627,507,638,695,551,584,731,815,567,718,793,792,305,508,757,718,631,782,798,835,768,752,681,596,369,802,744
584,820,810,542,585,862,612,432,610,662,532,477,505,629,494,636,685,531,577,726,801,557,731,806,767,315,530,776,731,618,780,799,811,779,766,681,589,383,810,742
562,823,811,538,564,847,600,408,586,636,523,471,501,623,477,626,678,527,561,741,808,556,718,799,786,318,530,761,714,621,803,804,831,767,767,694,597,374,823,722
557,830,821,526,551,840,574,399,584,627,518,444,486,607,474,600,681,505,573,757,804,546,701,796,766,312,559,738,710,611,788,791,845,759,780,680,605,371,833,711
522,806,798,514,541,847,573,388,570,619,500,443,465,581,465,592,663,495,563,748,795,524,698,783,763,319,571,724,727,605,787,778,835,764,787,704,633,372,838,686
527,825,797,494,510,806,562,380,548,597,493,417,465,560,450,573,643,479,554,758,783,516,691,785,776,301,590,723,687,591,807,793,842,744,790,699,628,367,828,671
510,797,790,484,494,823,541,356,533,577,465,395,435,555,442,566,630,463,545,750,784,480,680,751,761,311,575,700,682,601,789,772,833,748,789,711,621,358,823,656
487,764,762,473,476,812,518,340,509,533,438,387,431,538,426,548,601,451,537,754,771,471,661,733,734,303,589,672,657,588,794,745,824,739,806,705,630,352,808,630
463,739,763,456,457,793,503,333,492,531,433,378,403,523,403,537,585,432,524,724,743,455,637,725,732,317,594,641,650,567,764,736,809,728,786,694,630,346,778,597
464,729,731,437,443,786,471,311,467,507,414,367,396,501,381,511,557,422,519,717,727,425,620,694,695,307,580,607,631,560,732,715,802,701,801,682,618,328,757,564
460,686,713,419,437,779,447,300,435,496,404,341,380,477,368,506,542,408,503,687,711,412,597,678,673,297,607,590,579,547,724,683,769,674,787,678,600,294,745,537
449,674,678,419,430,771,439,289,417,486,389,332,359,457,367,492,530,391,501,682,681,396,562,655,644,293,601,562,577,523,700,662,742,669,762,662,596,297,724,523
427,639,673,427,423,770,412,276,403,458,375,326,366,445,338,462,514,374,488,650,661,372,542,620,618,287,607,534,567,506,685,645,732,645,760,642,597,282,700,499
426,610,643,434,418,733,400,273,400,449,382,317,344,430,335,481,502,350,475,621,656,370,523,598,598,291,605,531,537,486,651,612,704,612,754,625,572,270,696,467
425,591,624,420,416,723,394,269,388,428,352,300,332,415,323,443,478,355,472,602,629,349,504,573,578,286,611,500,511,473,650,597,692,602,737,610,567,263,675,474
417,581,624,433,424,693,391,265,377,425,345,288,328,411,312,452,461,352,456,594,622,334,479,570,574,283,592,487,497,469,617,584,684,596,732,579,558,254,658,455
438,555,610,420,439,692,373,252,375,413,343,302,332,398,306,431,456,333,442,584,605,336,468,540,549,294,600,483,480,449,602,556,648,573,730,571,552,242,639,458
451,553,616,430,427,678,373,261,370,409,334,291,319,392,298,443,449,329,434,569,608,334,456,515,526,282,592,478,465,445,579,550,633,563,711,564,535,253,620,449
449,546,610,432,417,667,363,251,370,402,329,289,327,388,303,425,443,314,431,560,603,327,438,509,516,273,587,470,443,452,565,549,623,553,687,551,534,252,624,459
452,531,612,440,425,643,355,257,371,413,329,298,327,384,299,415,433,313,422,553,603,327,457,499,520,287,589,481,443,443,580,543,607,545,674,525,512,254,626,451
458,533,626,442,431,633,359,249,380,406,328,288,327,393,299,422,427,318,390,548,607,326,456,495,520,284,579,486,449,430,568,542,595,525,661,521,501,245,640,460
458,532,616,465,438,626,355,253,378,419,327,293,321,386,295,442,429,312,385,547,613,334,438,480,522,272,579,478,444,437,573,539,592,530,647,518,507,247,625,449
482,528,621,462,454,622,356,250,376,410,340,296,332,388,297,439,421,318,385,534,614,333,455,497,514,272,581,473,448,428,587,550,596,527,624,519,504,237,638,463
475,537,627,469,467,614,360,247,377,425,342,288,332,391,293,444,420,328,359,545,611,330,446,493,531,286,570,484,433,440,578,529,578,517,648,503,498,236,627,453
478,536,636,483,475,598,361,247,368,414,345,298,337,399,309,442,425,320,345,534,617,328,462,497,531,288,579,470,430,439,577,525,594,526,645,486,482,251,638,460
492,550,639,488,466,610,360,251,369,424,356,305,345,395,308,463,410,338,343,540,627,328,457,505,528,283,591,473,433,439,582,540,574,540,635,502,486,243,655,453
474,557,653,493,486,595,373,258,372,424,339,300,341,392,302,450,423,338,338,559,634,336,460,510,531,288,588,473,428,446,590,533,581,540,638,503,482,260,641,453
468,551,659,510,503,595,374,267,372,440,347,293,365,385,306,467,435,340,331,548,627,323,445,508,525,286,598,475,421,439,588,536,569,536,645,492,480,257,651,448
491,557,651,522,509,609,377,272,361,423,355,303,358,390,313,472,441,353,309,537,628,340,466,503,535,276,585,472,424,452,587,532,569,538,653,511,471,264,659,465
493,546,644,544,517,600,368,281,375,439,337,296,371,398,309,484,441,353,307,552,639,332,433,509,537,293,602,467,413,458,587,525,563,531,661,512,474,248,667,476
493,550,656,539,513,614,375,274,364,437,349,305,365,383,317,485,446,371,305,533,639,344,458,492,544,289,590,460,427,463,599,529,577,537,648,525,475,259,672,477
484,554,661,554,533,613,387,284,384,441,342,306,384,394,310,498,449,370,296,532,642,338,461,500,539,283,606,463,421,462,580,524,567,549,671,543,482,256,688,471
470,559,658,572,531,610,384,306,394,456,354,299,382,395,323,507,452,397,286,537,633,331,449,490,543,293,613,466,414,468,590,513,565,548,662,533,483,268,709,485
479,560,686,565,553,611,388,299,384,461,345,303,381,378,315,514,463,396,278,526,641,346,447,510,556,287,616,476,418,480,571,517,562,537,676,540,495,267,715,488
469,559,685,587,555,637,392,302,384,458,344,299,407,399,313,536,468,413,266,528,625,349,462,506,558,297,602,467,416,491,577,513,563,548,681,545,493,282,751,497
477,572,694,605,578,633,390,314,393,468,355,309,407,403,327,538,478,432,266,525,633,352,454,488,562,297,612,464,406,481,581,507,554,537,692,565,486,292,763,516
478,576,707,617,590,624,385,313,399,473,348,318,403,405,330,541,463,429,245,519,645,358,464,494,556,299,612,480,419,511,576,514,550,549,684,566,495,307,811,527
476,598,718,626,603,645,404,325,417,482,363,317,423,410,339,540,475,446,247,532,657,376,455,492,566,293,615,480,407,512,580,509,554,557,679,571,493,313,846,555
484,605,732,622,617,667,394,347,410,502,365,325,427,412,330,566,481,461,240,528,660,371,468,483,581,294,623,483,406,526,566,508,543,557,707,578,512,324,857,574
486,618,739,667,609,683,402,354,423,519,365,315,420,406,342,567,491,467,246,528,658,382,457,480,575,288,631,480,402,525,572,514,532,560,694,601,504,326,901,608
482,638,753,649,619,682,395,368,412,526,376,324,425,421,353,593,505,488,248,522,673,391,476,492,584,306,615,487,423,541,593,511,532,552,687,615,532,337,922,645
500,650,769,658,621,697,415,374,420,529,364,319,431,433,358,591,511,480,242,529,658,405,472,499,579,295,634,485,411,564,587,519,527,575,726,632,541,344,941,685
507,669,808,666,629,700,413,384,424,541,368,314,444,438,358,605,510,489,237,537,675,409,472,505,594,305,641,499,431,559,579,505,523,582,714,647,549,343,956,698
514,707,814,679,647,718,420,401,424,560,373,322,456,443,372,611,520,517,237,527,683,419,486,497,619,298,632,512,421,587,570,502,522,574,731,655,559,338,987,737
529,736,852,708,641,724,428,406,421,565,380,317,461,451,380,617,528,530,234,526,692,419,480,490,614,301,656,539,450,615,590,506,526,579,735,696,565,336,994,777
529,759,889,711,642,752,433,409,431,570,375,315,457,455,370,628,541,533,236,541,698,431,489,500,612,306,648,540,460,612,581,497,522,593,733,709,576,347,1000,825
538,804,923,732,657,754,434,412,449,595,387,325,477,455,390,629,544,543,236,533,715,456,481,514,638,305,678,563,465,646,565,510,527,603,738,720,594,343,990,846
539,834,954,746,664,776,431,432,460,608,385,332,477,450,400,636,552,562,233,534,732,462,505,525,649,310,656,568,488,669,572,501,531,616,758,764,605,351,1007,877
533,855,1013,759,661,792,445,433,468,637,381,336,486,466,396,648,564,563,227,551,739,474,513,532,670,312,672,598,500,687,578,503,515,628,760,803,611,353,1008,905
541,868,1033,757,672,799,450,442,481,645,382,327,478,474,396,672,575,561,226,554,768,479,523,543,670,314,685,631,515,717,564,510,532,648,766,800,610,354,996,938
551,911,1074,779,691,808,455,441,517,658,388,342,490,482,407,681,580,573,235,576,792,498,526,552,688,314,700,649,541,709,555,531,530,659,800,826,632,354,1012,956
545,927,1103,785,678,841,460,425,537,678,386,357,498,483,413,688,573,571,239,570,805,522,534,574,693,310,695,671,570,766,565,541,541,682,812,839,633,363,1014,990
537,969,1165,801,685,831,464,443,547,709,384,361,500,495,418,713,585,580,236,599,816,540,545,584,707,316,698,733,594,766,562,547,559,702,805,802,633,361,1020,994
557,989,1209,808,691,849,464,438,593,733,384,369,495,501,424,722,579,587,232,592,849,550,551,601,708,325,711,766,609,796,570,544,542,717,855,836,648,354,1010,1018
529,1044,1239,816,717,874,475,443,608,773,395,377,508,516,429,728,591,577,235,607,870,585,579,624,717,315,704,811,632,790,580,564,564,739,865,833,655,350,1015,1003
528,1047,1278,832,701,875,482,433,642,788,405,391,510,530,425,754,584,587,235,607,870,592,572,632,714,329,709,846,643,802,578,589,581,773,863,850,654,341,1004,1009
519,1086,1328,863,717,882,497,432,661,807,412,388,528,551,426,763,582,591,238,611,889,619,594,651,729,332,701,917,677,813,589,606,593,784,885,825,648,344,981,989
535,1119,1366,876,725,901,503,427,696,852,420,409,537,561,438,797,594,594,241,594,921,639,608,655,720,340,703,938,686,813,603,621,615,786,908,833,658,340,968,994
525,1153,1392,885,737,904,499,419,720,890,440,404,558,586,437,811,580,587,234,591,903,663,635,682,725,346,699,996,710,805,610,646,629,806,912,827,653,341,937,967
537,1175,1425,898,732,911,513,407,755,890,452,407,570,610,453,813,585,588,249,608,931,679,662,681,722,333,681,1023,733,815,649,678,654,806,940,795,659,327,908,934
535,1184,1428,918,722,942,535,399,784,917,471,403,585,626,459,849,574,586,245,590,926,693,666,706,706,341,694,1071,725,815,668,688,672,816,943,797,631,325,869,912
529,1193,1500,939,721,923,545,405,796,935,466,390,585,632,451,846,587,601,241,576,940,702,687,728,728,345,673,1078,736,819,685,721,689,812,945,788,638,321,852,862
523,1196,1507,933,699,932,564,371,806,924,479,389,612,640,476,853,587,582,242,571,943,713,707,740,717,335,661,1068,730,834,726,750,697,812,954,799,632,300,829,843
534,1203,1515,928,687,931,581,390,786,933,497,376,620,670,488,845,592,598,245,549,929,712,720,759,727,344,674,1036,724,818,770,774,716,789,966,783,644,316,824,815
520,1189,1522,934,674,933,575,371,794,908,486,363,630,691,506,850,593,575,245,551,924,719,735,761,724,335,650,1019,724,817,784,802,729,765,956,773,633,311,794,800
520,1183,1527,947,667,934,600,371,787,898,485,339,670,688,520,836,584,570,243,548,926,709,739,771,715,345,633,989,703,822,830,806,722,755,944,772,626,318,789,776
529,1175,1521,929,650,925,613,380,743,866,485,312,692,699,548,831,592,559,245,543,913,714,755,779,715,339,630,938,686,804,870,805,734,736,951,757,623,311,769,773
519,1153,1511,925,639,931,644,372,703,849,488,306,712,688,546,820,588,555,255,538,899,694,749,786,730,333,591,913,648,819,881,804,713,700,931,779,615,290,769,736
518,1109,1498,914,613,930,664,363,657,814,475,313,712,700,544,794,582,536,253,515,898,655,730,769,719,333,583,856,644,790,914,804,710,706,931,773,599,318,759,726
516,1095,1499,906,594,895,672,358,625,783,475,293,743,694,535,800,589,526,250,517,865,658,715,756,702,320,570,804,595,780,934,787,695,682,925,769,589,307,753,710
505,1051,1452,869,574,897,700,360,607,765,466,275,752,679,551,777,600,508,249,509,852,625,687,755,706,333,555,783,588,748,955,768,666,667,907,761,592,308,770,698
516,1013,1416,860,573,881,694,360,573,738,455,251,761,682,534,770,595,490,253,492,846,621,677,725,711,337,549,749,537,769,946,764,654,645,907,777,599,312,741,700
510,975,1416,850,557,865,685,361,529,706,435,250,750,646,513,746,589,466,255,465,827,583,637,733,685,330,524,713,502,737,946,743,639,624,869,770,555,310,755,699
516,954,1359,834,550,826,701,360,518,682,437,251,753,644,495,727,593,465,255,462,788,552,627,708,688,312,526,701,503,725,932,740,633,607,852,779,561,300,733,699
503,910,1344,813,551,824,697,349,503,680,418,246,741,627,470,702,596,462,246,444,783,538,590,705,686,312,520,687,502,711,953,738,624,590,858,789,567,306,748,698
502,889,1308,779,542,806,688,347,479,651,403,236,706,619,455,684,601,453,251,417,767,505,576,700,693,310,527,679,484,705,923,700,612,566,850,784,548,300,729,688
497,839,1280,786,536,776,674,347,463,645,390,229,718,603,440,669,616,431,253,404,757,501,553,687,679,313,513,662,457,685,883,703,598,551,848,761,523,290,718,687
501,817,1240,767,514,764,664,342,462,618,379,226,702,574,425,646,618,417,247,406,722,479,543,663,659,308,494,669,470,667,875,672,594,551,836,770,525,302,720,673
504,800,1196,736,513,729,632,338,454,639,359,225,690,563,421,610,612,416,246,375,677,468,513,679,652,293,485,662,453,650,863,647,587,544,825,758,532,283,726,680
488,773,1173,718,489,701,604,330,445,660,347,227,683,538,394,596,599,395,239,373,671,462,510,652,654,293,491,651,448,646,844,627,551,532,825,740,505,272,718,688
496,739,1144,699,489,675,586,317,448,652,348,222,679,528,384,575,588,389,237,375,642,445,497,637,652,276,472,665,427,636,823,607,557,536,813,742,509,251,715,678
503,745,1129,689,479,631,562,301,436,642,337,215,656,530,378,534,619,376,241,367,630,427,490,618,644,274,460,675,414,618,807,590,555,525,802,729,494,254,685,672
505,708,1081,670,462,610,526,294,441,637,332,218,659,517,363,510,602,382,232,354,604,411,478,628,620,272,437,658,399,606,796,575,521,539,794,740,467,253,669,658
497,707,1052,672,438,590,492,279,421,648,324,214,630,506,355,480,595,353,223,348,577,406,455,609,606,258,426,670,394,604,777,573,518,535,781,682,450,226,670,668
508,679,1007,649,439,537,483,268,434,640,328,216,630,492,350,442,585,342,225,353,579,397,459,587,612,262,395,671,387,598,775,569,477,541,778,700,430,214,657,649
515,664,992,634,441,513,444,258,423,633,314,216,622,490,343,417,573,335,218,336,551,392,450,573,585,255,383,648,371,584,757,533,478,528,758,683,416,206,634,641
509,643,956,627,404,484,411,248,437,603,301,215,587,482,315,387,561,327,203,327,532,394,454,564,576,241,362,639,375,576,734,518,458,508,736,646,394,199,615,627
497,627,931,597,388,448,404,243,421,586,296,212,575,459,322,363,557,300,188,311,515,392,428,544,569,236,331,619,355,574,712,492,421,511,705,656,365,202,597,622
485,592,872,567,372,419,359,229,428,568,291,223,554,438,292,332,537,288,194,299,502,367,435,527,557,231,310,595,338,564,667,471,400,493,675,635,354,186,570,629
494,569,819,548,354,392,345,224,402,532,273,214,549,444,281,312,528,267,179,282,481,365,410,472,525,218,279,574,328,532,643,445,368,472,643,622,332,159,555,611
478,541,772,506,317,354,319,207,389,514,258,212,490,422,255,290,506,245,171,281,445,354,415,456,508,198,258,538,317,513,636,413,348,472,589,587,309,151,530,600
456,508,728,484,297,342,298,189,376,460,248,201,453,381,241,282,487,212,178,270,424,359,386,429,465,179,229,526,296,478,582,373,334,461,542,559,288,131,521,581
459,485,663,448,275,310,257,162,350,420,226,199,422,354,198,268,451,208,173,256,406,349,354,412,476,173,230,492,274,448,517,337,322,420,531,535,268,132,464,551
473,435,602,396,232,302,228,161,338,387,212,186,445,350,214,248,458,235,158,239,390,339,329,356,424,153,174,481,269,415,525,326,277,395,446,485,248,108,458,549
462,501,670,442,263,323,264,201,321,402,198,171,426,354,198,244,468,210,149,236,407,386,381,373,477,139,196,502,260,450,482,327,311,454,468,532,263,117,493,579
