Left_Thalamic_Radiation,Right_Thalamic_Radiation,Left_Corticospinal,Right_Corticospinal,Left_Cingulum_Cingulate,Right_Cingulum_Cingulate,Left_Cingulum_Hippocampus,Right_Cingulum_Hippocampus,Callosum_Forceps_Major,Callosum_Forceps_Minor,Left_IFOF,Right_IFOF,Left_ILF,Right_ILF,Left_SLF,Right_SLF,Left_Uncinate,Right_Uncinate,Left_Arcuate,Right_Arcuate,L_VOF,R_VOF,L_Arcuate_Posterior,R_Arcuate_Posterior,L_posteriorArcuate_vot,R_posteriorArcuate_vot
1202,1156,426,436,190,212,403,285,47,1146,18,17,1098,1331,9677,10140,752,1097,1528,941,5185,5412,1301,1596,517,1158
1197,1160,428,449,192,210,409,274,47,1139,18,16,1110,1320,9592,10005,732,1072,1526,939,5122,5359,1272,1578,482,1143
1182,1148,456,461,189,200,396,281,47,1144,18,16,1106,1317,9754,10138,742,1061,1528,934,5158,5337,1285,1613,496,1170
1187,1148,475,487,187,206,407,288,47,1150,18,17,1107,1324,9935,10210,740,1070,1533,954,5211,5452,1285,1595,507,1186
1191,1156,513,499,189,211,416,278,47,1132,18,17,1096,1320,9933,10368,748,1065,1551,981,5232,5473,1279,1607,526,1224
1182,1154,531,509,189,205,404,276,46,1126,18,17,1096,1326,10156,10427,737,1079,1543,983,5285,5531,1298,1616,525,1262
1178,1157,549,523,194,204,427,275,48,1134,18,17,1113,1333,10235,10491,743,1060,1534,991,5320,5595,1299,1620,530,1284
1190,1161,569,546,195,206,426,273,45,1134,18,17,1109,1329,10265,10531,763,1047,1550,980,5381,5601,1288,1623,534,1307
1178,1160,588,559,191,206,423,268,45,1127,18,17,1120,1330,10320,10649,754,1077,1532,1002,5419,5649,1301,1604,541,1321
1189,1146,582,559,194,205,416,267,47,1134,18,16,1099,1331,10322,10598,769,1048,1539,991,5424,5698,1280,1620,538,1305
1172,1171,605,558,194,201,440,270,48,1133,18,17,1100,1324,10330,10578,757,1043,1545,999,5415,5673,1273,1623,539,1337
1181,1151,605,570,192,201,430,273,47,1121,18,17,1117,1329,10237,10582,753,1046,1512,984,5483,5716,1255,1614,544,1351
1186,1173,612,561,194,205,438,265,43,1149,18,17,1108,1315,10190,10495,747,1052,1519,986,5461,5714,1279,1606,540,1364
1195,1172,617,567,195,205,445,260,47,1147,18,17,1118,1324,10114,10381,753,1039,1505,986,5484,5690,1262,1608,546,1361
1201,1176,612,558,190,200,440,268,44,1129,18,17,1113,1316,10022,10307,730,1024,1502,990,5492,5700,1243,1606,535,1357
1200,1152,613,572,198,196,437,267,47,1116,18,17,1111,1312,9861,10228,760,1015,1494,992,5509,5736,1244,1563,536,1368
1198,1168,624,564,196,201,423,261,47,1112,18,17,1108,1323,9741,10073,754,1007,1480,990,5529,5718,1244,1601,534,1386
1198,1148,628,546,196,196,434,266,44,1102,18,17,1108,1325,9607,9886,756,993,1477,986,5500,5797,1223,1574,544,1426
1198,1144,619,542,195,195,430,271,46,1080,18,17,1106,1310,9495,9794,731,977,1457,975,5492,5814,1207,1547,538,1436
1177,1165,612,537,192,188,436,276,46,1096,18,17,1103,1304,9246,9589,739,1001,1441,967,5510,5805,1226,1528,545,1452
1180,1154,605,525,190,190,433,261,45,1087,18,17,1099,1311,9077,9469,736,960,1435,959,5478,5798,1206,1536,551,1450
1169,1144,610,512,188,191,413,260,46,1062,18,17,1092,1303,8935,9231,739,957,1422,952,5433,5847,1181,1558,551,1469
1176,1134,584,516,192,193,413,260,46,1046,18,17,1101,1284,8725,9122,726,939,1384,955,5416,5862,1164,1528,551,1473
1159,1130,592,486,186,187,416,258,48,1008,18,17,1100,1297,8576,8962,756,925,1383,961,5436,5887,1161,1506,551,1465
1165,1128,588,490,190,189,410,265,48,987,18,17,1093,1288,8459,8757,744,907,1365,946,5431,5843,1098,1483,546,1485
1171,1129,575,488,188,187,406,261,45,978,18,17,1106,1269,8323,8567,724,899,1360,950,5450,5886,1094,1458,563,1483
1147,1120,555,472,182,185,407,260,46,957,18,17,1092,1271,8159,8485,725,880,1357,943,5452,5835,1053,1453,547,1509
1129,1104,564,476,182,188,396,250,46,954,18,17,1090,1258,7988,8271,722,856,1344,931,5419,5855,1049,1437,553,1520
1136,1104,565,483,172,180,403,249,44,915,18,17,1076,1271,7849,8061,724,835,1320,922,5420,5864,1027,1411,565,1525
1120,1092,558,487,172,177,403,246,45,905,18,17,1095,1259,7769,7907,716,823,1317,927,5393,5900,985,1365,561,1528
1115,1093,572,484,174,173,399,250,47,876,18,17,1080,1249,7641,7722,706,831,1306,922,5412,5967,973,1363,559,1526
1095,1061,575,479,173,184,393,246,45,851,18,17,1079,1241,7577,7588,704,806,1287,901,5367,5903,968,1338,552,1520
