Left_Thalamic_Radiation,Right_Thalamic_Radiation,Left_Corticospinal,Right_Corticospinal,Left_Cingulum_Cingulate,Right_Cingulum_Cingulate,Left_Cingulum_Hippocampus,Right_Cingulum_Hippocampus,Callosum_Forceps_Major,Callosum_Forceps_Minor,Left_IFOF,Right_IFOF,Left_ILF,Right_ILF,Left_SLF,Right_SLF,Left_Uncinate,Right_Uncinate,Left_Arcuate,Right_Arcuate
365,310,175,149,174,87,244,160,50,570,17,17,578,658,1688,1976,282,417,342,199
378,305,128,114,140,68,229,143,47,607,16,16,530,564,1530,1832,272,393,387,219
409,333,172,145,167,82,182,130,51,604,17,17,560,630,1684,1969,297,439,362,197
389,321,155,133,151,79,209,146,48,627,17,17,556,623,1752,2058,312,460,388,225
412,328,162,140,154,68,236,151,49,632,17,17,578,652,1780,2104,311,455,386,215
397,321,161,148,174,82,229,155,48,646,17,17,588,651,1768,2134,322,477,389,229
417,343,163,150,170,79,211,148,49,638,17,17,595,680,1795,2233,323,481,402,227
407,341,165,142,174,75,224,148,45,675,17,17,604,668,1872,2326,340,504,410,235
399,345,164,147,178,77,235,155,47,676,17,17,610,695,1925,2385,348,501,405,231
409,342,162,145,170,77,233,141,47,682,17,17,616,694,1936,2375,349,521,429,231
420,341,163,150,171,78,222,150,49,695,17,17,628,704,1898,2456,352,525,436,241
416,343,165,144,171,76,242,161,49,688,16,17,620,708,1973,2490,345,530,462,243
407,348,166,141,173,79,240,159,48,689,17,17,628,694,2064,2553,342,529,460,253
408,351,162,152,174,72,236,154,51,704,17,17,624,709,2070,2559,351,542,475,256
415,352,162,149,175,77,236,158,49,686,17,17,628,692,2043,2592,363,537,478,261
406,351,165,154,177,81,244,160,41,718,17,17,627,711,2032,2618,366,542,482,264
413,340,171,162,171,79,243,155,47,706,17,17,619,708,2066,2651,357,556,505,254
410,347,160,158,176,74,231,160,45,694,17,16,627,728,2113,2653,362,558,496,264
416,347,174,161,172,74,235,157,46,688,17,17,627,706,2106,2675,357,563,496,258
403,343,178,157,180,79,240,164,46,697,17,17,639,718,2105,2676,368,566,502,259
411,346,174,164,185,79,239,158,46,697,17,17,638,718,2110,2713,367,567,503,259
397,347,171,153,180,71,234,155,46,697,17,17,639,714,2152,2743,364,583,515,261
397,349,176,158,179,75,224,167,47,702,17,17,626,715,2153,2706,355,581,506,260
384,341,175,158,176,72,233,165,46,686,17,17,628,717,2159,2773,363,582,510,267
389,338,177,169,182,66,227,159,47,694,17,17,629,708,2159,2762,353,589,503,254
377,337,185,164,176,80,233,174,45,694,17,17,631,716,2146,2760,347,571,510,261
390,344,179,171,177,74,235,171,45,686,17,17,624,707,2167,2779,347,592,512,258
387,340,185,173,173,71,236,165,42,679,17,17,628,700,2167,2785,342,602,513,265
390,340,180,170,173,71,229,168,44,683,17,17,611,697,2173,2802,352,595,518,258
384,330,193,172,171,69,220,166,44,693,17,17,624,700,2150,2798,346,583,506,271
378,330,186,174,166,68,223,164,47,684,17,17,616,713,2168,2797,353,590,515,266
375,327,190,188,168,73,221,165,48,677,17,17,631,707,2168,2795,355,586,512,259
373,335,186,184,168,66,222,164,46,676,17,17,614,704,2174,2777,355,573,517,257
367,338,195,183,162,64,224,165,46,664,17,17,624,696,2156,2772,353,600,518,262
364,340,197,175,171,72,221,164,44,659,17,17,624,694,2175,2762,339,593,512,253
363,336,192,184,168,71,219,158,47,663,17,17,635,696,2182,2799,348,593,503,262
362,338,184,182,173,75,224,164,41,660,16,17,621,694,2154,2807,354,600,523,249
