Left_Optic_Radiation_V1V2,Right_Optic_Radiation_V1V2,Left_MR,Right_MR,Left_DT,Right_DT,Left_AR,Right_AR,Left_SR,Right_SR
510,503,1597,1616,1256,1380,189,208,883,1193
535,516,1648,1682,1358,1554,189,224,903,1205
588,556,1771,1753,1481,1691,219,251,918,1226
638,592,1865,1884,1600,1839,250,273,957,1255
692,632,1931,1973,1706,1958,272,309,970,1279
712,650,2010,2032,1797,2082,303,357,993,1310
753,699,2043,2097,1886,2127,334,382,1004,1344
786,753,2138,2167,1927,2204,368,419,1023,1374
821,787,2188,2219,1996,2227,390,466,1041,1407
837,821,2230,2295,2034,2286,409,500,1050,1402
868,875,2233,2303,2061,2300,446,540,1055,1441
914,921,2295,2326,2128,2326,456,570,1061,1471
948,982,2332,2374,2119,2334,492,599,1089,1475
986,1015,2330,2394,2159,2381,521,633,1079,1478
1028,1057,2411,2409,2164,2400,534,658,1086,1512
1051,1113,2427,2444,2179,2405,545,697,1102,1515
1132,1153,2460,2451,2174,2388,567,730,1110,1538
1159,1174,2478,2478,2151,2391,576,746,1115,1555
1207,1213,2500,2502,2134,2366,599,790,1123,1567
1278,1232,2506,2543,2109,2364,598,817,1135,1587
1315,1252,2521,2549,2124,2384,617,861,1164,1589
1336,1265,2532,2573,2088,2360,629,899,1177,1613
1366,1293,2551,2583,2083,2359,634,940,1198,1636
1407,1327,2566,2609,2061,2352,641,966,1207,1648
1431,1324,2573,2641,2069,2333,639,986,1235,1668
1462,1346,2628,2649,2076,2350,649,1042,1241,1699
1471,1365,2658,2696,2033,2355,659,1093,1256,1755
1465,1387,2680,2702,2028,2390,664,1092,1272,1779
1500,1388,2691,2736,2033,2364,683,1142,1298,1788
1475,1396,2716,2774,2025,2377,684,1191,1319,1802
1489,1436,2738,2791,2019,2371,695,1202,1336,1855
1523,1436,2789,2847,2021,2369,713,1228,1366,1873
1520,1458,2805,2892,1997,2370,701,1265,1397,1913
1515,1475,2848,2919,1972,2377,721,1306,1449,1941
1507,1503,2878,2946,1980,2380,723,1334,1447,1991
1511,1537,2914,2976,1983,2409,739,1360,1500,1984
1529,1525,2991,3034,1982,2395,759,1399,1512,2038
1517,1548,3036,3052,1965,2377,755,1428,1529,2068
1520,1556,3084,3081,1924,2362,754,1453,1571,2076
1541,1589,3118,3108,1897,2354,755,1481,1609,2114
1541,1604,3171,3145,1896,2326,768,1504,1630,2149
1543,1591,3209,3215,1881,2323,784,1510,1650,2152
1534,1628,3234,3216,1839,2280,787,1543,1674,2187
1545,1628,3271,3258,1835,2252,795,1569,1683,2196
1576,1652,3279,3287,1795,2232,809,1574,1717,2217
1569,1631,3348,3335,1769,2203,810,1597,1710,2232
1571,1666,3366,3345,1741,2151,813,1594,1766,2265
1606,1674,3414,3357,1709,2142,825,1588,1780,2254
1586,1674,3419,3425,1665,2090,829,1613,1820,2265
1600,1668,3468,3388,1603,2025,829,1604,1819,2266
1581,1639,3501,3413,1558,1963,848,1609,1813,2267
1584,1643,3529,3410,1526,1920,857,1602,1838,2306
1628,1624,3534,3410,1489,1876,858,1618,1866,2298
1607,1653,3552,3445,1453,1844,861,1600,1886,2320
1612,1622,3550,3429,1428,1769,867,1588,1912,2306
1620,1615,3557,3430,1366,1733,867,1613,1917,2341
1621,1594,3557,3398,1304,1656,859,1579,1932,2344
1638,1613,3578,3429,1287,1608,860,1579,1939,2313
1611,1576,3571,3438,1240,1542,868,1578,1921,2329
1600,1584,3566,3414,1218,1465,871,1558,1956,2326
1595,1575,3589,3410,1164,1446,841,1543,1985,2347
1637,1570,3578,3401,1126,1398,861,1521,1954,2334
1617,1567,3600,3434,1102,1341,861,1507,1963,2358
1615,1591,3577,3374,1068,1288,850,1481,1945,2328
1622,1584,3613,3367,1027,1227,857,1466,1965,2343
1598,1587,3586,3354,1007,1198,830,1482,1943,2347
1613,1541,3630,3320,970,1160,837,1450,1972,2358
1616,1562,3560,3344,937,1104,841,1419,1983,2363
1580,1543,3576,3319,931,1066,829,1393,1973,2337
1608,1570,3607,3296,887,1033,832,1362,1976,2341
1590,1552,3571,3303,870,1023,815,1333,1963,2345
1580,1552,3571,3250,840,1002,815,1286,1955,2343
1549,1526,3563,3243,810,962,793,1277,1960,2327
1575,1545,3575,3199,801,941,802,1256,1938,2321
1542,1552,3508,3180,783,919,784,1218,1941,2261
1551,1531,3511,3142,756,913,790,1196,1932,2296
1554,1541,3491,3183,762,894,778,1156,1915,2289
1561,1554,3465,3150,746,881,796,1141,1922,2267
1552,1539,3441,3109,748,874,765,1107,1883,2246
1555,1545,3425,3102,704,863,772,1081,1847,2249
1531,1550,3407,3100,693,836,760,1041,1851,2240
1531,1555,3355,3036,693,826,746,1037,1801,2203
1570,1549,3325,3024,680,820,752,996,1812,2221
1576,1576,3309,2971,671,817,751,939,1777,2187
1589,1570,3248,2933,639,812,716,904,1738,2145
1570,1547,3251,2898,631,783,696,871,1714,2159
1599,1579,3253,2800,631,770,693,835,1668,2116
1606,1560,3200,2768,619,763,677,793,1627,2117
1610,1584,3149,2738,598,731,664,772,1615,2106
1586,1574,3101,2645,572,725,644,721,1582,2045
1579,1577,3050,2582,560,699,593,694,1562,2046
1571,1594,2999,2496,549,680,608,647,1498,1981
1574,1618,2928,2432,527,638,563,613,1454,1928
1555,1597,2807,2296,502,633,510,583,1405,1867
1531,1589,2745,2207,494,612,500,528,1378,1802
1533,1588,2609,2082,480,579,451,494,1329,1732
1480,1615,2473,1970,444,548,412,451,1248,1661
1446,1585,2366,1798,414,506,377,418,1163,1535
1418,1578,2130,1696,356,443,348,373,1247,1563
1526,1786,2401,1837,413,500,320,342,1226,1602
