Left_Thalamic_Radiation,Right_Thalamic_Radiation,Left_Corticospinal,Right_Corticospinal,Left_Cingulum_Cingulate,Right_Cingulum_Cingulate,Left_Cingulum_Hippocampus,Right_Cingulum_Hippocampus,Callosum_Forceps_Major,Callosum_Forceps_Minor,Left_IFOF,Right_IFOF,Left_ILF,Right_ILF,Left_SLF,Right_SLF,Left_Uncinate,Right_Uncinate,Left_Arcuate,Right_Arcuate
606,502,188,185,187,182,247,147,60,534,18,19,698,906,1742,1771,372,688,282,138
508,448,156,145,153,148,227,130,59,560,18,19,576,785,1515,1491,316,617,298,150
610,501,192,189,173,171,197,120,59,529,18,20,647,884,1644,1656,315,613,280,145
596,474,174,176,181,164,226,141,60,560,18,20,627,867,1729,1738,352,678,298,143
625,515,198,196,163,160,245,147,61,582,17,20,678,900,1765,1817,377,693,284,150
634,540,189,198,169,163,227,143,58,594,18,19,669,941,1793,1846,386,694,297,157
642,532,195,206,160,162,217,141,59,607,17,18,682,949,1864,1938,397,705,294,160
664,543,200,209,165,162,224,146,58,602,18,18,691,992,1942,1976,407,730,309,165
671,553,203,218,171,160,229,155,59,603,18,20,698,984,1988,2008,421,764,325,162
679,564,218,221,163,163,214,150,60,621,18,18,719,1022,2002,2048,435,782,330,171
673,568,213,220,169,158,228,148,60,616,18,19,704,1030,2007,2100,447,793,332,163
675,574,231,234,172,148,227,142,58,624,18,20,719,1047,2020,2116,450,801,347,172
687,578,226,230,173,153,229,143,61,610,18,20,718,1045,2074,2115,476,828,353,176
693,580,230,233,169,153,226,139,59,607,18,19,720,1061,2129,2166,476,822,366,176
697,576,227,244,167,149,232,141,58,618,18,18,718,1072,2129,2194,476,839,373,181
720,610,229,238,164,149,227,144,59,625,18,19,722,1079,2141,2202,493,852,385,181
700,578,229,243,171,143,222,137,58,605,18,19,732,1094,2180,2203,496,865,399,184
716,595,241,242,154,138,215,142,58,622,18,20,728,1095,2218,2234,498,880,411,186
702,593,226,243,159,138,215,142,56,609,18,20,727,1089,2237,2264,508,881,403,184
710,598,242,240,153,135,206,139,59,607,18,20,725,1119,2203,2257,511,903,416,189
706,598,236,250,147,136,211,142,60,627,18,20,724,1110,2238,2270,502,900,415,191
702,589,240,243,156,129,214,140,58,615,18,20,730,1121,2229,2268,521,900,407,199
702,590,232,243,156,129,215,133,61,611,17,20,730,1116,2239,2299,536,899,419,195
704,573,239,252,149,125,214,137,59,621,18,18,723,1129,2246,2324,537,914,427,188
712,601,233,239,151,130,211,134,59,619,18,19,736,1115,2269,2310,536,923,429,187
718,580,241,247,147,129,206,136,58,622,18,20,728,1134,2290,2314,537,922,433,198
710,581,241,244,149,121,208,138,58,604,18,20,748,1136,2279,2309,533,937,434,192
707,572,240,246,146,120,207,134,60,607,18,20,724,1114,2295,2339,532,919,445,190
710,583,239,250,142,125,209,131,57,602,18,20,738,1120,2308,2324,548,939,427,197
701,567,245,241,142,121,214,138,58,571,18,20,737,1106,2324,2303,552,937,434,202
703,576,245,240,136,122,210,132,59,591,18,20,740,1111,2314,2324,546,929,422,202
719,564,236,244,138,118,208,131,59,566,18,20,741,1102,2314,2319,547,923,445,201
709,558,241,237,140,117,213,139,57,579,18,19,735,1102,2308,2301,557,901,421,186
701,552,241,241,138,116,210,144,57,571,18,20,740,1109,2336,2320,561,920,432,203
689,557,243,238,135,121,213,138,57,565,18,20,747,1121,2366,2335,564,913,438,202
691,559,253,242,136,119,210,136,58,572,18,19,732,1129,2309,2325,558,912,430,199
697,560,253,239,136,115,217,135,59,577,18,18,743,1102,2304,2338,569,916,417,199
699,537,246,243,132,114,210,133,58,554,18,19,738,1122,2361,2339,569,907,422,199
687,550,245,237,133,109,212,137,60,558,16,20,750,1118,2327,2338,553,908,418,199
695,551,240,235,131,106,216,139,61,563,16,20,726,1111,2314,2319,551,909,427,200
686,561,248,239,130,107,215,139,56,557,17,20,733,1115,2304,2308,545,881,426,194
693,556,242,238,131,108,215,146,56,547,17,20,737,1112,2320,2311,560,886,419,205
689,570,252,231,131,109,202,141,57,547,17,19,737,1115,2324,2307,551,886,414,200
684,541,247,240,137,106,211,136,57,546,17,19,732,1132,2328,2304,555,897,420,207
701,544,252,231,135,99,206,141,57,529,17,19,734,1128,2307,2311,549,871,417,208
693,554,263,238,135,104,210,135,60,521,18,20,738,1109,2289,2275,542,854,421,195
700,558,262,239,132,108,211,129,59,528,17,20,732,1101,2338,2286,544,856,413,196
687,559,258,242,132,101,200,130,59,525,18,19,736,1095,2307,2269,533,857,414,200
705,562,260,251,130,103,206,134,60,531,18,19,742,1125,2271,2281,535,851,418,203
700,545,255,252,135,102,205,133,58,535,18,20,748,1131,2280,2265,551,842,418,202
700,552,268,248,128,106,204,128,58,535,18,19,741,1123,2283,2251,545,845,403,203
715,547,263,254,123,104,199,135,59,535,18,20,733,1150,2260,2265,543,849,412,211
712,551,264,262,128,109,203,128,59,536,18,19,729,1108,2247,2259,535,819,410,199
710,548,276,248,129,106,207,136,58,538,17,18,737,1130,2227,2242,535,824,404,209
711,548,282,259,131,108,205,132,55,531,17,18,734,1134,2247,2232,542,819,407,204
719,554,290,251,138,102,210,133,53,539,18,19,731,1139,2204,2227,524,794,393,206
704,541,286,258,135,106,204,132,56,535,18,20,737,1126,2180,2210,515,796,391,204
747,553,286,260,130,105,203,125,59,559,18,20,746,1142,2187,2236,520,778,384,205
727,554,294,269,127,105,210,128,57,555,18,19,725,1175,2202,2216,529,781,381,202
725,554,288,274,125,107,213,121,59,553,18,20,731,1159,2150,2192,513,775,374,206
736,568,298,288,126,106,211,134,59,576,18,20,742,1156,2169,2159,501,754,366,212
714,540,292,283,134,111,209,138,57,569,18,20,716,1160,2164,2143,501,746,363,203
735,556,308,282,138,107,205,134,56,573,18,20,735,1150,2127,2162,491,750,371,209
747,560,310,285,136,111,218,129,56,573,18,20,726,1145,2106,2145,484,754,370,199
729,564,313,291,135,111,211,131,57,594,18,19,726,1167,2122,2120,484,734,367,208
736,565,319,284,143,114,225,137,56,587,17,19,718,1164,2094,2122,486,718,368,207
729,555,325,294,144,111,215,129,55,603,17,20,707,1144,2075,2086,467,717,345,197
740,560,328,290,143,114,213,129,59,598,18,20,710,1145,2032,2076,466,711,360,204
751,563,336,304,146,108,220,135,55,618,18,20,709,1147,2040,2071,462,691,347,203
740,547,335,297,151,110,214,131,56,616,17,20,716,1153,2044,2060,461,669,353,208
748,550,354,296,141,113,209,136,56,633,17,20,707,1143,2030,2030,462,662,344,201
738,551,343,308,143,113,205,129,55,628,18,20,708,1134,1968,2014,446,639,347,205
751,550,355,317,140,115,210,138,57,633,17,20,701,1143,1967,1983,436,652,350,210
754,566,352,314,148,123,220,133,54,627,17,20,718,1145,1954,1971,437,636,343,203
752,550,360,318,150,116,212,131,53,634,18,20,706,1137,1944,1960,429,619,336,201
760,564,352,324,143,119,204,137,55,650,18,20,700,1121,1902,1953,420,618,337,203
754,556,356,328,146,122,210,137,55,648,18,19,706,1128,1865,1882,409,605,346,205
761,561,364,334,153,117,212,135,55,648,18,20,698,1104,1841,1851,402,585,340,206
761,579,369,321,150,124,214,133,56,629,18,19,693,1111,1843,1851,397,578,343,194
766,563,371,339,156,125,215,127,56,647,18,19,664,1087,1798,1843,388,570,332,197
750,580,385,339,154,127,214,127,57,648,18,19,662,1085,1769,1809,382,544,332,203
777,577,374,335,156,133,205,132,53,642,18,19,662,1050,1760,1776,371,530,341,198
766,581,396,332,151,131,204,136,52,632,18,20,655,1060,1717,1741,363,519,339,185
748,577,378,329,148,129,210,136,55,639,18,20,637,1057,1700,1723,357,529,347,193
744,571,373,333,150,132,196,128,57,625,18,20,645,1050,1647,1669,349,495,333,192
740,572,367,336,156,134,195,131,60,645,18,20,632,1026,1587,1600,338,483,337,199
729,560,368,326,148,128,200,135,56,642,18,20,612,996,1556,1531,328,467,342,194
721,543,356,335,148,132,198,128,59,641,18,20,608,1000,1545,1520,305,452,333,185
705,544,362,333,153,132,193,129,55,633,18,20,589,973,1511,1487,294,432,323,173
702,531,369,339,156,124,186,128,56,615,18,20,595,944,1455,1438,285,415,320,168
687,519,366,326,154,127,179,122,56,628,17,20,568,952,1373,1366,289,403,326,181
666,512,363,324,158,136,185,129,51,632,18,19,579,910,1322,1329,260,388,307,176
652,494,358,310,140,138,185,132,56,629,17,19,553,894,1345,1299,248,380,311,171
615,474,361,319,136,135,166,114,54,597,18,19,549,855,1283,1246,244,351,289,172
597,467,329,296,142,134,156,106,53,602,18,19,538,825,1191,1135,231,340,294,159
563,433,343,300,129,117,184,132,50,593,18,19,526,803,1052,980,217,323,265,162
566,452,276,260,135,131,186,130,56,591,18,19,473,710,1015,1041,201,289,273,155
414,350,367,310,137,129,143,100,54,561,18,19,519,795,1128,1108,175,262,215,139
564,429,239,230,121,115,166,117,53,523,18,19,387,607,1162,1133,207,296,277,174
532,418,333,285,140,150,207,145,51,604,18,19,527,826,1122,1065,225,320,231,148
