Left_Optic_Radiation_V1V2,Right_Optic_Radiation_V1V2,Left_MR,Right_MR,Left_DT,Right_DT,Left_AR,Right_AR,Left_SR,Right_SR
559,525,1628,1718,1476,1577,274,234,1034,1113
578,553,1763,1818,1798,1838,293,251,1052,1104
634,604,1880,1925,2096,2108,331,286,1073,1161
667,640,2000,2072,2366,2338,391,340,1109,1188
695,654,2118,2182,2566,2529,441,375,1149,1262
740,711,2212,2287,2779,2696,491,430,1149,1301
747,717,2267,2381,2929,2904,529,458,1195,1337
779,770,2357,2500,3068,2980,584,496,1210,1383
797,802,2404,2545,3155,3097,618,516,1216,1445
823,819,2453,2587,3241,3141,658,545,1246,1490
842,870,2486,2630,3290,3190,696,573,1257,1541
855,880,2544,2662,3350,3215,725,599,1273,1563
914,919,2571,2719,3409,3262,766,624,1303,1591
945,933,2625,2761,3426,3277,797,665,1323,1625
970,951,2629,2795,3439,3291,823,692,1343,1659
1015,975,2665,2807,3454,3296,857,716,1365,1713
1044,980,2683,2822,3491,3302,896,740,1388,1723
1079,1012,2712,2862,3464,3338,922,784,1411,1737
1135,1021,2716,2863,3489,3331,938,818,1421,1786
1144,1043,2744,2900,3490,3294,965,857,1452,1827
1177,1047,2767,2916,3507,3323,996,885,1476,1856
1223,1057,2765,2916,3508,3287,993,945,1514,1882
1247,1078,2794,2951,3524,3338,1030,960,1518,1908
1269,1099,2825,2973,3518,3328,1052,1000,1545,1925
1283,1110,2857,2955,3537,3343,1080,1031,1589,1954
1305,1114,2844,3004,3522,3346,1094,1083,1592,1970
1301,1131,2874,2974,3578,3341,1117,1102,1608,1968
1313,1149,2916,3011,3516,3376,1138,1164,1654,2023
1336,1165,2918,3027,3498,3344,1159,1209,1651,2034
1315,1162,2934,3059,3527,3390,1193,1219,1694,2050
1332,1163,2968,3057,3507,3356,1216,1291,1703,2079
1352,1191,3017,3097,3510,3380,1219,1326,1729,2119
1355,1196,2990,3088,3488,3385,1268,1374,1750,2144
1339,1196,3041,3111,3457,3352,1290,1416,1782,2170
1356,1192,3038,3114,3446,3375,1315,1441,1793,2193
1368,1209,3107,3121,3445,3351,1352,1515,1834,2217
1366,1199,3095,3147,3437,3345,1360,1527,1832,2247
1356,1212,3147,3167,3415,3324,1370,1583,1873,2249
1355,1196,3168,3153,3346,3301,1391,1599,1883,2274
1362,1185,3182,3171,3351,3289,1433,1659,1901,2302
1358,1197,3197,3186,3341,3262,1450,1684,1888,2335
1330,1194,3239,3191,3301,3240,1460,1725,1943,2348
1331,1200,3254,3203,3282,3202,1503,1768,1944,2367
1327,1192,3282,3243,3265,3168,1561,1807,1953,2375
1317,1168,3297,3245,3226,3122,1606,1850,1986,2390
1301,1153,3293,3267,3159,3126,1611,1897,1973,2409
1328,1166,3333,3272,3143,3073,1641,1901,2021,2434
1306,1174,3347,3275,3133,3056,1666,1943,2021,2432
1298,1160,3330,3267,3116,3022,1677,1959,2041,2434
1299,1157,3388,3268,3057,2975,1726,1974,2047,2465
1290,1149,3382,3315,3017,2892,1739,2001,2059,2424
1289,1138,3406,3288,2983,2877,1756,2005,2090,2470
1281,1146,3397,3329,2940,2813,1741,2018,2094,2439
1279,1163,3396,3294,2922,2770,1748,2031,2132,2469
1271,1139,3430,3326,2897,2714,1759,2023,2132,2463
1281,1149,3414,3315,2835,2645,1758,2034,2125,2464
1257,1119,3431,3317,2841,2590,1756,2020,2146,2481
1249,1137,3418,3320,2808,2561,1736,1993,2164,2488
1270,1094,3412,3342,2771,2503,1771,1950,2149,2485
1236,1095,3443,3354,2729,2443,1756,1941,2165,2508
1236,1113,3428,3337,2675,2402,1734,1900,2169,2512
1229,1106,3439,3347,2659,2368,1704,1857,2217,2540
1241,1091,3411,3370,2652,2347,1707,1844,2211,2519
1250,1077,3443,3369,2619,2285,1661,1804,2208,2539
1220,1091,3504,3385,2589,2213,1659,1793,2210,2536
1220,1083,3477,3379,2561,2188,1626,1768,2207,2530
1236,1064,3486,3392,2503,2163,1607,1732,2271,2560
1238,1084,3481,3393,2495,2148,1597,1710,2264,2569
1213,1059,3446,3400,2465,2112,1555,1680,2255,2561
1219,1055,3438,3396,2473,2094,1528,1667,2283,2556
1214,1062,3460,3390,2432,2076,1504,1661,2296,2572
1250,1062,3496,3391,2376,2078,1502,1645,2283,2580
1249,1075,3497,3414,2381,2049,1438,1610,2282,2564
1263,1028,3522,3446,2371,2054,1431,1594,2323,2604
1273,1069,3474,3426,2349,2036,1401,1557,2324,2598
1265,1048,3499,3423,2330,2011,1391,1532,2333,2616
1276,1062,3490,3415,2295,2032,1361,1500,2352,2613
1319,1046,3477,3443,2327,2049,1340,1477,2351,2633
1340,1079,3509,3446,2305,2052,1299,1473,2359,2645
1357,1069,3493,3457,2274,2068,1271,1435,2386,2638
1388,1078,3537,3474,2270,2083,1246,1397,2418,2655
1419,1059,3534,3520,2291,2089,1233,1363,2410,2661
1435,1075,3538,3486,2298,2115,1224,1330,2446,2675
1464,1109,3506,3514,2272,2123,1180,1308,2462,2667
1509,1115,3513,3527,2308,2148,1155,1291,2495,2689
1536,1113,3528,3513,2324,2189,1115,1229,2483,2685
1557,1146,3520,3507,2379,2209,1095,1189,2512,2662
1609,1150,3522,3540,2355,2222,1051,1154,2531,2699
1648,1169,3516,3492,2400,2258,1031,1122,2535,2740
1652,1203,3525,3522,2392,2271,979,1083,2592,2724
1702,1200,3553,3533,2392,2256,938,1066,2583,2723
1732,1233,3520,3527,2388,2275,917,997,2596,2731
1773,1243,3549,3533,2424,2275,864,959,2632,2707
1817,1289,3594,3514,2406,2255,832,904,2656,2701
1856,1283,3530,3519,2374,2252,796,851,2683,2675
1880,1301,3583,3514,2323,2185,727,805,2679,2640
1928,1326,3539,3493,2263,2147,702,739,2702,2626
1959,1322,3519,3461,2131,2034,654,700,2709,2581
2029,1393,3506,3429,2010,1950,637,639,2716,2493
1983,1321,3451,3440,1810,1732,597,607,2741,2563
