Left_Optic_Radiation_V1V2,Right_Optic_Radiation_V1V2,Left_MR,Right_MR,Left_DT,Right_DT,Left_AR,Right_AR,Left_SR,Right_SR
540,652,1782,1842,1499,1449,287,355,1044,1228
562,636,1857,1939,1706,1590,299,426,1036,1200
611,683,1950,2005,1900,1744,335,515,1034,1223
655,737,2047,2141,2094,1885,378,626,1074,1215
675,771,2116,2235,2255,2006,429,737,1071,1261
720,809,2194,2313,2359,2089,472,837,1096,1263
752,839,2223,2365,2482,2191,502,946,1098,1269
781,851,2299,2393,2605,2267,549,1019,1116,1281
802,871,2352,2442,2631,2313,585,1112,1135,1294
832,919,2351,2501,2710,2395,630,1203,1134,1301
884,922,2384,2531,2688,2434,642,1285,1147,1321
899,981,2361,2563,2791,2496,681,1369,1151,1330
921,993,2406,2549,2819,2523,702,1441,1173,1322
937,1039,2409,2571,2840,2564,738,1509,1164,1328
992,1069,2407,2561,2854,2564,751,1562,1158,1339
1012,1105,2414,2564,2869,2583,776,1631,1177,1367
1054,1155,2413,2566,2831,2591,786,1693,1201,1369
1084,1192,2389,2580,2854,2629,822,1761,1193,1360
1114,1205,2398,2575,2817,2635,835,1826,1207,1360
1165,1234,2424,2566,2825,2627,853,1897,1218,1391
1176,1255,2430,2555,2830,2649,856,1975,1221,1378
1210,1255,2403,2561,2825,2623,885,1999,1250,1409
1219,1309,2411,2569,2860,2643,897,2060,1248,1429
1249,1311,2420,2577,2816,2660,922,2097,1275,1422
1258,1332,2445,2562,2846,2643,931,2169,1306,1454
1270,1341,2444,2567,2828,2663,931,2235,1322,1491
1277,1362,2433,2593,2823,2650,955,2256,1358,1491
1312,1381,2457,2564,2783,2649,966,2333,1375,1513
1295,1391,2453,2587,2822,2655,992,2372,1386,1568
1330,1408,2515,2579,2796,2633,1022,2411,1436,1573
1334,1418,2497,2570,2804,2652,1033,2471,1442,1599
1348,1443,2546,2631,2792,2630,1063,2500,1458,1633
1376,1433,2549,2637,2756,2637,1070,2589,1490,1677
1360,1460,2576,2649,2767,2602,1066,2599,1524,1678
1373,1476,2603,2695,2737,2647,1119,2669,1559,1715
1376,1490,2635,2698,2694,2612,1110,2691,1576,1740
1390,1485,2680,2714,2672,2613,1124,2751,1611,1764
1419,1480,2660,2747,2659,2567,1142,2799,1632,1782
1431,1517,2733,2792,2611,2576,1165,2831,1631,1826
1437,1517,2759,2784,2613,2534,1184,2867,1655,1851
1427,1526,2792,2831,2572,2507,1210,2908,1684,1859
1461,1541,2794,2817,2551,2489,1223,2958,1690,1912
