HAL7,HAL8,HAL9,HAL10,HAL11,HAL12,HAL13,HAL14,HAL15,HAL16,HAL17,HAL18,HAL19,HAL20,HAL21,HAL22,HAL23,HAL24,HAL25,HAL26,HAL27,HAL28,HAL29,HAL30,HAL31,HAL32,HAL33,HAL34,HAL35,HAL36,HAL37,HAL38,HAL39,HAL40,HAL41,HAL42,HAL43,HAL44,HAL45,HAL46
583,807,789,740,729,756,717,431,836,916,618,658,686,684,353,578,485,690,983,718,740,708,813,757,664,555,425,902,811,789,792,717,834,801,826,787,692,654,738,717
550,836,798,723,721,773,681,414,832,903,615,641,684,680,364,572,474,660,988,754,731,711,786,752,683,575,443,909,826,798,808,708,849,801,853,805,712,679,787,731
548,855,815,720,689,755,714,410,816,904,615,634,659,677,370,574,470,667,1002,773,777,725,811,779,724,613,460,910,841,807,813,715,837,827,888,852,730,701,809,751
514,862,802,709,669,740,715,415,794,914,607,612,655,680,369,579,474,650,991,815,780,715,840,789,735,636,488,919,828,823,833,698,862,824,932,875,756,741,851,798
505,877,807,704,681,754,700,396,784,910,594,588,653,670,369,561,478,631,1001,850,782,716,830,794,764,669,511,927,843,840,847,720,874,831,943,902,778,759,899,797
498,886,816,675,666,759,668,395,761,902,578,577,617,662,367,561,470,604,993,860,789,694,825,796,794,688,528,922,846,849,849,714,864,840,956,937,791,790,919,822
483,903,812,662,633,762,678,389,775,900,559,575,588,644,382,537,466,595,1011,884,791,706,822,801,810,707,542,911,852,860,861,709,883,828,984,936,818,792,953,818
482,898,814,651,623,753,673,374,758,882,547,554,577,613,367,546,466,560,1031,890,796,672,811,792,809,731,549,908,861,872,855,693,863,830,984,957,818,806,970,824
466,889,811,617,604,759,645,383,743,861,538,541,562,593,365,536,449,565,1036,884,773,671,790,787,820,724,562,875,846,858,827,700,860,841,1010,962,830,811,992,824
432,881,803,610,568,767,641,362,734,844,524,501,538,581,356,525,447,547,1014,930,773,642,782,774,841,733,552,884,824,869,846,690,853,828,1026,961,848,807,997,797
