HAL7,HAL8,HAL9,HAL10,HAL11,HAL12,HAL13,HAL14,HAL15,HAL16,HAL17,HAL18,HAL19,HAL20,HAL21,HAL22,HAL23,HAL24,HAL25,HAL26,HAL27,HAL28,HAL29,HAL30,HAL31,HAL32,HAL33,HAL34,HAL35,HAL36,HAL37,HAL38,HAL39,HAL40,HAL41,HAL42,HAL43,HAL44,HAL45,HAL46
714,845,1028,675,569,996,762,351,824,745,803,769,584,784,448,832,689,736,837,696,712,608,788,854,690,423,326,864,870,879,919,693,981,933,1011,867,747,594,918,839
676,840,1018,661,555,986,756,341,815,757,797,732,561,791,438,794,652,712,828,714,700,605,808,879,699,449,317,875,835,843,945,703,976,951,986,891,755,579,913,819
682,836,1021,641,522,1002,754,355,818,761,810,740,548,790,436,788,632,679,813,733,718,626,789,874,717,446,331,884,837,869,1002,748,1016,963,984,889,776,579,922,816
656,820,1001,610,527,980,738,351,823,768,796,688,541,792,444,752,615,661,826,732,731,609,806,882,708,440,341,890,836,833,1023,779,1054,1027,990,903,739,596,896,796
645,826,1003,598,508,990,715,351,822,778,808,668,538,800,436,733,603,650,817,745,736,618,814,910,748,443,357,890,818,834,1081,797,1064,1020,981,900,775,610,919,777
616,805,1016,595,489,989,720,349,796,780,785,670,519,791,435,739,580,636,787,745,741,623,812,907,754,452,345,888,823,809,1093,822,1096,1053,993,897,775,599,898,773
614,806,1018,571,487,984,701,362,792,777,786,653,510,805,446,726,562,637,801,741,742,612,806,895,791,455,365,894,795,812,1127,820,1091,1051,992,893,769,592,899,757
596,779,1003,540,469,974,685,338,754,795,784,611,491,767,434,714,578,597,799,730,736,611,822,911,794,447,371,878,774,780,1144,825,1110,1069,998,875,765,572,879,735
600,761,996,535,445,965,675,344,739,753,773,601,490,753,420,683,551,576,789,732,736,604,799,909,787,464,367,871,760,766,1165,832,1149,1075,989,861,762,548,866,711
596,739,988,511,441,963,649,359,717,752,741,574,450,735,397,668,521,552,781,746,721,579,814,903,805,449,368,861,724,749,1170,840,1150,1078,1004,838,729,540,847,667
589,701,959,501,421,973,621,343,686,744,735,555,459,713,400,646,514,560,771,729,707,574,789,892,804,470,372,852,694,731,1178,835,1157,1101,984,822,732,529,827,641
574,683,952,495,422,961,608,347,668,710,723,530,437,695,387,628,492,526,755,718,695,534,772,874,785,467,388,846,680,725,1183,820,1164,1102,987,800,700,514,803,612
561,665,928,473,389,952,569,335,652,712,702,515,427,680,367,617,480,530,747,691,666,530,762,858,795,467,376,836,649,700,1199,792,1159,1065,968,789,690,500,775,593
558,631,901,449,370,963,556,339,614,693,688,496,415,661,355,599,469,498,761,693,666,514,742,839,773,465,389,798,628,679,1181,783,1160,1050,977,759,681,484,764,573
553,601,870,431,369,964,523,324,603,693,663,471,402,635,350,583,441,507,770,661,661,497,706,834,779,461,377,791,603,654,1158,777,1158,1052,962,726,649,459,731,544
553,586,858,419,359,954,535,321,597,676,645,443,391,616,351,558,443,487,748,650,638,481,687,818,765,456,385,772,575,632,1153,751,1129,1034,946,714,625,449,709,523
538,561,845,419,353,958,511,331,578,658,619,428,392,606,333,551,419,482,751,639,643,470,689,804,747,465,366,747,549,610,1140,752,1121,1006,956,695,610,429,679,490
539,547,809,405,340,955,493,320,566,648,612,414,370,576,331,550,418,462,745,616,602,442,657,791,747,463,362,734,541,590,1109,735,1118,996,918,669,582,428,653,477
539,532,788,399,341,941,491,322,568,628,597,423,377,571,321,549,401,462,743,596,620,440,634,772,747,460,370,728,503,568,1092,715,1078,968,914,644,556,426,631,457
532,509,772,406,327,959,456,330,549,652,592,411,361,574,315,532,378,441,738,577,606,440,618,771,735,456,367,719,482,546,1088,714,1070,981,902,623,535,409,615,453
527,491,748,393,328,959,469,321,545,625,572,398,375,574,324,513,391,462,743,578,601,434,601,756,728,442,379,692,469,523,1072,685,1056,934,865,603,512,405,605,447
519,481,735,386,325,944,460,318,567,629,590,415,360,564,317,516,375,443,732,560,595,418,609,761,704,457,364,674,438,505,1088,687,1037,925,839,594,502,386,592,426
537,477,735,388,339,948,456,327,567,632,581,391,375,567,327,521,370,446,742,559,587,420,612,749,703,432,364,679,427,505,1080,691,1023,910,828,587,478,381,575,429
545,448,734,400,323,942,451,328,554,641,567,402,381,572,323,523,376,439,723,541,596,424,596,739,710,439,353,675,418,472,1037,664,998,876,809,559,484,370,554,423
554,454,718,393,326,946,452,318,552,643,586,404,387,580,329,524,363,436,738,535,590,440,590,731,695,426,359,690,407,460,1018,679,974,870,792,558,469,380,562,415
541,443,735,404,338,936,462,318,568,649,571,403,395,588,332,536,362,430,745,524,603,444,597,745,687,425,360,667,407,443,1017,655,973,846,770,530,470,372,554,405
560,423,726,401,337,940,455,322,564,634,572,408,400,585,336,526,365,448,749,516,595,442,585,756,682,421,345,671,415,438,1007,671,940,821,753,540,466,384,547,411
564,435,735,408,335,956,463,319,577,649,573,411,411,591,333,546,368,450,754,518,598,434,594,737,691,417,356,670,411,440,1017,648,930,808,730,518,466,372,553,408
570,431,721,397,351,965,456,331,582,640,577,402,422,584,346,562,373,466,748,505,598,426,580,737,696,421,352,667,412,415,991,632,901,813,718,515,463,369,558,409
574,406,724,417,369,951,468,328,571,651,572,423,433,584,343,559,371,468,742,496,619,441,572,738,690,419,349,641,407,407,979,635,876,797,698,519,456,373,580,394
567,418,730,432,372,954,469,327,582,645,574,412,425,584,335,572,376,473,742,490,616,443,572,747,688,413,338,656,397,410,998,624,844,785,688,512,455,379,578,393
581,416,740,433,375,956,468,331,578,639,568,422,437,601,326,581,381,460,757,490,636,446,577,744,683,414,340,670,388,393,975,625,819,762,664,516,470,368,567,387
600,411,701,439,383,953,477,350,586,650,575,422,443,577,338,584,388,482,751,490,620,440,586,747,686,422,334,649,409,390,970,601,816,764,661,514,460,369,589,403
596,419,713,443,398,971,477,353,607,625,590,423,463,584,350,614,395,491,756,496,628,450,566,745,673,415,335,650,400,388,970,587,767,752,653,528,472,382,599,386
605,405,710,459,407,967,475,359,597,640,578,435,457,594,349,615,402,508,745,483,632,449,581,756,662,423,339,659,388,393,959,584,755,746,639,517,472,377,592,385
607,400,703,452,423,964,476,360,594,633,591,438,469,594,361,637,410,519,748,494,627,458,564,742,667,424,333,633,382,381,938,564,736,733,640,519,483,381,600,396
603,389,709,501,430,957,493,366,607,640,594,444,484,587,353,645,410,533,740,492,646,458,551,743,673,420,342,650,386,387,925,554,718,730,620,517,478,384,604,401
597,400,718,497,440,969,486,374,595,628,585,449,498,602,354,656,423,539,741,504,634,454,540,736,687,422,345,655,378,384,907,553,693,719,622,515,487,391,625,400
599,412,725,523,458,975,492,378,605,643,579,457,493,591,371,648,416,556,749,489,645,457,542,748,664,435,337,636,388,366,903,537,687,704,617,538,489,410,640,414
