HAL53,HAL54,HAL55,HAL56,HAL57,HAL58,HAL59,HAL60,HAL61,HAL62,HAL63,HAL64,HAL65,HAL66,HAL67,HAL68,HAL69,HAL70,HAL71,HAL72,HAL73,HAL74,HAL75,HAL76,HAL77,HAL78,HAL79,HAL80,HAL81,HAL82,HAL83,HAL84,HAL85,HAL86,HAL87,HAL88,HAL89,HAL90,HAL91,HAL92
760,814,831,674,600,1169,638,242,692,697,629,678,757,686,791,857,840,871,923,665,857,718,780,799,626,333,188,812,742,848,832,898,803,830,748,797,807,686,833,790
715,824,850,667,583,1148,659,235,690,691,625,695,744,698,777,848,830,857,898,639,855,738,752,820,640,341,195,796,742,848,840,915,827,852,751,814,835,705,830,792
680,846,853,675,587,1130,632,249,667,696,623,649,730,719,788,861,820,843,892,655,886,715,778,807,634,348,201,799,763,879,850,886,816,865,777,829,854,737,874,826
685,855,841,653,568,1138,621,242,657,690,629,652,700,712,781,844,816,852,887,654,867,729,772,816,656,334,217,773,770,892,850,895,831,867,768,863,904,742,926,853
659,865,848,637,559,1127,611,256,657,676,611,640,701,693,754,847,830,836,878,688,859,742,787,816,659,347,210,764,778,908,834,901,858,865,786,875,922,767,943,868
658,883,849,622,541,1103,615,255,643,668,587,622,704,670,757,842,809,859,875,706,846,731,785,826,651,347,225,738,765,930,848,876,860,893,796,912,964,768,964,875
651,888,830,623,535,1113,600,265,634,665,584,615,683,674,734,824,821,865,881,693,858,719,769,829,666,341,215,728,756,916,856,872,845,885,814,933,1003,784,1014,878
660,881,822,613,530,1118,599,266,605,636,566,597,681,673,722,818,801,860,864,692,833,718,770,822,648,356,233,714,749,939,838,873,866,887,854,945,1040,798,1003,874
638,896,793,589,529,1105,583,283,587,611,560,589,656,640,711,796,802,855,860,720,821,700,767,819,651,342,217,694,736,940,830,859,837,900,848,955,1069,808,1024,859
609,900,779,567,507,1115,557,291,558,602,537,574,640,634,705,789,788,857,861,715,788,680,727,790,648,356,225,670,710,934,808,846,812,888,850,960,1090,802,1026,845
624,879,749,559,489,1116,563,290,535,560,523,544,624,609,681,773,795,829,847,708,781,659,713,799,644,365,228,631,699,929,786,812,815,878,872,974,1108,798,1023,827
