Left_Optic_Radiation_V1V2,Right_Optic_Radiation_V1V2,Left_MR,Right_MR,Left_DT,Right_DT,Left_AR,Right_AR,Left_SR,Right_SR
412,460,1402,1479,1014,1101,216,274,851,982
405,453,1475,1499,1083,1184,220,274,842,975
462,488,1548,1589,1184,1297,253,294,859,1018
480,508,1644,1664,1259,1411,287,318,884,1046
506,515,1702,1727,1368,1526,318,332,906,1061
526,526,1773,1792,1439,1604,365,370,912,1104
560,548,1831,1835,1483,1675,376,373,924,1118
566,574,1873,1865,1555,1715,423,405,946,1170
590,590,1931,1930,1624,1779,439,418,951,1177
613,601,1959,1949,1658,1806,470,425,960,1197
653,634,1963,1979,1675,1840,485,455,980,1221
681,648,2022,2009,1714,1864,519,464,985,1229
715,674,2043,2005,1726,1907,538,460,1000,1235
740,710,2064,2028,1771,1900,557,474,993,1236
784,727,2084,2068,1787,1938,577,485,1021,1253
805,738,2090,2062,1808,1957,605,485,1019,1273
857,770,2122,2097,1805,1962,625,487,1045,1286
893,802,2125,2094,1831,1995,641,489,1056,1282
946,818,2142,2108,1811,1999,643,520,1068,1290
966,835,2167,2137,1811,2009,675,514,1103,1306
1013,853,2190,2131,1809,2007,685,511,1106,1321
1054,875,2212,2140,1820,2011,723,522,1141,1343
1082,865,2208,2166,1815,2026,739,525,1159,1369
1106,891,2232,2197,1815,2034,746,527,1203,1370
1127,897,2280,2204,1827,2034,759,520,1216,1394
1146,898,2281,2229,1846,2042,774,527,1243,1402
1151,904,2315,2262,1832,2075,798,541,1280,1417
1145,920,2346,2263,1829,2049,805,550,1314,1440
1146,930,2407,2297,1862,2051,835,546,1343,1472
1153,928,2414,2336,1859,2048,851,550,1371,1510
1148,932,2451,2349,1843,2054,887,542,1407,1518
1138,936,2466,2379,1822,2060,895,551,1437,1549
1132,911,2503,2448,1847,2064,887,541,1455,1589
1119,930,2536,2457,1820,2082,901,543,1499,1615
1129,928,2570,2521,1823,2060,900,539,1504,1624
1135,914,2628,2540,1817,2060,904,561,1561,1666
1100,905,2684,2573,1799,2020,940,539,1573,1665
1120,901,2706,2617,1773,1994,951,540,1615,1715
1106,889,2722,2656,1788,1979,965,544,1634,1730
1109,898,2753,2662,1757,1970,979,545,1661,1748
1109,891,2841,2705,1739,1966,980,530,1672,1774
1102,889,2846,2721,1717,1932,981,533,1698,1804
1124,865,2900,2785,1663,1902,1004,539,1737,1848
1130,852,2905,2777,1658,1856,1019,523,1733,1846
1122,856,2910,2822,1632,1825,1029,525,1757,1856
1131,844,2951,2833,1578,1789,1016,535,1763,1882
1130,857,2978,2834,1560,1761,1021,523,1771,1883
1110,850,2963,2854,1540,1732,1035,533,1764,1911
1118,851,2975,2882,1515,1690,1049,535,1792,1889
1095,863,2987,2881,1476,1618,1040,516,1768,1894
1113,869,3000,2916,1437,1564,1032,518,1770,1894
1125,844,2998,2888,1400,1506,1039,509,1767,1870
1109,848,3008,2896,1368,1452,1065,505,1770,1867
1117,854,3023,2895,1315,1414,1053,495,1771,1870
1117,857,2998,2895,1294,1352,1036,488,1752,1828
1108,842,3024,2905,1254,1305,1030,488,1742,1826
1114,838,3009,2917,1198,1268,1045,486,1742,1808
1113,823,3005,2921,1171,1204,1052,474,1725,1785
1104,810,3018,2896,1130,1145,1063,473,1742,1779
1122,798,3022,2899,1095,1098,1064,469,1720,1765
1129,793,2984,2895,1081,1052,1048,463,1719,1756
1102,788,3002,2886,1041,1021,1056,456,1709,1726
1087,791,2950,2876,1005,973,1043,457,1698,1737
1114,785,2964,2846,978,943,1038,455,1680,1714
1095,780,2945,2867,966,898,1035,445,1674,1681
1080,771,2946,2817,934,864,1040,443,1672,1682
1077,780,2928,2827,907,841,1044,457,1654,1653
1070,791,2912,2821,894,805,1031,454,1679,1655
1069,779,2920,2805,889,791,1025,446,1675,1659
1099,773,2896,2791,844,763,1024,441,1693,1672
1096,801,2915,2762,839,754,1029,440,1670,1676
1074,807,2879,2756,844,735,1023,437,1676,1670
1064,798,2845,2761,842,719,1011,419,1669,1641
1081,801,2832,2695,831,699,1020,436,1649,1623
1072,792,2839,2680,817,693,993,426,1642,1634
1079,805,2809,2686,814,691,985,424,1623,1615
1076,801,2756,2665,799,683,979,414,1615,1608
1111,819,2755,2646,805,658,979,420,1591,1605
1103,815,2719,2635,789,652,956,417,1586,1591
1096,809,2722,2596,786,648,951,410,1567,1585
1094,818,2695,2567,771,625,931,405,1572,1574
1105,794,2650,2525,765,622,913,399,1551,1587
1110,804,2641,2490,757,611,891,389,1526,1563
1119,796,2600,2436,753,604,865,387,1524,1549
1096,798,2580,2426,740,590,842,383,1517,1519
1132,804,2562,2412,725,570,830,359,1490,1524
1152,811,2479,2383,728,563,802,358,1480,1498
1158,817,2458,2297,707,540,768,349,1442,1505
1157,821,2398,2273,695,533,742,321,1429,1489
1164,849,2331,2213,684,528,704,325,1409,1482
1173,855,2308,2169,670,519,673,301,1370,1486
1183,864,2214,2134,651,500,649,291,1324,1455
1174,865,2149,2057,628,484,621,290,1323,1388
1149,869,2072,1999,606,465,561,279,1284,1403
1129,869,2005,1921,569,441,515,267,1262,1339
1133,866,1923,1824,544,419,485,245,1240,1331
1106,850,1838,1764,502,396,436,253,1222,1274
1104,847,1832,1755,493,368,403,246,1238,1285
1165,926,1760,1711,467,375,377,213,1207,1261
1062,846,1477,1432,399,298,316,179,1064,1107
