HAL7,HAL8,HAL9,HAL10,HAL11,HAL12,HAL13,HAL14,HAL15,HAL16,HAL17,HAL18,HAL19,HAL20,HAL21,HAL22,HAL23,HAL24,HAL25,HAL26,HAL27,HAL28,HAL29,HAL30,HAL31,HAL32,HAL33,HAL34,HAL35,HAL36,HAL37,HAL38,HAL39,HAL40,HAL41,HAL42,HAL43,HAL44,HAL45,HAL46
177,798,695,376,285,132,450,174,146,648,515,317,429,514,202,244,200,206,204,639,644,460,617,627,580,433,748,608,666,697,773,662,744,724,749,725,647,580,662,727
168,756,648,353,256,135,432,171,136,629,477,310,409,487,194,248,191,185,202,641,620,437,579,610,579,415,766,592,642,666,735,628,719,720,728,704,661,565,661,711
162,748,634,344,246,129,408,165,152,612,458,299,383,460,185,241,191,181,190,639,614,403,562,577,567,434,769,561,635,662,719,616,699,697,742,704,646,580,661,691
160,759,602,322,242,129,396,164,156,576,436,270,365,441,189,240,181,176,190,637,592,406,545,572,560,440,793,524,605,646,709,589,671,684,747,722,669,574,647,682
155,731,592,312,231,125,393,161,169,562,440,270,351,432,179,250,173,165,184,614,566,375,530,561,557,441,825,521,580,629,682,554,657,676,743,704,674,587,652,679
152,724,566,298,221,128,359,159,178,550,415,258,350,423,183,234,172,161,185,607,538,378,511,538,543,439,838,490,573,626,650,552,655,645,740,709,693,568,659,671
149,723,553,289,210,133,359,153,172,522,410,255,327,419,189,233,163,151,187,612,530,364,484,542,550,437,860,479,549,610,644,524,632,650,741,694,689,561,678,663
157,714,537,290,197,128,349,155,180,514,404,233,328,402,180,240,164,157,192,592,515,350,480,528,540,423,879,468,536,595,623,531,625,609,734,710,678,561,653,658
150,713,524,294,195,136,338,150,187,515,387,235,306,410,183,222,155,146,195,606,493,358,459,509,529,422,886,444,521,596,603,509,603,610,743,707,681,557,641,629
150,698,511,292,188,138,335,158,169,489,399,226,308,401,189,219,159,142,188,594,478,350,454,500,542,414,898,434,511,578,590,491,578,595,748,715,690,544,636,621
158,689,501,282,183,140,337,153,167,495,384,212,299,405,179,230,159,137,186,586,452,342,443,493,541,405,918,425,498,573,574,476,558,567,750,688,681,535,628,620
156,669,483,276,178,140,333,146,173,473,394,216,304,390,185,222,156,136,193,588,450,339,429,474,512,402,917,425,483,545,542,470,558,551,745,706,682,521,611,588
163,656,478,267,179,151,322,142,170,452,390,199,282,384,175,218,154,135,190,568,438,330,423,472,506,404,910,411,478,539,549,453,529,538,750,676,662,517,596,577
160,646,467,279,175,156,320,145,182,440,370,200,282,381,175,227,148,131,193,565,425,344,406,463,508,396,921,402,469,513,529,438,506,524,735,685,643,484,580,553
162,627,458,271,163,152,321,160,193,438,357,192,267,363,171,221,142,124,201,551,413,320,405,457,498,406,941,391,464,500,518,422,509,495,718,664,639,459,564,542
162,598,460,265,163,158,322,149,192,425,369,183,270,367,181,220,149,130,200,547,394,335,401,456,490,383,931,376,449,491,503,424,481,480,700,650,607,446,556,522
173,585,454,275,166,164,317,154,205,419,370,195,268,366,168,222,141,131,199,538,380,313,391,449,489,396,944,370,432,484,487,409,479,454,698,632,595,426,531,511
173,574,447,258,170,162,307,157,212,402,371,189,262,363,168,218,133,132,200,527,375,316,378,451,489,386,942,362,423,460,472,407,451,433,692,611,585,420,538,480
180,561,443,258,167,162,314,155,222,399,377,186,268,376,171,224,139,124,198,513,363,317,390,437,497,379,939,361,411,449,478,397,440,420,679,589,573,393,528,481
185,546,446,258,165,173,322,158,224,407,385,190,268,365,174,219,138,126,207,520,364,316,375,439,491,366,929,359,405,435,450,393,433,414,670,573,560,377,511,467
197,526,460,261,156,176,329,165,237,391,377,185,260,390,183,219,140,124,204,499,356,327,368,443,485,362,914,367,403,423,452,399,432,396,653,570,552,353,501,481
206,518,460,276,166,175,321,171,235,407,403,186,254,385,182,223,141,127,206,496,364,340,382,442,497,354,902,391,399,408,451,386,408,379,633,555,551,354,501,465
213,514,473,289,178,178,338,178,242,399,409,183,275,397,191,238,150,128,207,482,362,345,379,439,510,343,898,385,400,397,440,406,422,378,655,554,529,343,495,473
220,513,482,287,175,179,337,184,252,409,418,185,264,408,193,247,141,130,206,471,379,363,391,455,522,337,876,395,409,398,413,396,412,370,643,533,533,343,503,492
235,528,504,301,176,189,338,185,248,402,421,191,275,419,179,243,144,128,204,472,381,374,405,472,521,322,876,406,414,399,421,419,413,377,628,538,521,338,512,499
