HAL53,HAL54,HAL55,HAL56,HAL57,HAL58,HAL59,HAL60,HAL61,HAL62,HAL63,HAL64,HAL65,HAL66,HAL67,HAL68,HAL69,HAL70,HAL71,HAL72,HAL73,HAL74,HAL75,HAL76,HAL77,HAL78,HAL79,HAL80,HAL81,HAL82,HAL83,HAL84,HAL85,HAL86,HAL87,HAL88,HAL89,HAL90,HAL91,HAL92
353,798,666,495,545,947,621,267,578,638,554,442,452,486,216,595,466,549,900,694,850,522,547,733,751,626,396,635,708,767,769,558,743,699,854,787,694,719,789,731
331,784,628,457,508,915,579,257,534,601,521,400,425,460,219,573,453,506,862,708,825,493,525,695,725,634,407,590,657,733,724,533,726,684,855,773,684,698,771,688
321,770,619,438,485,905,554,262,511,591,493,379,394,433,217,561,432,491,859,698,823,472,512,689,710,656,415,570,650,700,710,530,712,676,862,781,705,711,787,697
306,777,606,432,490,891,535,245,492,570,486,368,393,447,210,558,420,461,859,719,810,466,486,682,676,686,445,563,620,695,689,524,710,664,888,804,722,707,815,670
305,764,593,415,449,896,514,248,481,532,468,352,389,429,224,540,396,430,834,730,804,458,487,675,670,706,455,552,622,697,692,522,701,668,907,816,715,713,843,693
290,772,600,416,441,873,500,247,459,536,458,340,386,403,215,546,388,430,824,720,798,449,475,675,669,732,475,543,601,665,672,520,711,673,932,846,741,717,866,690
299,786,591,400,427,864,497,239,456,527,451,339,378,405,234,535,385,415,824,731,802,446,468,672,673,743,509,530,603,678,664,510,709,670,956,854,773,736,876,668
298,805,587,404,417,870,465,246,450,530,434,321,349,394,224,537,376,398,820,748,812,449,456,677,655,774,525,533,594,691,645,501,692,683,957,875,780,746,901,665
296,802,573,388,396,855,458,239,451,501,415,311,352,406,230,529,357,387,819,752,826,443,464,670,660,802,537,513,575,678,637,505,714,695,991,877,804,754,913,660
308,802,569,384,390,863,437,236,419,490,414,292,358,380,226,524,355,373,821,755,831,424,451,658,652,824,557,484,562,689,623,491,714,682,998,926,838,742,920,633
