HAL53,HAL54,HAL55,HAL56,HAL57,HAL58,HAL59,HAL60,HAL61,HAL62,HAL63,HAL64,HAL65,HAL66,HAL67,HAL68,HAL69,HAL70,HAL71,HAL72,HAL73,HAL74,HAL75,HAL76,HAL77,HAL78,HAL79,HAL80,HAL81,HAL82,HAL83,HAL84,HAL85,HAL86,HAL87,HAL88,HAL89,HAL90,HAL91,HAL92
345,805,575,362,332,416,473,156,492,492,435,331,371,399,211,209,327,416,422,841,640,325,552,618,669,521,653,547,559,726,628,551,746,685,781,790,713,722,771,745
332,795,556,337,306,413,460,158,439,465,406,313,344,377,209,207,309,404,408,841,616,327,536,604,687,512,670,533,544,707,600,532,731,675,774,797,733,705,787,726
324,777,536,316,300,396,426,148,447,455,390,294,318,362,202,212,294,379,404,846,631,322,521,575,680,538,692,519,527,694,581,519,711,660,769,808,759,716,811,717
332,782,533,319,280,383,422,146,413,430,373,289,313,351,201,220,289,366,394,863,632,315,507,565,705,536,686,495,521,695,574,510,718,678,783,815,758,718,830,699
343,761,512,302,270,383,396,149,407,405,371,282,296,351,194,222,282,377,382,893,638,309,494,545,701,565,710,489,508,689,565,504,699,680,806,827,797,729,839,684
331,768,505,301,250,379,382,145,407,417,346,266,297,334,195,223,267,371,373,908,625,302,489,541,703,557,722,475,495,688,566,487,687,672,808,825,785,731,872,683
346,746,491,292,255,374,373,143,380,392,338,271,288,343,195,216,280,360,367,916,624,306,477,524,721,565,750,462,481,692,557,469,670,690,801,826,802,732,869,679
335,738,483,299,252,375,362,155,375,400,333,266,284,332,185,216,256,348,374,927,646,299,471,537,720,567,770,451,475,677,536,466,661,691,824,852,797,729,885,673
326,729,470,289,250,377,366,145,384,382,318,264,280,335,192,217,237,351,369,945,627,303,466,513,716,584,765,449,467,654,545,463,655,700,818,828,811,733,889,640
334,726,466,289,244,372,376,151,372,387,320,256,273,326,181,210,246,332,366,950,633,304,456,501,750,589,767,421,453,647,518,447,639,689,807,839,806,715,888,620
328,716,459,285,239,380,359,152,356,374,299,255,253,336,177,225,234,333,355,981,633,301,453,500,749,598,781,425,442,640,511,441,630,676,818,843,825,694,891,621
343,705,455,283,229,381,353,152,348,369,294,246,253,319,172,207,234,324,363,965,628,293,435,474,757,599,785,409,430,624,511,417,606,660,839,825,794,687,889,586
345,682,437,276,230,388,348,155,327,367,281,234,251,316,166,207,228,324,360,988,617,281,427,466,746,590,806,386,430,613,489,410,607,641,826,806,779,671,865,579
343,664,446,268,220,387,332,163,319,350,276,228,236,318,173,199,226,328,360,996,614,280,407,452,754,597,794,383,411,594,477,394,582,629,827,811,773,647,881,549
353,642,419,258,218,390,325,164,300,348,271,234,243,311,164,191,229,316,362,1006,600,258,397,443,754,602,817,361,383,571,465,383,571,604,809,786,754,630,850,512
350,627,414,255,223,392,316,174,295,324,252,231,220,299,163,194,225,322,354,984,600,278,383,426,747,608,802,357,377,550,441,379,543,608,811,789,751,605,846,504
