Left_Optic_Radiation_V1V2,Right_Optic_Radiation_V1V2,Left_MR,Right_MR,Left_DT,Right_DT,Left_AR,Right_AR,Left_SR,Right_SR
479,460,1679,1528,938,1020,253,289,1025,1140
516,464,1778,1617,1027,1107,277,331,1005,1153
551,479,1901,1733,1125,1209,308,382,1034,1171
595,494,1989,1844,1255,1290,345,436,1061,1189
620,518,2103,1926,1316,1391,391,487,1077,1198
646,540,2168,1979,1374,1455,428,535,1114,1215
671,545,2248,2055,1437,1503,469,577,1113,1233
708,567,2273,2117,1489,1551,524,626,1124,1238
747,572,2337,2169,1525,1590,559,669,1137,1264
780,615,2355,2203,1602,1613,595,700,1144,1267
814,659,2404,2269,1616,1638,625,732,1125,1280
851,700,2413,2313,1655,1647,664,793,1132,1294
911,703,2455,2330,1677,1670,675,787,1132,1285
955,748,2419,2376,1671,1656,718,831,1111,1305
1003,781,2419,2362,1664,1671,724,856,1131,1305
1069,823,2438,2401,1688,1666,747,884,1138,1325
1095,864,2462,2431,1689,1676,760,915,1154,1334
1162,864,2425,2444,1698,1653,786,934,1174,1353
1223,887,2437,2448,1694,1637,806,968,1165,1361
1265,925,2480,2462,1724,1651,824,973,1183,1391
1308,933,2484,2483,1715,1619,846,1008,1197,1401
1332,954,2502,2512,1735,1609,864,1023,1221,1426
1392,962,2518,2530,1725,1629,877,1043,1246,1439
1427,954,2504,2560,1747,1614,893,1088,1251,1463
1455,954,2535,2578,1757,1575,910,1112,1286,1484
1488,960,2554,2594,1755,1599,943,1126,1289,1512
1492,987,2581,2654,1761,1584,954,1150,1329,1557
1482,971,2624,2668,1761,1577,964,1183,1353,1557
1494,964,2598,2695,1768,1564,981,1210,1387,1610
1493,970,2638,2747,1786,1580,1008,1228,1419,1643
1493,966,2697,2758,1797,1567,1014,1272,1450,1660
1510,966,2707,2816,1793,1573,1034,1281,1461,1680
1499,967,2743,2838,1809,1565,1051,1306,1506,1712
1526,965,2758,2903,1820,1545,1052,1332,1564,1740
1533,968,2780,2912,1799,1532,1054,1347,1573,1757
1543,971,2807,2952,1799,1519,1088,1379,1603,1813
1552,985,2846,2948,1807,1517,1113,1407,1646,1829
1534,982,2904,2993,1801,1481,1122,1417,1678,1867
1514,983,2910,3008,1776,1484,1137,1446,1693,1897
1563,1001,2926,3042,1765,1441,1140,1478,1709,1903
1562,995,2980,3082,1764,1438,1170,1497,1736,1945
1551,998,3023,3090,1726,1416,1189,1511,1767,1991
1562,989,3029,3147,1686,1364,1197,1560,1797,2005
1580,1000,3070,3171,1681,1361,1222,1569,1833,2045
1585,982,3078,3170,1647,1339,1232,1575,1862,2086
1607,993,3136,3230,1619,1334,1238,1628,1899,2088
1600,974,3178,3234,1574,1314,1257,1641,1928,2131
1623,992,3183,3282,1539,1284,1265,1646,1946,2176
1641,988,3241,3316,1476,1244,1296,1685,1982,2226
1619,986,3234,3358,1439,1233,1320,1711,2001,2286
1623,983,3290,3348,1413,1216,1310,1683,2003,2325
1622,966,3336,3403,1374,1179,1329,1698,2050,2378
1633,961,3338,3418,1314,1159,1335,1684,2072,2401
1603,959,3356,3467,1280,1125,1342,1684,2094,2438
1618,962,3374,3507,1227,1087,1317,1671,2128,2508
1629,963,3380,3525,1184,1056,1336,1663,2168,2564
1606,955,3448,3555,1124,1039,1352,1640,2175,2578
1608,956,3428,3571,1093,1009,1372,1632,2214,2584
1609,957,3505,3580,1048,964,1353,1609,2234,2646
1597,958,3509,3623,1012,957,1363,1598,2253,2679
1587,952,3557,3638,976,922,1343,1617,2280,2717
1575,972,3592,3698,948,897,1359,1571,2276,2746
1593,955,3636,3748,932,872,1346,1571,2313,2786
1559,951,3636,3770,907,865,1333,1568,2314,2803
1536,953,3682,3796,885,846,1322,1566,2350,2790
1549,962,3724,3798,884,823,1308,1578,2364,2818
1528,981,3699,3839,872,824,1325,1565,2409,2832
1525,977,3746,3879,861,820,1323,1556,2437,2857
1511,983,3763,3923,866,826,1308,1542,2464,2871
1484,980,3744,3972,842,832,1304,1512,2457,2891
1464,974,3771,3937,833,813,1321,1484,2458,2906
1454,970,3779,3952,821,813,1284,1488,2492,2908
1438,973,3800,3963,826,820,1285,1455,2526,2975
1466,955,3802,3999,826,815,1287,1423,2524,2940
1456,985,3793,4007,811,861,1269,1405,2513,2949
1467,972,3852,3991,817,843,1251,1356,2531,2975
1427,982,3838,4052,820,834,1251,1358,2570,2988
1447,996,3849,4069,816,843,1242,1321,2526,3015
1422,989,3893,4055,822,867,1221,1289,2569,3028
1452,1028,3859,4044,826,882,1201,1268,2550,3035
1479,1020,3919,4072,834,886,1170,1239,2589,3052
1471,1040,3952,4102,839,907,1148,1192,2619,3043
1460,1044,3946,4095,848,910,1119,1155,2591,3037
1511,1093,3899,4109,842,945,1094,1112,2629,3042
1513,1092,3882,4087,842,952,1090,1083,2645,3066
1522,1153,3909,4152,858,954,1050,1053,2646,3111
1515,1179,3923,4122,851,985,1004,1012,2681,3120
1535,1216,3920,4135,869,980,965,962,2666,3109
1544,1257,3935,4110,873,991,945,955,2707,3112
1557,1284,3943,4179,880,1013,914,930,2706,3155
1606,1338,3892,4167,896,1043,894,897,2762,3129
1623,1374,3952,4162,913,1058,855,884,2802,3113
1644,1402,3917,4113,912,1103,831,867,2838,3132
1645,1435,3878,4165,914,1102,786,832,2868,3095
1709,1481,3875,4108,937,1117,752,802,2900,3104
1740,1510,3827,4171,943,1138,692,773,2901,3098
1734,1554,3863,4111,929,1160,674,733,2952,3099
1753,1602,3715,4012,922,1161,630,702,2910,3038
1744,1603,3784,4017,921,1189,603,653,2986,3071
1587,1481,3269,3588,805,1101,535,561,2709,2715
