Left_Optic_Radiation_V1V2,Right_Optic_Radiation_V1V2,Left_MR,Right_MR,Left_DT,Right_DT,Left_AR,Right_AR,Left_SR,Right_SR
428,475,1567,1497,1234,1165,209,243,940,1004
466,493,1688,1548,1418,1305,241,279,949,1006
509,525,1762,1670,1543,1447,296,330,947,1002
526,564,1897,1752,1653,1543,350,383,943,1043
554,588,1982,1821,1786,1672,414,442,974,1050
582,611,2063,1903,1891,1761,472,478,984,1070
587,653,2131,1955,1989,1861,530,527,1010,1102
604,662,2158,1997,2041,1933,564,575,1014,1120
624,692,2248,2099,2100,1997,607,618,1011,1130
644,708,2310,2110,2164,2072,659,665,1042,1176
657,733,2310,2141,2216,2105,700,708,1048,1186
691,749,2327,2198,2259,2164,737,751,1054,1197
717,764,2358,2233,2296,2214,750,791,1058,1223
749,785,2386,2268,2330,2259,803,851,1062,1249
767,802,2380,2291,2356,2287,823,889,1071,1259
804,836,2410,2306,2354,2322,851,919,1073,1295
841,835,2418,2306,2400,2389,864,966,1083,1285
875,879,2448,2331,2364,2399,882,978,1097,1298
906,917,2444,2326,2385,2409,942,1040,1097,1337
939,917,2475,2344,2399,2437,974,1050,1108,1364
977,953,2470,2373,2390,2435,995,1102,1137,1371
1016,969,2482,2380,2439,2469,1026,1128,1137,1394
1046,998,2502,2376,2439,2505,1046,1132,1174,1413
1071,998,2519,2406,2463,2533,1073,1156,1183,1470
1113,1016,2504,2420,2476,2533,1100,1168,1216,1487
1120,1031,2536,2429,2424,2555,1132,1208,1217,1509
1149,1059,2570,2458,2478,2580,1146,1210,1232,1544
1139,1056,2591,2482,2470,2619,1177,1246,1253,1564
1175,1052,2629,2504,2522,2615,1195,1257,1291,1586
1225,1077,2639,2531,2497,2655,1213,1264,1299,1626
1197,1083,2670,2527,2495,2670,1233,1288,1329,1660
1230,1119,2695,2578,2521,2706,1266,1290,1346,1675
1240,1108,2734,2583,2536,2706,1286,1302,1346,1701
1245,1133,2757,2594,2517,2724,1298,1306,1384,1739
1264,1114,2785,2638,2551,2748,1315,1318,1417,1747
1275,1128,2797,2625,2516,2741,1358,1345,1413,1776
