HAL7,HAL8,HAL9,HAL10,HAL11,HAL12,HAL13,HAL14,HAL15,HAL16,HAL17,HAL18,HAL19,HAL20,HAL21,HAL22,HAL23,HAL24,HAL25,HAL26,HAL27,HAL28,HAL29,HAL30,HAL31,HAL32,HAL33,HAL34,HAL35,HAL36,HAL37,HAL38,HAL39,HAL40,HAL41,HAL42,HAL43,HAL44,HAL45,HAL46
369,771,665,634,478,513,576,353,699,374,530,337,551,600,227,176,257,123,495,395,700,448,578,432,232,186,103,748,762,897,887,647,698,330,590,892,782,518,868,756
359,748,629,605,450,476,540,356,655,368,507,302,523,567,224,178,253,118,483,375,691,436,578,418,247,184,109,684,714,879,840,601,679,330,591,876,787,509,862,741
350,772,611,574,428,463,507,335,622,356,496,301,500,553,221,170,249,120,453,392,687,439,561,411,255,195,111,668,705,873,826,589,659,325,594,915,819,514,922,756
340,767,610,545,410,451,502,328,613,354,461,298,483,550,222,172,246,113,430,393,685,414,528,412,248,207,114,628,704,873,829,580,638,337,593,957,828,529,949,745
325,754,586,541,408,425,506,327,592,345,456,290,478,529,218,174,254,116,429,393,693,404,537,402,256,213,104,607,680,872,807,561,625,325,608,945,857,528,955,764
330,747,598,529,391,433,510,315,565,344,462,292,481,517,218,172,246,110,418,398,709,404,503,382,256,206,110,588,689,861,802,540,616,337,605,952,872,536,991,754
321,747,591,523,396,429,501,327,552,337,449,289,457,505,219,166,235,117,415,403,697,414,518,384,262,215,110,605,673,872,802,535,620,323,613,959,872,514,1000,752
314,729,608,523,387,430,506,324,555,335,452,294,447,499,220,172,234,115,409,394,705,396,516,372,261,226,114,566,653,873,784,513,613,330,611,978,875,513,1033,742
311,713,584,505,395,420,514,321,547,317,435,300,440,489,211,167,236,117,403,394,721,409,494,373,262,218,109,557,658,869,795,524,592,317,621,988,896,500,1054,734
327,726,570,497,383,412,511,314,525,330,439,291,439,494,214,167,235,117,393,391,727,384,509,370,262,226,109,559,641,857,785,507,605,331,622,1010,908,515,1080,714
313,704,562,484,370,407,489,319,517,315,428,283,438,478,223,170,235,118,391,407,730,386,492,374,251,227,110,535,621,847,787,505,580,324,623,1007,898,505,1066,691
306,684,552,492,353,417,479,311,505,308,436,283,431,471,209,168,239,117,391,409,720,366,487,373,251,230,111,528,608,849,797,501,584,322,623,986,915,484,1072,674
311,681,526,476,356,419,473,309,484,323,405,273,412,461,214,163,233,118,388,404,736,366,480,352,267,229,113,500,595,829,780,494,568,325,625,997,900,480,1064,650
