HAL7,HAL8,HAL9,HAL10,HAL11,HAL12,HAL13,HAL14,HAL15,HAL16,HAL17,HAL18,HAL19,HAL20,HAL21,HAL22,HAL23,HAL24,HAL25,HAL26,HAL27,HAL28,HAL29,HAL30,HAL31,HAL32,HAL33,HAL34,HAL35,HAL36,HAL37,HAL38,HAL39,HAL40,HAL41,HAL42,HAL43,HAL44,HAL45,HAL46
585,758,690,663,580,578,596,607,702,684,719,607,545,567,520,709,631,540,710,732,759,563,663,702,718,413,169,690,701,689,762,694,692,695,702,743,668,651,678,681
571,749,676,638,543,566,584,581,652,661,685,592,545,550,501,694,615,520,690,728,759,541,635,677,708,422,167,686,686,677,746,687,680,678,705,737,676,649,702,686
563,745,683,607,546,543,566,564,643,630,673,569,517,544,492,661,585,498,674,697,746,538,625,672,688,414,171,666,680,656,730,676,675,669,714,734,678,652,712,682
560,742,674,609,520,531,579,550,616,635,662,553,516,539,487,638,547,468,656,709,741,521,601,672,680,430,174,657,689,644,719,667,693,639,705,733,672,652,730,675
553,733,646,594,501,503,561,539,601,611,656,538,496,528,485,633,550,454,639,691,727,506,590,655,660,442,172,646,656,640,717,653,673,622,698,729,696,647,756,671
533,721,677,582,484,499,543,508,594,616,632,531,479,509,478,602,523,444,637,692,740,489,574,659,653,449,179,628,652,644,708,639,676,619,711,723,692,646,768,661
550,716,646,572,454,498,524,513,587,606,613,501,484,494,468,590,505,423,633,706,722,474,562,660,643,461,178,630,635,628,716,629,659,607,705,722,691,653,783,663
529,711,633,556,451,484,527,482,566,598,593,474,474,479,453,585,481,400,616,693,735,468,539,640,646,463,179,622,635,620,699,627,654,623,722,720,703,651,799,668
528,695,639,550,443,487,498,468,523,581,570,439,460,477,434,556,481,381,606,672,741,444,535,653,656,469,178,615,612,603,698,602,662,607,709,725,688,634,804,652
530,682,609,515,427,483,476,454,527,577,552,430,440,444,419,539,450,372,594,693,722,432,524,645,631,455,185,608,612,605,686,588,656,608,706,718,715,655,815,644
522,681,588,504,400,476,474,437,508,564,545,418,422,424,386,516,443,370,593,685,727,418,503,646,633,475,183,589,591,598,692,580,645,581,705,718,692,634,798,636
511,677,581,473,401,452,457,426,481,546,523,398,401,409,377,494,422,353,574,669,713,400,484,631,632,460,176,573,575,593,672,562,623,580,710,715,697,621,782,613
515,679,551,477,386,444,442,407,445,529,506,391,392,387,370,489,399,344,573,669,698,382,468,610,628,472,188,556,563,577,645,533,603,573,697,720,679,604,775,594
