HAL53,HAL54,HAL55,HAL56,HAL57,HAL58,HAL59,HAL60,HAL61,HAL62,HAL63,HAL64,HAL65,HAL66,HAL67,HAL68,HAL69,HAL70,HAL71,HAL72,HAL73,HAL74,HAL75,HAL76,HAL77,HAL78,HAL79,HAL80,HAL81,HAL82,HAL83,HAL84,HAL85,HAL86,HAL87,HAL88,HAL89,HAL90,HAL91,HAL92
511,618,641,554,549,1029,586,154,646,583,482,342,432,513,220,624,311,646,636,668,615,469,560,634,723,594,192,560,656,711,667,536,641,751,549,597,593,588,592,634
486,615,632,530,531,1012,568,155,645,566,464,344,435,516,230,577,319,625,624,660,612,464,548,636,712,585,204,557,636,701,664,541,633,755,544,617,584,595,607,603
430,614,621,537,499,990,571,164,634,559,465,354,412,501,216,563,304,596,593,679,603,456,557,629,712,602,217,548,644,693,663,540,627,743,549,623,591,585,607,613
414,608,619,490,485,1008,577,148,616,567,464,345,411,489,230,556,325,585,595,674,614,453,542,637,673,601,224,557,612,686,656,553,647,750,564,625,584,606,644,618
391,622,621,504,477,985,561,156,608,552,462,363,407,490,226,534,333,553,575,693,596,459,549,627,677,623,233,564,608,694,659,562,649,748,561,637,594,594,657,610
380,604,603,496,470,978,560,156,600,555,454,365,404,484,228,516,334,555,557,707,612,444,552,647,684,625,247,559,613,675,683,567,663,748,574,636,592,599,657,610
372,628,632,488,477,976,534,148,589,581,469,374,418,484,228,519,348,546,549,717,616,453,551,642,668,621,262,569,623,688,666,567,665,741,590,672,591,603,675,601
346,619,634,483,469,964,550,142,595,564,463,371,409,493,233,516,358,540,533,725,615,449,540,638,670,629,267,579,621,672,673,572,677,745,596,667,598,595,694,594
355,624,613,486,454,982,523,146,575,571,462,375,417,477,232,516,349,549,536,738,635,449,546,641,682,632,292,562,638,690,666,576,698,757,599,680,607,612,704,589
332,615,619,487,463,958,552,143,578,562,460,381,411,491,235,507,350,524,531,739,609,449,547,650,663,643,275,567,618,688,665,585,680,770,626,703,593,632,707,589
316,600,601,478,459,957,522,144,561,561,456,372,407,486,240,503,359,522,512,759,617,442,534,642,672,646,291,571,609,684,684,583,697,765,609,689,600,608,707,574
318,585,602,475,447,965,529,142,562,554,446,371,393,480,238,503,365,498,508,760,611,423,510,641,670,666,295,550,597,687,668,550,692,766,606,693,600,598,719,565
305,561,587,456,442,956,516,149,545,542,440,354,402,457,236,496,369,489,505,735,600,425,504,627,654,653,299,552,587,661,668,539,701,750,583,683,592,592,716,544
314,548,558,458,433,963,505,146,528,527,429,356,387,467,231,473,354,490,476,747,584,396,497,612,648,652,315,525,566,662,670,541,684,747,581,681,595,573,687,527
300,516,545,456,442,927,495,148,494,506,417,348,384,447,230,483,351,465,487,748,577,383,488,597,642,652,299,507,555,648,654,532,680,727,554,658,579,562,693,505
289,496,531,443,410,916,482,141,498,498,399,357,381,434,231,473,354,453,486,731,548,374,466,576,631,662,298,511,529,632,635,514,659,717,547,635,572,552,672,472
279,470,530,437,410,940,499,138,498,486,390,342,376,433,215,464,347,458,483,715,542,356,448,550,610,640,303,492,508,628,610,514,646,700,544,616,552,532,664,444
280,450,534,420,403,932,475,140,483,477,390,349,353,428,224,444,342,440,482,697,523,348,438,533,583,647,317,475,503,603,603,486,628,674,520,612,543,517,654,429
282,450,530,431,400,918,472,144,471,470,382,347,354,417,220,436,333,446,471,682,523,349,417,525,584,641,313,474,476,584,587,477,620,652,508,594,521,507,640,412
285,425,508,413,399,931,443,142,472,469,379,345,347,411,219,426,333,420,463,682,508,337,409,509,548,643,327,455,465,561,572,470,624,629,497,580,514,480,635,388
278,423,512,422,396,925,462,141,450,461,380,356,343,409,217,421,352,415,452,661,503,337,421,491,536,637,314,469,441,532,557,477,604,640,482,580,483,494,628,391
276,414,514,405,387,941,452,145,446,456,383,352,345,400,220,397,348,411,457,647,495,331,409,501,525,622,315,473,442,510,545,462,585,599,461,555,479,471,623,385
279,413,514,405,381,932,445,139,448,460,384,360,343,402,218,401,357,392,454,631,498,335,400,481,505,631,314,478,430,502,543,458,582,597,447,556,458,461,618,380
296,403,532,413,380,928,435,143,461,460,389,356,357,402,221,396,355,396,457,631,500,332,408,491,478,613,326,474,413,480,541,466,580,599,438,561,456,457,624,377
311,418,539,403,381,905,443,150,464,462,404,364,352,407,220,393,367,394,450,626,495,329,416,473,470,605,325,491,431,475,520,469,572,584,454,540,454,477,630,378
321,433,543,416,370,925,434,143,465,473,392,378,361,413,221,380,372,384,448,624,524,341,409,480,444,595,314,492,424,473,542,488,570,583,451,532,441,451,645,383
329,435,557,423,382,902,431,152,474,482,397,384,359,409,232,372,362,376,435,617,508,340,418,485,438,605,327,502,447,469,545,480,584,573,447,535,428,465,662,387
351,449,545,432,383,927,437,145,469,483,411,390,363,416,234,377,371,384,421,618,553,362,430,491,421,602,343,508,440,465,558,490,580,588,440,548,433,468,663,401
358,457,571,439,385,923,444,145,467,484,427,404,370,412,232,376,382,387,417,628,548,348,426,495,413,587,331,498,448,473,559,522,602,590,448,548,419,480,695,400
363,453,568,442,404,911,436,148,476,510,419,400,379,426,227,362,371,387,415,624,559,357,439,497,401,606,325,511,459,472,557,510,611,591,456,556,420,485,687,423
385,453,570,460,402,912,454,146,483,483,443,418,382,433,232,359,372,395,410,637,571,365,435,507,406,591,331,506,473,467,575,537,620,604,460,566,425,493,684,420
383,460,593,478,412,888,458,145,496,494,432,429,390,435,248,369,379,394,419,658,590,369,433,527,397,596,338,525,473,471,572,531,624,615,472,580,429,510,714,422
398,460,591,488,419,876,472,144,492,525,451,440,414,439,254,373,384,401,415,656,602,367,439,519,392,608,335,526,475,491,592,549,639,611,475,603,431,511,705,430
417,461,586,481,428,890,458,144,490,517,453,433,411,440,260,377,390,395,412,673,611,370,442,527,397,597,325,535,478,498,583,547,655,642,482,607,435,520,728,431
439,475,601,484,433,889,488,146,507,517,442,443,425,456,266,378,395,408,405,682,614,376,449,546,408,609,341,527,470,506,597,567,670,638,495,610,438,519,726,442
440,472,611,503,429,872,485,148,506,533,462,453,434,454,276,373,406,421,406,686,629,388,462,557,401,634,333,535,487,512,608,568,694,658,497,618,433,543,749,444
475,487,617,520,453,877,497,154,503,538,475,472,439,461,285,386,415,434,415,694,635,399,465,553,409,630,329,547,497,515,612,574,690,675,498,617,438,549,742,447
475,482,606,518,450,866,520,157,519,552,481,493,451,462,278,378,429,432,408,715,633,399,478,556,408,649,320,543,501,488,632,584,696,679,507,618,439,555,769,447
486,493,629,531,443,854,525,162,503,555,489,496,455,480,282,389,416,452,395,719,649,406,493,574,407,649,336,553,496,501,638,598,724,694,512,635,440,576,799,455
497,506,633,545,452,861,525,168,508,561,479,498,461,479,297,407,439,463,393,730,651,411,498,576,416,670,328,537,507,509,641,599,723,686,515,649,440,589,831,459
511,519,647,536,448,858,524,169,484,550,486,487,460,497,299,393,445,454,396,726,653,421,502,581,414,666,343,561,516,502,663,601,732,711,529,654,444,624,855,463
528,538,646,544,447,856,540,181,482,556,489,489,461,496,294,405,453,449,383,748,687,427,507,587,421,668,325,549,527,517,655,595,749,708,530,660,457,640,890,475
544,546,662,555,456,860,536,190,508,554,501,499,486,490,295,402,473,462,381,755,700,430,525,601,406,678,338,559,536,504,651,602,742,713,527,676,461,658,925,486
571,567,669,555,460,838,551,183,502,562,491,491,474,499,301,420,480,472,392,784,694,441,521,601,415,700,333,558,552,517,662,597,768,736,541,712,473,668,951,491
565,585,674,554,431,823,563,195,493,568,483,479,479,496,303,428,489,468,395,767,716,447,529,614,407,696,334,559,555,519,659,604,773,741,538,725,475,711,985,504
574,601,672,561,436,813,567,206,483,558,488,490,468,483,312,432,488,475,391,779,736,461,531,622,414,708,327,545,561,527,661,610,780,748,548,762,488,721,1014,519
573,629,681,553,428,804,556,209,478,554,481,480,477,489,305,442,482,485,394,790,740,470,531,620,409,713,332,551,560,534,668,607,788,771,556,798,492,759,1031,546
617,659,686,545,419,789,557,221,477,574,467,476,495,497,315,454,514,483,400,804,744,482,533,626,415,725,326,561,563,541,676,606,801,798,567,820,513,802,1084,560
594,682,694,558,416,796,571,222,479,562,466,469,483,502,318,451,516,481,388,820,767,477,541,626,418,741,330,555,576,567,674,596,787,807,581,861,528,820,1123,567
612,702,714,555,398,776,564,223,469,565,476,471,477,497,313,465,531,478,380,844,777,493,549,635,409,750,320,528,578,560,675,589,807,822,602,904,546,833,1160,590
617,743,732,547,397,773,580,218,470,558,461,468,480,503,318,473,527,472,387,844,805,504,559,649,414,740,323,520,596,581,676,588,822,845,612,946,562,867,1184,614
615,760,735,535,388,752,583,221,460,565,457,462,476,498,314,476,539,465,395,859,820,506,568,645,430,760,322,540,585,586,681,581,841,872,638,975,588,881,1198,621
635,782,746,533,379,755,573,226,463,567,466,470,483,505,319,493,539,449,400,894,853,515,576,658,413,753,327,544,596,602,695,593,850,901,661,1016,602,895,1238,654
620,812,727,516,389,743,563,230,449,555,478,466,486,508,318,509,545,443,405,916,863,538,568,664,412,760,334,543,622,620,710,581,851,929,689,1067,617,917,1258,676
622,857,762,508,385,736,568,234,459,539,462,468,480,504,306,521,542,449,404,926,875,543,590,672,435,778,329,526,632,631,710,570,881,971,713,1099,637,913,1273,698
612,872,779,509,391,731,545,223,456,540,481,483,474,515,312,528,526,434,403,922,906,549,590,669,428,779,316,544,626,656,716,578,897,1005,721,1174,648,920,1278,721
612,895,809,517,396,723,561,225,457,533,473,486,473,508,308,529,531,442,400,939,902,562,596,688,427,776,322,543,653,685,741,586,922,1039,745,1197,664,944,1260,744
611,917,828,523,397,725,561,232,463,537,499,505,466,516,306,550,530,425,406,948,933,585,626,695,434,776,315,544,662,697,723,595,966,1068,767,1220,688,949,1290,755
619,940,869,511,381,719,542,225,445,548,498,511,478,523,301,546,523,432,400,933,949,611,627,722,431,798,320,551,685,728,753,600,986,1116,800,1267,703,949,1280,767
618,949,883,510,383,709,572,231,464,548,484,509,472,545,300,549,506,423,404,980,975,625,641,719,418,814,309,572,708,734,742,606,1012,1146,819,1274,720,947,1253,762
602,953,927,513,389,700,570,223,479,553,496,520,466,550,314,557,496,430,405,964,981,625,649,746,428,804,307,587,733,764,754,613,1063,1174,826,1299,729,946,1271,782
613,952,954,519,382,706,582,226,494,557,518,530,469,574,317,557,487,416,414,958,984,647,678,748,419,814,315,594,752,783,782,595,1104,1210,836,1326,739,937,1267,756
580,934,981,509,386,706,604,227,523,576,525,529,483,581,319,566,485,424,419,977,993,669,685,776,436,815,321,609,781,812,803,604,1151,1254,838,1329,747,934,1268,778
577,959,990,517,372,699,602,231,525,583,523,542,486,596,320,555,473,428,416,993,993,663,684,784,438,807,305,609,786,831,801,618,1194,1279,837,1322,764,934,1249,784
585,943,992,518,379,713,605,229,543,582,546,543,490,614,330,549,470,437,415,982,1004,668,702,821,447,811,313,633,814,861,814,630,1218,1317,838,1333,748,916,1226,795
573,961,1020,514,368,707,606,229,549,604,552,534,493,626,321,540,453,437,419,956,995,675,709,826,459,822,314,640,825,879,828,650,1253,1334,845,1303,741,922,1198,791
577,936,1024,524,377,709,604,226,565,625,572,544,500,625,333,539,438,425,415,963,1009,677,742,838,462,811,306,650,823,911,827,663,1270,1349,852,1299,735,880,1205,776
572,950,1040,532,371,695,612,219,551,625,574,548,511,641,334,535,427,432,421,949,1001,694,748,847,459,820,300,659,830,908,854,670,1330,1384,853,1293,726,900,1169,793
577,934,1024,524,360,688,627,224,560,632,591,540,512,660,329,518,426,440,433,952,995,687,758,864,471,785,285,649,834,931,885,679,1340,1401,844,1285,726,875,1164,797
576,923,1025,527,357,703,621,218,556,659,602,532,530,678,327,515,405,444,454,933,975,707,777,866,489,801,292,652,828,935,908,684,1337,1420,826,1261,729,882,1155,800
558,912,1014,533,353,718,630,218,554,665,618,541,516,697,329,517,401,442,456,940,986,705,771,881,471,798,280,647,815,948,913,700,1339,1432,834,1282,698,866,1138,789
544,896,1016,525,335,704,636,221,541,680,628,548,537,722,333,507,385,440,464,922,975,705,790,885,455,807,286,637,807,941,914,699,1361,1461,831,1279,722,857,1115,791
562,863,993,540,340,717,634,218,532,691,643,534,550,740,325,513,384,430,465,907,982,700,791,883,463,796,281,613,792,961,927,701,1337,1468,807,1253,712,843,1104,792
528,846,982,531,327,715,652,218,524,705,649,526,540,736,324,513,387,449,475,887,952,690,818,896,477,775,289,603,782,937,943,697,1352,1487,792,1252,690,835,1074,785
542,852,969,521,315,702,649,207,510,706,637,527,567,752,319,512,366,431,474,878,950,694,812,887,466,772,290,574,772,933,945,711,1334,1492,785,1243,689,829,1074,798
532,829,962,520,312,693,668,209,505,735,641,516,563,773,330,522,358,419,496,866,945,697,821,889,479,786,274,559,766,914,959,703,1351,1491,801,1255,692,834,1050,788
519,807,911,518,303,683,665,206,503,717,638,510,561,790,334,508,351,430,492,868,946,686,819,907,455,788,281,547,745,919,940,692,1314,1482,772,1273,679,826,1064,768
527,811,915,502,290,685,658,201,485,738,619,499,551,802,321,511,339,425,501,846,935,699,848,888,442,760,272,526,733,899,941,693,1328,1462,773,1285,664,813,1060,796
509,801,905,501,292,686,655,206,496,735,624,496,560,807,345,515,333,433,506,837,936,657,836,895,433,763,269,516,739,906,929,675,1311,1442,771,1294,662,811,1061,783
502,789,920,489,283,690,657,208,500,718,605,483,572,817,342,507,316,415,509,806,935,649,833,891,428,727,265,510,733,897,933,691,1294,1472,773,1336,648,789,1048,762
514,783,884,485,278,682,671,205,496,714,587,477,583,823,336,504,320,417,535,803,919,654,835,897,411,736,266,499,712,890,907,678,1256,1447,778,1345,638,781,1043,780
497,773,889,481,271,673,654,193,512,682,594,470,584,822,345,512,314,411,531,812,915,643,845,886,394,724,244,505,720,878,904,675,1247,1430,761,1353,618,777,1040,772
486,763,897,467,276,669,646,199,513,656,574,458,591,820,352,501,331,409,535,804,910,632,833,878,382,719,255,511,734,854,869,672,1234,1419,776,1404,617,772,1032,782
481,759,900,473,274,656,621,188,498,644,564,454,611,833,356,504,327,404,537,786,932,630,828,883,369,697,257,510,724,837,873,664,1245,1400,762,1401,614,765,1041,785
476,759,909,452,270,654,612,199,508,642,557,448,608,833,342,499,339,403,540,784,925,621,820,880,362,667,244,532,726,827,852,679,1229,1387,733,1414,599,775,1053,793
472,765,904,455,272,644,596,198,512,631,550,455,620,833,356,484,341,393,536,775,929,630,808,891,354,658,237,551,725,825,825,679,1184,1373,738,1434,604,767,1055,804
476,766,903,430,276,642,602,194,518,603,556,451,622,819,363,476,354,369,537,790,930,625,818,895,341,628,229,568,732,806,844,662,1210,1362,731,1442,615,778,1027,801
457,764,937,441,273,612,577,205,501,592,553,439,644,827,354,483,367,361,554,785,923,606,794,892,347,627,219,586,738,812,860,679,1193,1342,724,1455,610,767,1033,827
451,754,914,438,270,601,552,197,504,603,545,447,663,832,358,490,381,334,550,788,945,610,792,882,329,611,220,617,745,819,837,672,1209,1345,715,1453,606,786,1051,833
