HAL53,HAL54,HAL55,HAL56,HAL57,HAL58,HAL59,HAL60,HAL61,HAL62,HAL63,HAL64,HAL65,HAL66,HAL67,HAL68,HAL69,HAL70,HAL71,HAL72,HAL73,HAL74,HAL75,HAL76,HAL77,HAL78,HAL79,HAL80,HAL81,HAL82,HAL83,HAL84,HAL85,HAL86,HAL87,HAL88,HAL89,HAL90,HAL91,HAL92
641,766,593,489,592,820,694,461,621,516,530,645,609,575,289,468,626,650,614,415,728,587,614,731,780,184,117,664,589,771,757,682,815,789,622,662,679,567,643,722
594,771,582,476,560,811,663,451,601,503,530,616,588,571,290,461,611,626,600,416,735,561,605,695,758,181,123,641,599,754,722,662,799,797,619,652,666,561,669,724
576,769,591,444,511,789,627,422,571,487,499,590,555,548,290,461,582,591,593,421,709,542,601,699,751,188,132,631,583,736,711,662,808,781,636,644,664,560,692,717
534,772,573,420,482,783,615,412,558,487,482,554,522,532,285,467,568,572,578,411,693,539,603,678,756,205,130,616,582,751,707,630,811,776,653,642,687,579,717,705
537,768,575,415,455,776,581,404,526,475,477,519,512,532,288,451,548,536,549,429,698,522,576,676,742,205,134,631,573,744,697,622,809,771,628,649,668,577,734,694
520,776,567,406,439,780,558,382,510,466,470,490,478,524,293,425,532,517,541,414,690,491,576,650,766,200,137,602,566,743,683,607,813,770,634,638,684,598,741,679
501,767,566,389,418,764,545,365,499,451,449,443,457,503,278,431,502,491,538,439,681,492,573,647,737,210,138,582,552,741,681,592,808,769,631,644,688,580,767,692
496,774,548,365,406,755,512,348,487,439,431,437,442,499,287,431,483,463,531,426,685,473,545,638,750,206,136,555,528,746,664,592,794,776,618,629,694,579,760,682
490,782,529,354,380,758,496,337,466,405,412,407,432,481,272,426,477,452,523,426,656,465,531,626,759,201,147,541,521,741,639,571,803,769,613,652,683,593,762,665
462,774,510,337,369,755,487,324,443,398,394,386,412,475,280,428,461,434,517,421,664,445,515,614,743,198,144,514,500,726,626,564,794,748,610,623,689,599,775,640
465,758,487,330,344,734,465,313,415,378,376,385,400,434,265,407,447,421,506,416,643,428,510,607,741,211,146,497,483,721,600,553,777,745,607,629,677,583,772,619
437,746,465,326,339,726,449,298,399,366,363,361,377,426,261,390,426,407,503,399,626,423,482,588,734,210,143,474,451,720,587,533,776,730,603,618,684,566,758,613
416,743,452,316,326,737,422,289,385,357,356,344,364,418,255,388,403,377,490,401,607,394,457,566,712,202,147,464,428,693,552,518,758,730,600,600,673,563,748,589
408,730,437,310,320,724,405,284,367,349,329,326,358,402,254,385,397,373,490,387,600,385,441,540,704,203,147,428,413,685,539,491,764,705,604,604,644,559,745,557
398,721,429,298,303,733,391,275,363,342,318,319,344,392,243,361,384,350,492,387,575,369,430,542,710,205,146,437,399,681,517,477,740,697,588,587,661,543,723,544
393,720,419,297,304,741,375,274,343,347,327,319,349,379,243,363,369,336,487,370,543,370,425,513,680,205,151,418,383,675,506,459,739,697,581,582,667,543,730,533
374,704,395,286,300,720,366,268,349,333,330,298,330,373,245,360,366,332,483,369,541,353,413,502,667,216,153,401,364,666,498,443,722,672,584,578,639,535,736,536
378,692,394,285,295,733,359,261,354,329,317,314,333,379,248,349,341,333,472,373,528,368,405,489,661,208,149,397,363,660,485,433,706,677,556,575,631,528,736,516
371,699,409,279,298,715,358,262,353,339,323,311,327,370,234,344,342,319,469,356,508,359,411,473,652,211,148,392,356,656,469,418,708,659,560,549,617,521,748,529
375,689,403,285,306,707,345,258,352,347,323,310,317,378,249,338,341,314,475,353,509,355,418,457,631,207,154,388,352,629,456,425,700,643,541,549,627,526,746,522
382,697,412,289,310,712,334,248,349,358,324,319,320,372,263,337,346,304,472,348,504,368,418,441,632,211,152,395,345,635,451,426,702,634,546,541,598,509,757,526
388,689,428,283,311,695,362,258,369,358,329,310,328,376,263,350,341,305,471,348,497,362,419,437,618,203,152,411,358,624,440,420,687,628,535,533,582,505,758,539
411,694,428,288,316,696,346,254,372,373,327,324,322,383,270,339,331,298,448,345,501,360,428,443,607,207,155,412,362,634,445,419,676,619,527,517,581,508,769,529
409,694,435,284,312,693,353,252,376,376,342,334,328,387,281,336,343,310,451,329,507,371,436,445,598,212,152,424,368,628,442,432,684,624,525,528,576,517,769,528
412,710,449,299,324,687,355,246,370,385,340,345,324,394,277,343,329,313,436,324,497,369,452,443,597,216,149,422,362,643,443,421,683,622,533,531,569,534,798,543
415,720,462,307,317,688,364,240,391,394,349,340,330,387,280,334,325,301,425,325,501,375,447,447,583,208,155,432,371,645,447,434,684,617,528,535,562,535,783,555
426,722,472,315,341,683,368,242,385,394,345,336,323,404,295,346,320,310,411,323,502,387,455,444,584,215,152,434,368,647,434,431,680,623,524,526,574,535,802,559
426,734,481,321,347,671,373,243,396,415,352,353,333,402,296,346,330,321,412,335,503,392,463,444,575,212,156,445,373,653,452,433,676,630,524,531,560,552,812,567
440,740,482,332,354,662,385,237,393,410,351,340,334,410,301,345,324,313,414,316,526,400,475,448,593,217,154,461,374,664,454,441,684,647,542,527,562,544,816,575
429,747,489,336,368,661,399,246,406,427,354,347,341,418,294,351,339,319,402,319,515,387,479,463,578,221,154,454,366,674,446,445,693,646,530,533,565,565,819,588
448,763,501,344,354,651,393,249,408,439,369,365,357,421,300,348,341,318,397,324,519,410,487,454,585,216,153,461,378,682,454,441,694,655,533,544,555,551,804,587
453,755,521,348,358,651,414,255,420,440,376,367,366,427,299,364,336,328,402,312,529,396,486,473,592,221,150,470,373,693,452,447,700,668,551,547,565,571,825,600
456,775,515,356,369,633,414,250,418,447,372,372,368,440,303,344,339,337,402,311,519,413,496,470,584,228,154,480,380,694,451,456,711,667,555,540,570,565,816,595
455,767,521,361,382,628,404,258,431,452,383,372,377,448,317,369,329,337,397,329,530,406,505,464,598,220,159,476,374,684,468,444,729,669,572,543,577,572,798,602
462,776,518,376,377,619,418,253,412,479,382,375,370,446,319,367,343,353,398,312,529,424,517,470,588,218,155,479,382,711,451,454,733,669,555,541,573,562,811,614
468,777,532,389,383,607,432,261,430,473,386,381,389,454,326,366,325,356,401,322,525,414,514,466,599,218,154,479,375,707,476,444,723,685,578,529,567,561,803,599
