Left_Optic_Radiation_V1V2,Right_Optic_Radiation_V1V2,Left_MR,Right_MR,Left_DT,Right_DT,Left_AR,Right_AR,Left_SR,Right_SR
587,589,1555,1512,1082,1236,216,204,947,1092
621,622,1676,1575,1241,1373,235,230,936,1102
693,690,1759,1663,1365,1548,271,271,926,1074
755,737,1871,1717,1505,1677,305,316,915,1098
792,772,1963,1797,1591,1793,351,363,903,1124
835,822,2024,1885,1695,1884,398,390,931,1124
856,844,2090,1951,1760,1936,417,426,932,1117
874,894,2153,2003,1828,2032,454,454,939,1145
897,932,2188,2053,1883,2059,479,484,937,1137
932,990,2228,2078,1919,2120,506,508,939,1157
989,1010,2256,2081,1962,2146,514,528,933,1140
1026,1077,2261,2088,1990,2189,545,552,946,1123
1050,1131,2292,2123,1989,2217,559,556,939,1151
1099,1158,2298,2141,2005,2220,577,568,954,1156
1126,1239,2308,2125,1991,2231,601,568,949,1148
1187,1307,2295,2134,2023,2199,615,589,921,1152
1217,1328,2288,2138,2029,2186,632,594,939,1157
1283,1366,2274,2188,2013,2188,650,610,928,1170
1345,1422,2291,2195,1994,2190,657,600,941,1169
1378,1462,2278,2204,1957,2175,675,610,931,1168
1423,1480,2295,2179,1949,2153,697,619,944,1184
1437,1491,2288,2212,1937,2128,707,632,935,1190
1493,1499,2272,2204,1920,2099,734,636,937,1201
1538,1551,2284,2226,1886,2095,758,640,942,1206
1549,1536,2305,2228,1893,2087,770,654,962,1238
1574,1558,2263,2233,1883,2070,802,677,956,1254
1589,1555,2304,2250,1858,2051,802,675,976,1274
1565,1573,2337,2282,1849,2046,834,697,973,1286
1567,1575,2319,2265,1798,2044,846,705,991,1286
1565,1603,2321,2337,1799,2043,861,726,996,1310
1570,1596,2320,2323,1774,2065,892,731,1027,1344
1561,1596,2349,2368,1783,2046,876,761,1036,1377
1550,1606,2353,2367,1764,2058,904,762,1051,1389
1549,1602,2391,2396,1750,2047,915,776,1082,1406
1546,1592,2380,2422,1717,2033,939,779,1088,1424
1567,1583,2396,2441,1703,2056,951,795,1098,1477
1540,1589,2428,2463,1692,2059,959,799,1117,1474
1546,1613,2439,2479,1670,2053,963,795,1128,1490
1556,1595,2454,2478,1644,2049,973,806,1154,1526
1558,1587,2522,2520,1584,2056,985,823,1148,1534
1548,1585,2534,2559,1594,2056,994,825,1187,1545
1554,1585,2554,2578,1584,2035,1010,830,1201,1556
1540,1589,2572,2602,1545,2033,1001,834,1221,1568
1542,1595,2591,2630,1519,2028,1045,830,1229,1611
1567,1585,2603,2682,1517,2021,1043,821,1261,1616
1551,1589,2625,2686,1493,2001,1036,829,1267,1651
1552,1585,2641,2689,1475,1991,1037,820,1269,1638
1546,1577,2661,2695,1466,1993,1031,829,1307,1666
1564,1589,2684,2672,1435,1954,1026,809,1319,1664
1558,1571,2686,2705,1418,2002,1040,821,1337,1693
1564,1572,2702,2729,1360,1932,1027,810,1338,1692
1539,1564,2705,2736,1367,1934,1036,797,1351,1670
1552,1571,2741,2725,1333,1915,1033,807,1369,1685
1549,1548,2756,2726,1298,1891,1026,808,1383,1676
1520,1535,2767,2717,1266,1840,1037,818,1387,1684
1537,1526,2795,2719,1236,1855,1031,822,1396,1671
1523,1515,2796,2721,1230,1804,1045,806,1384,1655
1531,1521,2796,2765,1205,1780,1034,818,1403,1664
1528,1503,2791,2719,1156,1740,1028,805,1422,1655
1510,1495,2776,2721,1137,1725,1009,817,1411,1644
1525,1513,2787,2725,1115,1679,1012,800,1418,1639
1510,1466,2774,2714,1097,1621,1018,813,1425,1629
1486,1467,2801,2714,1074,1604,1013,807,1409,1603
1515,1455,2813,2689,1060,1569,1001,799,1414,1607
1501,1450,2802,2691,1026,1580,980,792,1398,1587
1499,1423,2815,2689,1000,1531,986,781,1416,1598
1490,1421,2802,2683,1004,1530,952,783,1428,1584
1491,1389,2831,2673,970,1492,972,779,1431,1577
1514,1396,2830,2677,959,1496,947,759,1414,1577
1499,1392,2835,2663,948,1476,937,739,1421,1560
1495,1393,2815,2634,937,1468,938,731,1422,1551
1487,1375,2824,2641,932,1470,933,740,1405,1539
1465,1383,2817,2632,937,1441,916,716,1426,1529
1461,1367,2810,2612,903,1421,910,720,1410,1528
1465,1367,2822,2593,884,1416,882,704,1374,1562
1461,1349,2794,2555,885,1425,870,694,1391,1507
1458,1373,2779,2573,875,1384,875,691,1388,1521
1456,1345,2732,2584,858,1379,859,684,1387,1540
1448,1357,2748,2547,845,1356,828,667,1373,1518
1472,1335,2742,2534,817,1353,811,655,1365,1502
1462,1352,2719,2507,826,1322,779,642,1357,1512
1475,1358,2714,2517,822,1319,735,630,1336,1513
1475,1367,2673,2464,812,1291,716,626,1328,1488
1497,1371,2649,2456,814,1314,713,609,1309,1504
1482,1354,2597,2415,797,1313,683,585,1314,1471
1486,1374,2574,2393,772,1275,640,563,1269,1499
1458,1374,2506,2353,778,1281,618,545,1270,1499
1448,1374,2486,2303,762,1247,578,540,1242,1474
1469,1396,2491,2257,746,1244,551,514,1197,1442
1441,1379,2408,2228,724,1211,533,484,1215,1435
1432,1392,2376,2150,699,1173,499,472,1178,1399
1408,1367,2328,2076,711,1157,464,449,1158,1372
1418,1367,2253,2036,677,1113,431,435,1152,1342
1388,1345,2213,1967,632,1064,409,425,1119,1280
1371,1341,2149,1886,619,1005,392,389,1058,1262
1378,1353,2021,1839,587,942,357,365,1015,1216
1329,1359,1960,1791,555,872,329,338,985,1181
1292,1350,1906,1726,535,793,302,311,966,1215
1369,1394,1824,1571,485,745,288,285,866,1027
1444,1435,1754,1598,520,699,283,268,934,1174
