HAL7,HAL8,HAL9,HAL10,HAL11,HAL12,HAL13,HAL14,HAL15,HAL16,HAL17,HAL18,HAL19,HAL20,HAL21,HAL22,HAL23,HAL24,HAL25,HAL26,HAL27,HAL28,HAL29,HAL30,HAL31,HAL32,HAL33,HAL34,HAL35,HAL36,HAL37,HAL38,HAL39,HAL40,HAL41,HAL42,HAL43,HAL44,HAL45,HAL46
51,792,696,471,417,21,743,58,617,191,691,458,522,750,155,79,30,36,66,693,819,542,702,778,775,448,296,742,726,649,712,712,691,663,724,612,609,620,621,731
50,822,660,458,391,22,732,69,573,210,701,432,489,717,178,92,32,30,65,714,839,577,715,789,762,477,314,754,731,656,762,734,728,688,744,645,629,654,644,767
60,843,658,437,382,22,732,77,579,225,699,427,478,705,189,94,36,31,66,751,869,576,720,804,782,457,346,762,744,680,769,737,737,700,768,657,640,667,681,774
64,867,636,420,364,22,738,74,553,252,701,413,458,688,206,100,39,33,65,783,891,589,734,842,803,455,353,782,783,687,791,761,780,735,791,681,664,688,697,783
65,871,647,416,356,20,734,83,525,279,703,395,440,695,209,101,36,40,65,806,885,597,740,833,805,457,384,784,791,706,809,764,794,768,820,699,697,704,719,797
63,874,626,390,328,21,727,76,519,287,703,378,418,686,211,95,42,38,62,825,888,589,743,851,811,467,400,790,803,714,843,769,818,774,841,713,699,716,744,815
60,890,630,376,319,22,705,78,512,303,693,360,414,666,237,102,40,36,58,841,879,604,733,860,822,459,418,785,796,716,866,795,828,797,845,718,716,732,760,801
56,888,616,360,313,21,683,77,496,312,677,349,409,653,237,99,43,40,61,861,884,583,737,842,836,472,428,775,807,720,868,797,841,787,858,735,735,730,767,821
58,887,616,357,296,21,679,79,484,313,661,329,381,638,242,100,42,39,63,852,877,575,725,848,836,451,442,761,797,734,884,778,857,791,870,747,753,737,801,823
56,874,592,344,283,21,647,75,462,323,645,312,373,628,235,92,44,35,60,878,865,564,699,839,823,465,458,741,781,735,889,788,845,783,892,744,751,731,781,811
61,879,600,338,251,22,630,77,467,315,633,297,362,602,224,109,40,37,64,892,841,546,688,839,834,455,472,715,770,729,877,781,840,783,901,718,764,710,784,787
60,871,572,323,249,22,615,75,441,315,625,285,348,587,216,94,40,34,59,879,793,515,674,822,834,466,493,700,753,722,889,768,856,768,914,704,757,691,771,757
55,838,572,300,238,21,603,82,424,299,584,269,336,573,210,96,43,33,61,863,774,495,640,803,792,464,498,682,726,704,868,733,833,785,900,702,743,678,766,746
60,842,551,290,237,22,559,77,412,300,563,248,313,541,208,99,41,35,59,861,742,456,613,779,800,450,505,646,710,709,853,710,822,752,891,695,745,646,731,715
60,814,534,276,227,22,537,79,391,294,522,241,292,512,204,88,42,38,63,842,719,442,592,757,787,460,516,631,682,688,844,685,799,727,905,664,739,601,720,676
63,779,511,261,221,19,525,80,359,273,510,232,291,493,186,87,39,41,63,828,681,414,545,734,771,455,520,576,669,665,828,648,767,736,891,616,704,575,687,644
69,747,489,255,209,20,497,78,350,280,482,218,274,463,185,86,42,41,61,801,655,384,532,704,745,437,512,558,626,655,820,617,751,695,875,596,685,545,644,613
65,718,474,243,196,21,488,82,334,271,455,192,266,433,175,91,46,43,60,782,640,384,507,667,727,433,501,544,595,620,792,614,756,686,859,575,688,520,628,597
73,698,450,228,183,22,460,85,317,271,433,190,245,416,176,94,41,47,64,774,615,364,484,638,712,429,515,500,587,594,764,593,707,663,811,542,641,489,584,568
70,682,424,219,170,22,448,82,303,278,398,180,230,385,175,86,43,44,57,750,586,353,462,611,679,411,550,486,566,563,767,555,685,627,822,532,631,484,574,544
71,643,408,209,152,21,432,81,284,271,390,178,226,358,172,93,45,47,58,702,570,355,449,599,662,406,525,480,543,555,742,535,666,595,788,508,602,461,550,517
73,631,384,199,157,22,412,82,271,271,375,167,212,348,177,98,44,46,59,695,544,346,417,577,634,386,511,464,546,512,723,530,644,603,782,491,589,444,544,518
71,616,368,199,156,20,408,84,266,284,370,171,216,336,179,94,45,49,63,684,552,353,427,550,615,371,519,458,515,498,696,515,629,578,768,487,566,441,540,505
82,604,353,192,157,21,390,86,280,289,368,166,203,314,179,100,46,50,61,676,548,362,403,540,598,361,507,458,526,479,684,511,617,565,751,467,553,437,527,491
85,589,356,194,149,21,391,82,264,280,363,161,200,311,186,102,41,48,57,664,551,353,392,507,579,364,504,464,517,472,672,500,603,548,731,469,554,440,514,490
80,586,337,186,157,22,389,85,269,306,361,160,202,316,188,104,45,54,58,650,550,356,392,492,559,341,497,451,510,459,681,502,576,532,708,452,542,449,535,489
79,577,348,194,158,20,388,86,276,309,372,168,196,308,191,110,51,51,56,659,556,378,393,486,537,328,518,451,511,449,658,484,552,539,702,466,550,451,531,506
81,564,349,184,157,21,383,93,288,312,365,175,204,302,198,111,49,54,53,650,561,373,406,486,538,314,508,458,505,433,662,485,552,527,687,461,537,439,542,505
90,579,351,192,169,21,393,89,290,319,372,180,215,325,207,111,48,53,51,639,569,383,413,471,527,304,529,461,518,439,640,492,544,520,683,472,550,443,551,510
93,595,362,198,175,22,385,94,299,327,385,185,216,314,213,110,51,57,51,648,590,397,399,485,522,301,516,476,512,431,636,489,546,536,681,471,539,454,557,512
