HAL53,HAL54,HAL55,HAL56,HAL57,HAL58,HAL59,HAL60,HAL61,HAL62,HAL63,HAL64,HAL65,HAL66,HAL67,HAL68,HAL69,HAL70,HAL71,HAL72,HAL73,HAL74,HAL75,HAL76,HAL77,HAL78,HAL79,HAL80,HAL81,HAL82,HAL83,HAL84,HAL85,HAL86,HAL87,HAL88,HAL89,HAL90,HAL91,HAL92
362,752,696,105,89,51,146,31,593,619,647,253,545,670,200,227,52,28,125,457,683,517,828,790,608,243,58,719,876,757,810,628,704,624,481,753,763,648,721,691
324,742,673,109,84,51,142,31,553,612,606,253,518,644,177,216,47,27,118,462,668,498,818,801,598,239,60,707,865,718,818,615,705,611,485,730,729,639,715,676
315,727,652,107,90,49,135,31,529,604,586,231,487,630,178,215,47,27,118,474,669,492,819,801,630,253,59,720,885,734,841,624,721,609,519,733,752,650,739,675
285,730,642,103,90,47,136,31,510,583,553,223,462,618,171,210,50,28,112,481,687,487,827,818,628,255,63,691,898,743,859,642,734,652,562,737,754,661,760,670
263,719,632,111,84,45,144,31,486,578,534,217,447,604,172,221,46,26,113,468,678,473,811,834,663,258,62,731,910,740,875,645,747,644,587,744,762,654,780,668
236,702,593,99,77,48,136,30,475,574,533,208,424,601,166,210,47,29,107,482,669,466,810,821,663,271,60,697,902,732,883,627,744,647,599,742,774,663,780,652
232,705,583,101,79,48,133,30,445,551,515,198,409,576,167,192,46,28,108,466,653,451,805,806,664,275,63,691,913,730,885,627,729,648,633,736,773,646,765,637
219,681,571,94,81,49,131,29,430,529,482,188,380,570,163,202,43,27,104,466,639,436,786,804,676,285,61,677,883,697,885,615,730,654,640,718,768,628,769,617
210,675,557,99,85,50,119,29,407,510,469,187,362,553,162,194,43,28,106,464,611,415,757,792,684,277,62,654,874,683,876,602,717,666,653,716,778,612,758,596
207,655,538,95,82,49,121,28,389,481,445,177,339,528,153,198,44,26,106,452,603,395,756,775,679,287,59,633,848,668,887,590,722,636,656,685,754,584,732,563
201,625,499,96,77,49,121,29,364,455,423,175,334,500,142,189,39,28,105,443,581,391,708,745,664,279,60,601,830,634,860,564,701,607,668,663,754,543,720,533
196,585,485,94,78,48,121,29,362,435,399,159,309,479,138,183,43,29,103,432,559,384,705,730,659,280,61,589,827,619,858,544,679,591,674,628,739,516,678,506
193,566,473,94,77,49,118,29,346,425,388,152,288,476,135,182,43,29,102,408,538,368,683,704,638,282,60,569,775,581,820,521,657,581,676,611,696,498,656,479
176,543,449,96,75,47,115,27,336,415,370,149,282,451,136,174,47,25,103,400,531,345,654,688,630,284,62,541,770,543,808,493,624,569,654,582,698,464,630,431
171,510,434,95,72,50,115,27,329,408,362,140,269,439,130,176,42,27,108,387,509,337,631,660,612,278,62,531,751,500,779,469,605,542,656,548,667,455,611,411
170,469,430,95,79,49,110,29,315,392,347,144,257,421,129,174,40,28,100,367,499,336,617,640,587,275,60,513,718,510,768,464,566,519,631,528,647,425,585,371
165,453,409,91,69,49,113,29,295,387,342,141,244,407,131,174,43,27,101,352,486,314,601,628,576,268,60,495,703,474,759,440,548,492,617,500,613,423,571,361
161,430,405,88,68,48,109,30,278,377,321,134,230,395,122,167,35,27,104,353,467,310,576,629,577,259,57,484,666,436,736,431,528,478,602,466,591,388,554,337
167,411,395,85,69,49,105,30,290,371,322,129,223,391,121,170,41,27,105,345,479,312,563,596,545,264,60,481,669,432,721,401,522,469,596,445,566,381,534,317
161,388,379,84,74,46,108,30,283,368,314,132,218,382,127,169,41,26,110,328,456,313,570,575,544,254,60,476,644,404,706,398,477,442,586,437,532,374,527,312
164,372,377,88,77,47,109,29,281,365,323,129,217,385,122,168,39,28,112,335,455,298,552,570,533,255,59,479,654,393,672,389,459,420,603,410,521,363,522,307
162,361,379,84,85,47,110,27,281,366,305,132,219,388,124,172,42,26,112,320,464,312,537,553,523,253,60,472,629,376,685,372,455,412,601,402,499,354,518,293
165,352,385,87,77,47,110,28,286,361,304,136,215,379,126,176,44,26,117,321,472,307,537,545,509,259,59,471,625,359,671,371,440,404,588,397,485,356,516,290
175,365,382,96,80,48,112,28,299,367,305,132,225,388,128,183,41,29,110,319,464,322,533,546,505,242,60,465,620,358,669,371,444,389,587,384,474,358,515,293
170,351,391,86,78,47,113,31,299,363,306,137,234,395,123,189,40,29,115,302,465,317,532,539,518,247,62,479,628,345,658,363,427,397,589,384,463,362,520,295
175,365,398,94,79,49,117,29,298,375,308,135,234,407,129,175,46,26,111,290,477,337,527,532,514,257,61,486,622,341,660,369,433,372,579,384,447,354,521,300
170,369,402,94,85,48,120,28,317,379,331,149,247,392,133,178,41,25,115,301,491,337,533,527,517,247,60,486,623,339,659,364,425,371,568,383,450,357,542,301
170,352,415,91,78,47,118,31,311,379,318,148,246,403,136,198,43,28,116,291,468,336,548,542,522,247,61,496,611,331,649,361,434,369,582,378,444,356,529,296
177,370,401,91,87,49,118,29,326,393,337,146,247,399,136,181,44,29,118,281,491,330,536,532,531,254,63,494,631,329,646,367,435,376,579,385,442,363,538,287
178,371,415,89,80,47,122,29,328,393,334,156,247,419,139,184,40,28,110,296,504,343,539,540,529,250,60,490,635,334,681,361,434,378,591,387,438,356,536,284
177,368,431,94,81,48,115,29,322,404,331,145,257,419,138,179,41,28,117,286,504,352,553,545,534,261,60,502,636,344,674,352,444,387,583,388,435,363,546,287
176,360,418,88,78,47,118,30,333,412,341,153,269,431,137,180,37,28,113,276,516,353,558,553,534,252,60,489,646,353,669,353,430,380,587,378,444,357,550,285
183,378,442,90,78,48,117,27,323,394,339,144,273,437,136,184,44,28,116,286,519,358,572,559,548,240,62,499,633,340,686,335,438,384,582,385,441,356,563,280
181,368,437,94,79,45,110,26,332,417,345,153,263,429,132,183,44,26,121,275,533,352,561,565,545,248,60,496,656,344,682,352,431,380,598,378,442,356,557,286
181,372,431,95,77,47,109,29,334,401,349,157,277,433,139,187,45,28,112,282,541,363,562,570,546,253,61,490,642,348,691,347,447,382,612,374,441,359,572,271
176,375,436,94,74,45,115,27,331,400,345,148,263,434,131,191,44,28,115,277,544,364,576,562,549,246,60,497,643,328,678,352,427,373,589,384,445,375,574,278
180,368,453,97,80,45,119,30,343,408,353,164,271,446,149,187,45,26,120,278,545,358,577,569,542,240,61,491,659,331,704,357,427,371,593,387,458,379,594,270
176,380,442,96,78,47,111,26,340,412,363,149,275,450,137,186,46,29,117,269,552,369,568,588,555,237,59,489,660,337,695,364,426,364,586,377,448,375,608,280
178,374,444,100,81,47,122,29,337,406,355,157,278,437,149,193,49,27,121,255,543,367,573,574,557,242,59,502,652,329,700,358,434,366,591,382,444,385,631,287
177,381,443,90,79,47,113,30,338,414,360,159,274,454,146,196,47,28,121,259,550,375,571,588,563,247,61,496,672,324,696,343,442,379,577,377,451,399,639,292
174,387,442,95,80,47,114,31,349,426,350,151,268,442,150,206,45,28,125,258,553,370,568,568,560,236,62,491,658,345,687,348,432,358,573,378,463,394,658,299
173,391,451,97,82,45,118,30,337,414,352,159,269,457,148,204,42,29,122,266,558,377,579,576,576,241,61,497,676,331,695,349,438,360,562,380,474,393,674,287
174,403,453,93,75,46,116,30,350,420,346,160,267,447,155,196,43,29,125,268,558,375,574,575,563,233,60,481,674,338,693,339,443,352,553,395,466,411,689,285
182,401,436,94,81,46,115,29,336,431,342,154,266,456,142,206,46,29,128,260,567,374,558,564,572,237,61,469,656,333,700,329,431,355,549,403,473,411,707,298
182,401,433,91,79,46,118,30,350,421,340,147,267,457,144,194,40,29,126,258,557,378,569,568,573,228,62,480,667,334,707,319,424,353,536,409,466,431,724,290
186,408,437,85,77,44,118,29,338,423,348,149,282,461,149,198,42,28,131,252,564,378,561,575,562,231,63,449,645,342,698,308,422,353,537,412,490,438,734,296
185,408,431,85,76,49,120,27,333,428,351,151,269,452,152,196,40,29,130,254,565,362,553,554,573,224,62,450,635,352,697,298,421,344,526,419,490,447,759,286
182,413,445,88,74,45,115,26,319,415,341,146,267,434,151,190,40,29,131,245,572,372,570,559,567,226,64,459,635,350,680,284,402,343,504,427,490,468,759,285
198,430,422,87,77,46,112,29,311,400,347,144,263,435,147,199,44,29,137,255,556,374,540,543,561,208,62,448,621,365,681,280,389,324,492,442,502,455,758,292
201,420,425,84,73,44,109,30,301,400,335,144,275,428,152,189,44,28,140,247,551,368,550,551,571,211,63,427,593,359,687,270,389,314,489,459,520,473,768,280
198,438,418,86,71,43,116,30,293,393,332,137,268,418,159,188,44,28,138,241,558,359,541,537,570,211,62,423,595,367,672,264,369,310,466,461,531,474,760,286
