HAL53,HAL54,HAL55,HAL56,HAL57,HAL58,HAL59,HAL60,HAL61,HAL62,HAL63,HAL64,HAL65,HAL66,HAL67,HAL68,HAL69,HAL70,HAL71,HAL72,HAL73,HAL74,HAL75,HAL76,HAL77,HAL78,HAL79,HAL80,HAL81,HAL82,HAL83,HAL84,HAL85,HAL86,HAL87,HAL88,HAL89,HAL90,HAL91,HAL92
361,29,338,305,13,NaN,300,8,276,344,129,34,NaN,219,NaN,237,NaN,16,356,365,411,NaN,170,367,386,374,497,390,413,435,446,374,471,452,392,516,396,433,431,398
337,34,327,278,13,NaN,284,8,265,337,110,35,NaN,200,NaN,213,NaN,15,335,349,412,NaN,169,346,383,357,495,381,409,425,429,376,460,433,372,507,395,417,427,392
315,34,307,261,13,NaN,268,8,258,316,112,33,NaN,198,NaN,214,NaN,13,304,346,408,NaN,170,345,377,370,501,367,401,422,418,361,451,437,371,509,381,424,412,380
309,35,293,247,13,NaN,240,8,235,297,107,32,NaN,174,NaN,199,NaN,15,295,367,416,NaN,150,332,393,358,494,350,387,420,411,345,445,434,377,490,385,417,440,393
282,32,289,222,13,NaN,223,8,220,288,104,30,NaN,160,NaN,191,NaN,14,285,349,406,NaN,151,328,387,356,505,345,386,428,381,343,443,444,367,506,389,425,443,394
276,34,266,211,11,NaN,218,8,206,271,95,33,NaN,158,NaN,186,NaN,13,277,347,403,NaN,145,313,367,358,508,327,383,427,386,317,428,416,359,506,392,425,440,369
249,34,254,191,12,NaN,192,8,194,258,94,31,NaN,149,NaN,181,NaN,14,255,329,387,NaN,138,296,361,356,526,320,356,419,372,301,415,420,357,509,385,415,442,363
243,35,233,177,13,NaN,191,8,188,245,78,26,NaN,135,NaN,172,NaN,15,240,326,373,NaN,122,287,356,355,517,281,354,415,356,286,404,401,351,514,383,403,437,357
239,29,216,169,12,NaN,174,8,170,233,73,26,NaN,126,NaN,160,NaN,15,228,322,365,NaN,116,267,337,350,516,281,342,398,351,266,389,397,348,497,379,389,420,340
217,34,210,151,13,NaN,164,8,158,222,75,25,NaN,119,NaN,144,NaN,13,213,305,360,NaN,112,252,340,345,504,261,315,404,331,254,382,379,354,505,376,383,404,333
201,33,193,143,13,NaN,155,8,157,213,68,25,NaN,112,NaN,129,NaN,13,195,310,337,NaN,109,234,317,344,509,256,309,394,320,241,365,369,338,503,367,365,393,319
189,33,181,135,12,NaN,154,8,154,199,67,24,NaN,97,NaN,130,NaN,13,189,295,335,NaN,98,236,321,329,505,240,293,384,308,236,365,367,326,499,343,363,398,310
184,34,173,127,12,NaN,150,8,144,200,68,26,NaN,102,NaN,120,NaN,13,173,293,330,NaN,107,229,304,337,498,246,286,382,294,232,343,353,319,492,347,346,391,302
176,34,175,125,13,NaN,143,8,148,191,63,22,NaN,101,NaN,122,NaN,15,167,285,332,NaN,101,221,297,327,485,239,270,387,291,224,331,344,315,484,345,335,377,301
165,34,164,126,13,NaN,139,8,155,193,64,24,NaN,103,NaN,115,NaN,13,156,286,332,NaN,94,202,293,325,482,241,280,374,272,217,333,336,304,490,330,342,372,294
158,34,165,128,10,NaN,138,7,149,201,62,28,NaN,106,NaN,115,NaN,15,147,299,338,NaN,100,197,294,327,472,252,279,368,268,222,323,341,301,467,318,335,363,297
149,35,172,121,13,NaN,144,8,158,193,63,24,NaN,111,NaN,116,NaN,13,136,293,331,NaN,101,210,292,329,466,249,283,362,251,222,318,333,296,481,323,340,362,291
149,34,177,126,13,NaN,140,8,159,203,62,26,NaN,104,NaN,119,NaN,13,142,293,340,NaN,104,204,299,328,442,262,289,363,254,229,316,349,295,473,315,351,367,299
150,33,175,134,12,NaN,138,7,166,209,67,27,NaN,117,NaN,121,NaN,14,136,290,344,NaN,107,216,305,331,442,273,305,367,244,236,313,356,293,475,313,342,369,307
145,36,171,134,12,NaN,153,8,167,207,68,25,NaN,122,NaN,125,NaN,16,146,296,352,NaN,109,213,302,323,436,275,312,366,247,240,307,361,284,474,303,351,360,315
149,35,179,145,13,NaN,155,8,178,213,68,27,NaN,110,NaN,122,NaN,15,141,296,369,NaN,112,222,297,323,430,280,318,362,252,245,317,373,281,464,298,349,379,330
147,36,190,147,13,NaN,162,7,183,215,68,29,NaN,128,NaN,121,NaN,16,149,298,367,NaN,117,226,311,322,433,295,331,370,252,254,312,385,290,472,302,351,378,335
151,35,194,150,12,NaN,159,7,175,225,65,27,NaN,124,NaN,129,NaN,17,148,307,364,NaN,112,232,320,317,422,295,333,384,251,254,314,410,285,479,293,359,383,334
148,34,196,154,11,NaN,170,7,178,234,72,26,NaN,122,NaN,131,NaN,17,147,294,360,NaN,110,240,319,309,436,292,356,372,258,255,320,407,278,490,297,353,394,345
147,33,208,159,12,NaN,171,8,177,221,74,23,NaN,135,NaN,136,NaN,16,146,302,375,NaN,113,241,331,311,426,287,354,385,260,257,325,429,269,486,294,362,396,352
151,36,203,159,12,NaN,172,7,180,235,69,23,NaN,127,NaN,137,NaN,15,144,292,380,NaN,105,253,340,315,422,303,372,391,263,255,337,435,278,486,294,354,411,368
150,35,221,161,13,NaN,182,8,177,227,74,25,NaN,125,NaN,130,NaN,15,146,305,370,NaN,108,235,335,322,420,305,376,401,273,251,333,445,271,493,300,358,420,365
144,36,221,157,13,NaN,180,7,174,229,73,25,NaN,126,NaN,135,NaN,15,149,302,375,NaN,109,242,348,319,424,307,371,409,276,250,355,450,264,489,303,361,426,363
147,35,217,149,13,NaN,179,7,175,233,70,24,NaN,127,NaN,134,NaN,17,146,304,375,NaN,108,245,353,317,418,310,370,408,284,257,364,460,270,502,302,377,414,373
149,35,221,163,13,NaN,183,8,175,224,73,26,NaN,120,NaN,137,NaN,17,150,302,369,NaN,104,252,346,316,411,306,376,426,283,250,364,467,271,516,287,371,430,365
142,35,231,163,12,NaN,193,8,185,235,69,24,NaN,120,NaN,139,NaN,16,147,307,380,NaN,109,260,355,320,431,305,383,451,296,255,367,460,265,504,294,385,427,374
143,36,228,160,13,NaN,188,7,184,228,73,26,NaN,115,NaN,143,NaN,16,151,315,373,NaN,102,253,355,324,422,315,386,444,294,251,366,468,275,531,295,379,442,345
145,36,226,160,13,NaN,194,7,177,239,68,28,NaN,124,NaN,142,NaN,17,155,312,378,NaN,101,257,365,316,416,309,389,455,308,259,373,473,264,515,290,389,442,367
