Left_Optic_Radiation_V1V2,Right_Optic_Radiation_V1V2,Left_MR,Right_MR,Left_DT,Right_DT,Left_AR,Right_AR,Left_SR,Right_SR
625,637,1689,1607,1566,1441,291,293,982,1158
647,663,1772,1739,1824,1653,335,313,1007,1191
701,718,1886,1833,2035,1844,384,366,1011,1206
741,741,2021,1983,2228,2017,427,414,1051,1255
802,772,2116,2098,2427,2153,489,453,1075,1286
823,805,2199,2201,2533,2283,525,492,1110,1318
852,811,2285,2276,2660,2398,569,524,1121,1352
873,845,2317,2335,2762,2502,607,558,1161,1357
912,864,2383,2386,2863,2537,655,599,1170,1398
933,878,2454,2423,2909,2618,687,613,1188,1419
942,887,2462,2466,2985,2659,740,641,1200,1434
992,920,2504,2514,3041,2713,760,669,1200,1446
1045,938,2544,2547,3032,2730,791,684,1230,1451
1053,966,2566,2603,3051,2765,821,718,1230,1493
1098,982,2576,2630,3046,2787,864,743,1242,1478
1109,997,2572,2635,3043,2829,899,764,1248,1503
1137,1008,2589,2657,3077,2861,933,794,1251,1501
1191,1009,2609,2671,3029,2836,950,808,1271,1516
1229,1030,2628,2711,3014,2878,972,835,1281,1548
1266,1036,2631,2701,2999,2897,1018,853,1278,1555
1301,1036,2660,2713,2957,2876,1023,860,1295,1558
1320,1038,2642,2726,2937,2910,1050,892,1304,1575
1346,1038,2629,2727,2967,2895,1061,912,1328,1572
1370,1051,2633,2739,2917,2889,1097,923,1339,1613
1384,1052,2637,2775,2871,2895,1107,967,1373,1636
1391,1065,2645,2782,2848,2872,1136,976,1380,1654
1391,1069,2672,2781,2825,2871,1175,1008,1381,1695
1420,1061,2677,2788,2811,2868,1163,1048,1423,1728
1383,1075,2652,2822,2779,2892,1171,1058,1424,1735
1382,1079,2674,2838,2769,2888,1222,1078,1449,1748
1398,1069,2719,2850,2756,2886,1223,1117,1481,1775
1384,1076,2720,2892,2744,2885,1243,1143,1502,1792
1394,1081,2741,2875,2697,2911,1267,1183,1500,1820
1378,1090,2772,2928,2681,2889,1281,1221,1523,1840
1368,1086,2753,2931,2632,2883,1296,1248,1542,1856
1369,1077,2749,2907,2601,2872,1305,1289,1555,1898
1341,1090,2792,2957,2579,2857,1320,1316,1592,1904
1374,1083,2792,2948,2536,2843,1356,1332,1578,1912
1369,1102,2834,2963,2494,2802,1356,1375,1633,1941
1361,1095,2839,2983,2468,2794,1375,1391,1643,1971
1354,1075,2858,2950,2464,2795,1387,1422,1669,2004
1349,1068,2897,2966,2403,2743,1397,1447,1684,2005
1351,1079,2865,2970,2376,2733,1439,1484,1697,2030
1367,1059,2904,2982,2332,2708,1452,1525,1727,2072
1389,1049,2894,2999,2299,2635,1437,1513,1713,2089
1391,1041,2925,2993,2250,2631,1475,1523,1741,2105
