HAL7,HAL8,HAL9,HAL10,HAL11,HAL12,HAL13,HAL14,HAL15,HAL16,HAL17,HAL18,HAL19,HAL20,HAL21,HAL22,HAL23,HAL24,HAL25,HAL26,HAL27,HAL28,HAL29,HAL30,HAL31,HAL32,HAL33,HAL34,HAL35,HAL36,HAL37,HAL38,HAL39,HAL40,HAL41,HAL42,HAL43,HAL44,HAL45,HAL46
654,752,859,930,747,847,805,469,828,817,891,675,871,851,573,827,855,930,1079,689,742,794,742,710,649,816,561,785,697,665,770,825,805,761,773,858,730,336,771,732
619,789,869,938,707,833,836,476,844,821,885,664,872,842,562,828,845,916,1079,714,748,805,768,740,682,825,583,795,715,676,796,831,780,778,785,851,742,367,768,749
615,757,891,928,729,827,846,464,835,838,878,661,869,825,563,814,862,909,1066,743,755,821,769,749,691,840,583,809,723,685,809,841,791,791,792,844,767,379,801,759
607,778,884,930,714,827,833,483,839,851,885,665,876,839,581,850,859,891,1068,727,778,804,787,760,702,827,627,813,741,685,839,844,787,807,802,850,786,389,794,749
578,771,910,918,702,804,838,494,851,849,885,663,866,818,581,840,844,894,1076,748,792,788,793,764,697,837,647,803,747,690,847,842,760,814,786,824,784,387,811,722
580,749,884,903,693,801,848,477,839,847,870,617,837,801,588,860,865,890,1080,759,786,791,790,770,714,838,668,811,751,680,863,834,787,801,793,830,801,402,826,721
561,757,883,899,674,787,854,476,824,842,871,616,848,804,582,821,860,882,1098,778,780,785,794,758,706,836,687,791,747,670,855,855,790,810,782,837,806,398,827,715
555,758,875,886,681,790,826,459,807,848,869,612,814,777,577,828,835,866,1085,777,790,735,765,757,710,822,710,769,739,656,829,845,775,800,799,825,814,393,812,714
544,742,861,868,680,770,805,464,789,829,841,617,809,796,571,826,831,853,1086,791,768,735,766,751,700,838,737,779,728,653,832,838,784,812,788,798,813,372,828,675
526,730,827,862,672,768,793,463,759,818,812,591,777,778,568,805,818,844,1068,783,762,745,741,743,701,828,761,769,726,634,839,824,768,814,775,784,811,382,842,653
514,702,810,840,645,749,754,462,725,808,806,588,752,749,544,786,813,826,1086,789,739,722,739,718,691,811,774,739,720,634,831,814,759,801,772,768,799,367,833,626
491,675,783,809,619,738,738,450,705,782,772,566,736,713,524,780,788,794,1081,780,713,685,720,724,670,811,811,724,708,611,836,812,762,789,767,751,780,367,833,619
481,671,756,790,607,728,720,438,668,753,751,544,719,676,525,753,774,802,1063,791,680,675,703,701,650,787,815,724,694,596,820,768,755,772,753,729,774,338,834,577
468,646,750,760,600,727,690,423,631,728,728,526,682,651,490,723,756,763,1058,770,657,659,679,680,638,762,832,681,696,583,804,748,750,767,721,714,759,324,794,536
459,629,714,741,577,722,664,422,608,712,692,498,669,637,471,719,741,764,1059,780,637,615,662,655,621,762,812,652,665,541,794,729,738,764,724,676,738,305,789,521
442,598,684,696,558,702,656,413,592,693,668,489,645,596,449,689,729,757,1069,752,627,594,634,645,620,740,839,631,656,550,762,708,710,762,695,663,725,290,769,496
431,579,671,693,532,701,622,408,575,688,639,462,625,565,424,683,716,722,1050,741,609,570,629,635,613,747,844,619,631,516,771,697,694,734,701,636,690,289,765,488
420,563,668,659,518,697,607,410,552,662,616,448,607,557,425,663,697,705,1013,735,590,570,618,615,605,698,833,596,630,506,750,674,684,726,664,621,689,276,765,468
405,542,651,631,523,689,587,402,537,657,601,420,558,537,417,637,667,685,1005,717,576,549,610,612,599,700,840,585,626,497,740,657,663,708,648,593,663,268,754,454
386,532,632,622,486,679,586,395,527,642,587,430,540,513,396,614,664,652,1008,705,559,552,589,581,595,680,824,554,597,483,729,649,627,697,632,578,654,263,743,447
399,503,625,597,476,674,562,382,523,639,571,408,526,493,406,614,652,648,994,696,552,524,596,574,595,668,821,556,596,457,717,626,628,669,621,569,646,266,719,426
387,488,618,598,476,661,545,387,533,623,549,404,524,475,388,601,638,624,990,700,548,527,598,571,584,671,806,550,572,465,699,637,605,658,615,549,627,261,711,410
377,487,614,594,453,652,551,392,523,623,548,408,497,479,388,591,636,611,977,687,545,524,597,557,582,650,807,558,568,451,707,610,619,649,600,528,622,272,698,410
394,479,621,597,457,631,553,382,522,616,537,387,494,456,390,572,628,612,962,689,558,527,595,555,588,641,797,546,572,444,697,621,596,650,580,508,601,260,697,407
