Left_Optic_Radiation_V1V2,Right_Optic_Radiation_V1V2,Left_MR,Right_MR,Left_DT,Right_DT,Left_AR,Right_AR,Left_SR,Right_SR
552,526,1563,1640,1328,1340,231,242,965,1132
571,544,1640,1713,1457,1508,233,278,984,1114
619,577,1767,1825,1635,1659,267,328,1008,1130
669,596,1871,1927,1832,1803,287,380,1036,1167
702,653,2004,2089,1990,1921,323,448,1054,1185
743,669,2089,2172,2097,2038,357,505,1083,1230
766,708,2151,2247,2175,2136,374,555,1102,1256
785,746,2262,2352,2266,2204,401,603,1131,1276
832,756,2335,2412,2333,2270,437,652,1155,1277
867,773,2387,2478,2384,2350,459,691,1140,1318
875,797,2460,2509,2449,2395,477,750,1152,1348
926,833,2461,2558,2494,2420,502,794,1184,1352
961,856,2511,2603,2516,2447,515,850,1174,1350
1006,864,2550,2603,2554,2441,549,882,1183,1367
1030,886,2550,2637,2548,2458,561,942,1209,1389
1067,897,2568,2664,2570,2524,578,992,1229,1402
1126,908,2577,2667,2578,2513,602,1030,1235,1391
1176,938,2564,2699,2611,2506,622,1064,1257,1405
1210,947,2595,2701,2589,2514,648,1121,1266,1414
1244,956,2607,2743,2580,2517,646,1162,1290,1411
1279,961,2654,2802,2612,2509,682,1217,1288,1450
1305,980,2657,2794,2584,2497,695,1261,1304,1456
1352,992,2658,2837,2572,2491,704,1287,1316,1467
1360,1006,2667,2845,2572,2460,717,1345,1330,1489
1407,1019,2673,2893,2576,2473,738,1381,1331,1488
1422,1030,2688,2909,2540,2461,749,1414,1340,1512
1427,1058,2694,2931,2567,2439,786,1476,1371,1539
1453,1061,2743,2956,2530,2449,808,1514,1398,1552
1466,1082,2769,2997,2550,2441,819,1542,1403,1559
1493,1094,2743,3001,2520,2425,855,1609,1421,1588
1474,1109,2771,3047,2548,2420,860,1649,1434,1612
1495,1111,2800,3056,2501,2420,883,1708,1447,1636
1494,1117,2836,3095,2500,2417,904,1710,1452,1658
1527,1118,2833,3109,2437,2422,922,1744,1466,1690
1528,1133,2868,3164,2437,2374,952,1801,1503,1694
1546,1128,2921,3169,2394,2363,975,1845,1520,1725
1538,1124,2935,3166,2368,2344,983,1873,1533,1741
1557,1151,2953,3196,2355,2356,987,1894,1555,1743
1581,1150,2979,3198,2324,2313,996,1910,1558,1765
1595,1166,3003,3283,2304,2296,1025,1942,1565,1778
1594,1175,3056,3276,2280,2320,1054,1980,1599,1796
1615,1177,3068,3298,2236,2280,1059,1986,1612,1814
1604,1192,3088,3297,2188,2271,1096,2067,1620,1833
1617,1182,3114,3306,2174,2265,1131,2055,1670,1833
1616,1191,3116,3319,2115,2244,1138,2074,1669,1854
1598,1196,3147,3314,2096,2217,1146,2087,1686,1840
1596,1195,3154,3325,2049,2209,1148,2092,1709,1860
1617,1205,3150,3320,1974,2193,1170,2075,1726,1867
1602,1190,3160,3302,1938,2137,1183,2101,1759,1846
1604,1211,3168,3331,1870,2092,1213,2100,1760,1862
1610,1202,3179,3326,1813,2035,1222,2095,1781,1857
1601,1201,3203,3335,1783,2020,1219,2119,1771,1844
1595,1208,3165,3317,1704,1948,1217,2118,1789,1833
1607,1197,3178,3280,1638,1906,1247,2113,1793,1822
1583,1194,3159,3269,1626,1853,1254,2102,1809,1806
1595,1203,3149,3240,1565,1784,1239,2093,1806,1793
1573,1191,3142,3232,1503,1737,1228,2096,1812,1752
1545,1196,3151,3240,1459,1671,1242,2078,1835,1782
1543,1186,3142,3185,1399,1615,1224,2064,1802,1754
1527,1189,3118,3186,1364,1538,1207,2067,1823,1728
1540,1184,3101,3137,1315,1483,1208,2077,1838,1729
