HAL7,HAL8,HAL9,HAL10,HAL11,HAL12,HAL13,HAL14,HAL15,HAL16,HAL17,HAL18,HAL19,HAL20,HAL21,HAL22,HAL23,HAL24,HAL25,HAL26,HAL27,HAL28,HAL29,HAL30,HAL31,HAL32,HAL33,HAL34,HAL35,HAL36,HAL37,HAL38,HAL39,HAL40,HAL41,HAL42,HAL43,HAL44,HAL45,HAL46
767,770,797,637,528,1044,725,379,844,721,752,310,713,787,635,597,110,94,167,319,764,220,749,694,341,83,97,764,741,761,695,752,196,102,225,715,610,637,743,737
742,757,789,620,503,1051,731,379,811,677,766,309,692,772,605,570,110,96,170,316,748,213,730,659,328,84,98,761,747,735,673,733,198,93,227,715,593,650,724,708
746,751,790,601,499,1083,728,378,814,655,765,311,666,769,561,597,117,102,179,319,766,238,729,663,327,85,103,764,740,743,664,755,203,93,228,710,591,646,734,692
748,761,816,629,501,1098,739,404,806,658,756,305,636,782,564,573,122,103,181,314,767,256,742,666,332,90,111,750,756,771,648,751,223,97,261,699,608,649,740,665
760,773,810,604,506,1110,726,418,823,657,781,303,615,783,550,565,123,111,196,333,779,271,746,669,326,93,109,765,749,780,650,759,230,104,269,697,613,668,764,666
741,758,805,611,513,1163,736,403,805,628,750,292,641,785,555,575,139,110,202,321,774,274,752,651,318,98,104,755,751,772,646,758,242,102,285,714,583,662,770,649
753,768,819,619,508,1156,730,423,780,631,766,297,648,784,551,565,144,111,211,323,777,295,730,653,314,95,112,743,751,781,640,739,255,107,298,707,600,673,781,661
756,758,803,609,494,1154,713,436,797,636,763,289,626,771,549,559,140,117,219,328,780,288,728,639,311,97,110,737,740,775,642,747,259,105,307,706,621,667,781,656
754,767,787,589,493,1190,712,437,768,606,760,282,611,752,537,547,146,121,220,326,762,291,721,648,324,102,115,712,737,765,647,757,253,111,311,700,610,672,797,658
736,745,758,579,494,1207,704,428,769,613,741,283,595,734,536,538,150,129,225,316,755,288,706,629,320,102,113,710,729,766,628,744,259,105,309,686,608,659,778,651
723,738,739,566,485,1224,702,432,753,591,733,273,583,721,519,525,151,121,243,323,740,287,676,630,312,104,115,693,725,772,638,720,245,107,304,701,619,659,779,648
711,723,724,560,474,1222,677,440,708,597,715,280,583,708,504,524,150,126,245,328,719,279,688,609,319,105,120,667,689,747,626,705,256,106,310,677,614,641,764,637
