Left_Optic_Radiation_V1V2,Right_Optic_Radiation_V1V2,Left_MR,Right_MR,Left_DT,Right_DT,Left_AR,Right_AR,Left_SR,Right_SR
570,557,1898,1600,1562,1564,354,313,1149,1049
598,568,2063,1751,1767,1859,353,313,1146,1040
668,625,2221,1930,2003,2122,402,346,1192,1074
751,673,2374,2084,2223,2416,451,385,1231,1095
778,710,2537,2239,2362,2639,513,425,1223,1155
840,740,2678,2349,2450,2764,561,453,1276,1180
879,748,2789,2446,2579,2914,609,501,1304,1191
914,764,2872,2535,2690,3039,655,528,1321,1247
931,800,2983,2600,2740,3128,709,567,1348,1258
956,815,3055,2700,2810,3198,761,590,1366,1268
982,839,3113,2704,2857,3272,805,604,1382,1316
1015,855,3154,2780,2894,3300,834,631,1386,1342
1038,893,3187,2800,2902,3377,849,657,1409,1369
1082,917,3235,2860,2926,3380,899,684,1428,1388
1116,930,3274,2874,2894,3417,918,696,1459,1406
1129,960,3306,2873,2910,3440,957,713,1457,1433
1191,987,3345,2899,2898,3421,979,739,1474,1446
1247,1026,3340,2888,2878,3409,992,748,1479,1458
1277,1045,3344,2895,2898,3442,1021,760,1521,1482
1305,1067,3339,2915,2892,3442,1038,757,1533,1502
1337,1083,3386,2907,2858,3460,1042,771,1539,1518
1374,1109,3431,2931,2908,3475,1084,804,1548,1541
1417,1132,3414,2952,2844,3460,1091,804,1581,1567
1435,1157,3423,2962,2875,3459,1099,785,1599,1599
1464,1161,3446,2961,2820,3437,1102,792,1602,1609
1460,1160,3455,2979,2775,3406,1131,808,1633,1628
1476,1166,3512,2987,2788,3391,1133,822,1644,1642
1508,1178,3530,3006,2795,3353,1146,833,1649,1700
1500,1186,3528,2992,2750,3366,1153,850,1672,1726
1521,1163,3578,3015,2707,3351,1186,861,1699,1744
1520,1183,3574,3031,2702,3323,1193,863,1724,1761
1520,1170,3585,3059,2677,3329,1203,875,1739,1779
1504,1170,3635,3069,2652,3281,1196,887,1768,1812
1521,1176,3630,3091,2618,3265,1225,893,1797,1825
1513,1166,3661,3088,2571,3278,1227,926,1803,1864
1520,1158,3652,3111,2551,3281,1243,927,1825,1867
1518,1169,3689,3123,2518,3230,1267,945,1835,1877
1522,1183,3741,3165,2470,3235,1262,938,1848,1907
1518,1196,3734,3179,2439,3193,1306,958,1837,1920
1520,1186,3765,3200,2423,3163,1295,976,1852,1943
1530,1184,3817,3231,2371,3137,1332,1008,1865,1956
1552,1186,3824,3244,2337,3100,1323,1005,1867,1973
1535,1166,3830,3246,2302,3081,1357,1032,1850,1981
1539,1176,3860,3303,2262,3044,1383,1035,1875,1986
1563,1176,3850,3328,2211,2995,1389,1062,1884,1992
1575,1160,3907,3337,2161,2981,1412,1074,1902,2003
1560,1168,3935,3347,2114,2935,1414,1081,1924,2016
1566,1146,3972,3338,2108,2900,1443,1095,1945,2042
1586,1160,3944,3365,2065,2847,1462,1114,1964,2063
1604,1148,3987,3372,2008,2794,1484,1115,1955,2089
1622,1161,3979,3402,1938,2744,1488,1108,1960,2110
1592,1151,4003,3420,1925,2721,1500,1111,1996,2118
1604,1152,4018,3435,1865,2657,1497,1126,1993,2157
1605,1151,4065,3484,1851,2618,1535,1128,1998,2193
1655,1150,4109,3479,1809,2592,1513,1113,2028,2221
1638,1162,4052,3462,1756,2550,1536,1114,2029,2246
1652,1159,4094,3508,1723,2487,1551,1102,2056,2283
1665,1185,4095,3537,1678,2425,1557,1085,2102,2285
1667,1171,4123,3513,1665,2424,1546,1045,2082,2333
1630,1166,4146,3558,1633,2388,1570,1045,2098,2370
1661,1163,4141,3585,1581,2356,1568,1011,2121,2366
1655,1177,4166,3608,1540,2335,1572,1004,2117,2387
1676,1204,4170,3660,1505,2289,1581,971,2128,2408
1689,1195,4190,3658,1490,2266,1575,961,2130,2422
1698,1168,4209,3663,1467,2227,1567,955,2157,2447
1722,1187,4223,3695,1449,2201,1565,924,2183,2462
1755,1203,4206,3690,1433,2214,1553,904,2167,2456
1747,1212,4226,3710,1406,2163,1541,912,2169,2497
1784,1208,4259,3716,1394,2144,1503,889,2196,2482
1783,1226,4273,3679,1379,2130,1524,866,2232,2510
1801,1224,4263,3698,1348,2120,1525,863,2250,2512
1810,1231,4302,3718,1344,2124,1496,858,2228,2539
1830,1239,4297,3714,1328,2102,1473,855,2258,2532
1858,1252,4321,3731,1336,2091,1477,837,2267,2563
1846,1257,4327,3705,1318,2104,1465,836,2262,2555
1851,1261,4314,3746,1328,2114,1432,820,2276,2542
1870,1281,4351,3737,1328,2090,1438,817,2303,2558
1866,1296,4319,3727,1322,2085,1422,806,2306,2566
1874,1314,4288,3698,1339,2080,1369,788,2329,2582
1893,1315,4345,3735,1344,2096,1347,766,2346,2626
1954,1348,4282,3751,1375,2091,1314,749,2335,2578
