HAL7,HAL8,HAL9,HAL10,HAL11,HAL12,HAL13,HAL14,HAL15,HAL16,HAL17,HAL18,HAL19,HAL20,HAL21,HAL22,HAL23,HAL24,HAL25,HAL26,HAL27,HAL28,HAL29,HAL30,HAL31,HAL32,HAL33,HAL34,HAL35,HAL36,HAL37,HAL38,HAL39,HAL40,HAL41,HAL42,HAL43,HAL44,HAL45,HAL46
787,804,909,841,750,737,783,433,928,850,794,408,901,823,480,560,518,788,756,699,863,772,916,720,599,419,277,816,799,793,890,838,948,623,803,827,675,601,759,836
763,798,886,828,709,724,790,436,894,843,767,404,874,817,483,557,501,756,749,668,865,791,908,719,610,427,277,833,777,764,864,839,920,606,791,816,676,609,750,817
759,782,893,810,718,724,791,435,906,852,775,400,877,815,474,556,498,744,737,682,846,782,908,722,624,425,293,832,781,766,864,822,903,619,798,813,686,616,784,807
753,787,886,828,724,749,788,436,898,851,777,411,862,830,502,577,498,748,747,684,874,787,899,710,646,444,290,830,781,759,868,851,908,642,812,815,689,628,778,806
748,772,893,819,702,739,780,456,894,849,773,392,859,823,485,558,510,746,738,709,860,783,897,709,647,442,297,836,780,758,883,847,908,646,791,806,713,641,795,803
743,768,871,815,697,766,786,440,882,828,771,388,838,820,494,553,490,729,744,734,851,788,904,723,663,440,291,831,767,753,860,849,920,634,803,839,709,621,812,781
722,784,881,801,676,760,772,454,864,812,753,372,841,817,507,554,495,734,760,732,864,779,862,728,685,431,298,831,767,745,852,853,903,653,798,830,728,643,831,760
692,753,870,799,663,763,741,462,813,803,741,388,820,791,517,548,515,710,750,726,850,766,874,733,696,442,312,826,759,726,852,820,878,658,819,833,715,634,860,768
690,735,877,780,651,774,751,457,821,800,730,370,805,788,517,540,491,718,753,733,889,754,852,742,694,455,314,809,753,725,827,829,883,665,787,836,723,637,854,751
679,745,851,765,647,763,726,452,780,770,704,361,793,759,505,538,469,692,766,723,858,756,851,740,711,462,312,790,739,717,821,819,868,663,780,847,746,629,871,749
658,739,820,742,633,754,704,440,752,753,690,356,757,720,491,535,468,703,743,731,862,725,841,746,726,470,307,762,737,717,821,786,870,663,787,839,738,620,868,725
645,699,799,709,615,756,667,443,715,710,671,341,739,710,483,533,463,682,755,726,839,712,814,728,722,467,318,738,696,715,808,779,847,656,773,829,749,614,859,710
633,691,778,693,575,770,640,443,672,693,644,335,702,680,463,509,475,682,765,745,836,679,776,734,705,469,313,699,683,706,807,742,838,652,759,834,716,615,844,683
610,682,758,672,567,767,616,429,649,648,608,328,683,647,449,497,449,648,756,739,827,662,756,729,707,455,315,663,640,668,779,727,815,633,756,800,714,574,836,636
594,644,723,643,535,761,582,427,614,618,581,308,669,625,439,481,441,638,764,748,804,629,749,710,708,472,321,632,615,655,763,701,791,623,728,786,722,563,795,621
583,616,695,607,510,748,559,400,585,589,563,306,632,597,415,477,435,612,768,750,780,612,724,711,693,462,327,589,567,632,724,653,764,592,725,765,671,534,774,574
564,582,639,593,492,747,539,405,547,552,521,298,610,572,395,472,436,598,780,745,767,583,695,689,694,476,316,553,565,609,713,629,734,583,698,731,656,497,748,550
544,544,614,563,463,750,508,397,518,537,492,291,590,550,382,453,410,583,771,744,731,550,661,648,683,456,330,547,518,581,684,612,710,566,666,706,622,483,716,506
541,522,571,534,451,746,493,380,504,523,461,273,549,529,368,459,409,571,771,743,700,520,640,636,681,451,310,511,503,548,650,583,660,541,656,689,612,454,677,478
514,485,556,516,421,750,474,371,485,507,450,269,525,499,362,428,382,565,768,725,678,511,617,610,652,456,319,492,478,527,618,556,642,529,615,669,568,431,661,461
503,463,538,515,401,740,471,366,475,491,419,268,508,481,337,427,384,540,757,715,642,486,579,596,630,436,317,465,442,476,585,544,620,502,601,650,576,417,642,420
479,446,527,506,399,721,463,348,456,472,419,270,489,464,337,412,385,516,759,704,641,471,555,588,623,438,316,453,430,456,551,526,584,495,569,637,549,393,616,401
468,427,523,488,388,710,454,346,453,459,402,271,488,454,328,409,357,505,757,706,620,463,530,557,604,412,319,436,412,420,534,517,577,486,563,606,513,369,585,375
447,411,500,501,388,713,447,347,455,466,396,261,460,446,320,412,356,497,743,686,597,443,521,557,584,418,318,434,396,401,520,507,537,467,524,593,494,353,592,370
438,388,504,488,376,697,441,340,434,459,395,255,461,437,322,396,343,481,759,682,610,432,499,553,568,407,305,423,376,378,492,490,522,446,513,569,497,346,562,350
415,385,493,506,380,699,442,320,419,459,379,271,438,420,313,393,328,478,744,659,580,445,500,549,556,398,318,422,370,349,492,487,500,433,480,559,478,325,561,348
427,371,500,498,376,696,436,325,435,451,390,266,432,435,308,398,337,452,752,644,575,425,502,551,557,394,305,425,371,341,473,473,484,436,468,548,464,319,556,347
409,363,502,506,387,694,454,326,434,459,391,273,444,430,305,383,321,454,735,635,555,434,484,555,533,397,296,413,370,321,466,488,474,409,458,545,468,325,545,346
410,345,506,506,390,679,437,333,439,468,392,268,441,432,314,391,325,448,734,614,545,432,496,547,534,377,303,421,353,315,466,469,476,430,442,531,468,305,556,341
417,349,511,509,395,673,449,339,434,469,390,278,447,420,311,386,311,440,738,605,552,442,492,564,525,386,298,423,360,296,462,471,464,415,430,522,447,317,555,344
413,354,516,517,419,672,456,344,440,487,378,275,442,419,312,391,311,448,718,592,558,438,493,573,530,371,283,425,357,292,460,483,461,410,419,539,464,307,565,343
406,354,507,533,428,669,458,345,444,480,388,269,463,427,309,399,321,459,716,591,553,428,492,568,515,364,287,423,350,288,459,491,459,419,414,524,460,316,567,344
410,359,522,556,446,653,469,361,447,492,384,285,460,432,309,397,321,455,703,591,555,434,487,588,522,367,292,428,353,269,471,487,469,435,399,538,464,316,567,347
416,349,518,571,461,649,472,359,456,498,381,282,470,432,312,395,323,458,704,568,565,435,499,577,507,364,286,433,361,278,472,500,446,432,390,533,468,308,563,349
416,361,510,588,460,644,481,379,462,512,383,277,461,430,322,409,329,469,702,551,572,427,489,572,516,355,284,427,349,272,475,491,473,420,395,544,455,318,580,350
430,362,530,603,497,642,481,380,476,517,388,282,463,428,312,416,339,480,695,564,567,430,494,578,514,357,294,430,350,272,469,491,458,418,392,545,456,304,580,355
430,367,530,628,517,635,491,394,481,539,379,279,463,433,320,412,335,501,693,554,587,421,503,581,508,343,287,431,353,269,480,500,462,432,384,531,465,307,611,348
435,368,540,632,551,629,502,420,503,544,378,296,470,450,313,428,346,494,680,549,584,423,503,581,504,348,288,450,352,272,472,497,470,423,392,557,476,305,614,358
439,366,540,656,575,628,491,415,499,566,387,277,470,467,317,429,339,510,680,546,564,434,505,587,495,337,281,439,349,263,479,506,461,438,389,555,476,297,622,360
431,368,550,687,571,643,519,434,512,570,397,286,467,462,320,425,348,524,672,543,579,452,508,596,506,335,288,462,346,264,478,515,466,436,394,569,477,306,634,378
440,381,568,735,626,640,531,446,522,595,399,290,468,466,330,433,353,552,676,547,579,444,512,594,497,341,274,460,349,264,478,526,468,439,390,560,483,302,640,393
446,384,575,742,643,640,545,458,533,594,407,293,483,481,328,449,364,569,660,543,587,456,515,607,493,345,288,484,359,259,485,535,468,445,394,579,496,300,670,400
434,389,579,783,638,647,535,476,535,607,404,296,490,481,333,442,358,579,661,539,587,457,526,608,492,334,287,490,366,252,491,543,464,437,383,592,516,310,664,413
429,394,601,800,655,655,542,491,532,611,414,315,485,486,345,448,357,598,650,529,599,460,524,610,478,330,298,509,364,256,497,538,489,433,377,603,518,303,715,426
440,392,613,825,683,649,562,519,551,619,427,313,499,499,350,452,370,613,649,526,606,463,530,608,483,331,290,505,367,247,514,547,491,465,384,614,550,307,717,433
436,416,626,846,690,661,578,536,564,631,413,318,515,514,353,477,360,631,672,527,600,473,550,610,481,340,302,530,364,254,531,562,496,446,381,638,541,321,722,440
445,420,644,883,701,675,607,555,571,636,427,310,535,521,369,484,360,654,647,533,617,481,535,618,474,335,293,534,366,250,535,560,502,459,386,636,565,324,766,454
446,434,665,896,710,682,614,553,580,650,435,319,555,512,370,475,369,653,641,521,610,485,542,614,479,327,292,534,367,250,551,574,515,466,384,674,590,329,778,480
451,441,684,899,725,692,629,565,588,670,440,308,554,505,371,496,366,691,644,527,620,493,548,631,481,324,299,561,362,247,564,586,512,457,393,684,605,335,810,493
