HAL53,HAL54,HAL55,HAL56,HAL57,HAL58,HAL59,HAL60,HAL61,HAL62,HAL63,HAL64,HAL65,HAL66,HAL67,HAL68,HAL69,HAL70,HAL71,HAL72,HAL73,HAL74,HAL75,HAL76,HAL77,HAL78,HAL79,HAL80,HAL81,HAL82,HAL83,HAL84,HAL85,HAL86,HAL87,HAL88,HAL89,HAL90,HAL91,HAL92
547,465,661,263,445,944,380,170,756,815,709,799,812,799,554,452,767,423,923,751,793,822,798,825,842,917,803,802,742,896,919,815,851,914,824,731,770,761,724,827
528,449,630,262,421,918,374,168,754,819,702,753,789,773,547,463,716,418,922,763,815,800,800,818,835,894,811,801,727,866,897,809,831,912,824,745,794,748,746,811
534,459,605,274,403,922,362,168,749,794,688,747,781,786,554,467,713,419,896,780,822,799,822,813,858,915,833,794,740,883,889,817,850,906,825,724,803,772,800,814
532,464,595,260,400,917,380,162,751,778,690,746,732,759,554,436,690,404,889,821,882,789,822,850,890,950,837,785,749,887,908,807,857,927,843,751,830,795,836,828
505,463,592,261,393,917,345,163,704,797,681,730,727,762,546,464,677,407,896,831,882,789,828,836,904,962,877,774,785,900,897,818,879,943,854,785,875,817,867,843
508,483,591,261,365,912,349,162,716,782,673,711,710,759,544,457,657,396,890,843,918,774,820,850,904,994,898,797,773,919,916,819,881,968,871,802,902,805,880,850
480,482,595,258,364,920,347,166,684,746,661,678,709,734,536,443,659,392,888,856,937,772,817,851,921,989,932,789,781,946,909,818,895,994,869,815,946,830,929,866
474,481,581,244,348,923,344,161,662,747,654,661,692,720,554,436,639,380,894,877,953,765,805,863,928,1001,949,750,781,951,902,819,886,1004,898,830,965,836,940,856
469,481,567,244,347,913,336,154,647,739,628,629,667,695,543,427,637,369,892,871,950,756,800,862,955,1022,967,762,780,973,889,803,894,990,894,854,982,851,966,850
467,474,581,248,336,919,333,166,624,690,604,598,645,675,536,428,612,375,901,901,953,735,780,845,945,1026,995,722,764,967,876,774,897,991,902,846,1030,858,987,834
441,467,557,233,333,926,335,161,608,672,593,597,633,656,521,420,578,354,901,877,949,710,768,845,960,1044,1023,701,727,949,856,758,895,979,920,861,1045,867,983,818
431,468,536,221,304,927,321,155,564,655,573,567,609,622,531,415,570,353,885,894,957,690,744,833,965,1060,1033,663,698,968,833,733,886,978,918,855,1069,845,990,790
434,456,529,221,302,908,320,153,525,633,538,534,583,589,515,409,553,335,873,885,916,642,726,822,959,1062,1057,635,674,949,810,697,868,943,939,850,1076,849,970,751
426,456,505,214,288,902,319,152,510,592,514,499,561,571,513,412,542,346,869,883,913,631,693,788,958,1056,1063,596,641,937,781,663,834,934,955,853,1075,842,972,743
423,452,477,214,270,910,316,148,482,568,479,471,550,531,482,396,528,321,870,861,900,614,662,781,961,1054,1067,563,621,917,770,628,818,917,954,832,1099,814,961,688
409,431,465,201,263,899,300,150,455,536,458,465,519,518,462,392,513,313,867,829,848,562,636,755,931,1064,1092,547,589,898,730,596,791,901,934,814,1082,795,941,664
407,436,442,196,248,890,298,149,439,523,422,431,497,492,445,387,496,313,869,823,833,535,602,719,921,1074,1111,522,569,866,688,579,775,877,930,778,1080,772,931,638
392,416,410,186,237,875,284,143,416,508,399,407,474,469,428,378,498,300,859,802,824,513,578,702,895,1063,1105,498,531,838,653,557,751,872,938,757,1062,744,906,603
384,394,416,175,225,869,283,145,387,484,397,379,453,432,415,368,472,302,848,769,779,499,541,661,874,1038,1114,466,533,826,640,530,729,825,928,743,1054,716,879,578
386,386,396,177,229,859,273,136,383,453,356,371,417,432,402,346,458,272,834,735,765,476,530,649,861,1037,1104,441,510,797,601,500,708,798,937,708,1038,697,857,565
370,393,390,172,206,866,261,140,376,434,359,363,404,410,385,344,433,256,824,699,734,448,513,629,842,1013,1114,432,493,770,586,497,689,776,907,672,1029,661,846,560
361,385,378,160,203,858,249,136,365,422,345,337,386,385,372,341,421,249,804,684,721,429,505,599,823,997,1098,420,482,768,571,501,657,752,898,662,1022,651,844,546
345,367,379,165,205,847,240,122,367,416,333,326,360,367,361,340,403,241,813,650,717,418,492,598,796,978,1098,420,482,742,561,498,638,714,877,643,1003,623,814,527
323,367,390,166,210,837,245,123,359,387,322,332,354,373,346,331,402,236,808,649,695,421,487,581,790,957,1103,417,469,714,546,490,633,724,857,599,985,592,831,527
328,372,397,161,201,808,226,122,366,396,315,318,334,367,353,313,368,231,804,629,696,399,468,568,756,948,1068,415,459,687,539,490,615,705,837,605,972,580,814,511
323,374,392,160,210,806,219,123,376,399,322,332,324,364,347,318,351,216,799,614,690,395,460,571,755,905,1082,426,461,672,517,489,591,694,835,585,966,571,808,526
324,358,406,162,219,794,208,112,379,394,323,329,310,359,338,318,333,217,781,600,696,413,469,555,723,869,1056,419,458,662,502,494,613,687,821,569,926,571,797,529
327,365,406,163,221,783,212,111,377,382,326,330,305,357,330,316,329,216,762,595,694,422,472,548,715,862,1045,438,455,661,502,495,599,688,791,572,944,550,800,538
315,360,414,164,223,768,214,114,389,383,327,339,306,353,341,322,304,203,756,598,701,418,473,545,706,843,1032,439,461,629,480,501,596,680,764,565,911,547,819,537
310,363,411,168,224,751,201,112,392,384,319,337,298,370,334,324,286,201,745,590,702,428,472,542,680,823,1017,430,460,645,492,507,594,673,748,558,907,546,823,547
319,360,411,172,221,746,207,112,401,391,330,338,300,364,335,329,273,202,745,598,704,436,484,551,682,797,996,430,472,618,488,498,587,701,722,551,909,544,835,553
299,359,418,172,230,735,210,102,404,398,339,354,301,373,344,345,258,206,728,588,709,444,484,563,664,774,981,439,471,624,488,513,598,697,693,545,890,547,827,548
309,364,416,183,237,723,211,98,419,397,344,361,304,372,352,338,248,207,714,600,707,449,475,555,654,775,991,440,480,624,495,522,601,692,671,541,888,540,840,570
305,369,430,180,237,718,215,104,426,391,338,363,314,363,356,331,232,205,715,611,724,458,491,541,661,746,958,440,484,620,498,518,591,701,645,553,897,561,826,558
293,357,435,182,256,701,213,103,418,398,336,369,318,385,348,349,232,207,700,603,734,452,487,564,646,712,925,450,486,620,506,518,605,698,637,538,896,554,846,560
305,363,434,185,255,712,215,102,428,400,344,368,323,380,363,352,231,225,698,597,729,459,495,556,642,695,928,450,492,628,501,526,615,702,610,545,900,556,819,571
301,361,437,191,260,688,222,105,445,402,352,391,325,376,360,363,219,224,691,588,751,465,480,559,641,679,905,454,490,624,520,525,618,718,598,559,911,555,842,574
321,369,447,195,269,667,222,105,428,402,346,399,320,391,347,371,223,230,671,583,741,468,489,571,654,682,878,463,494,635,519,529,610,718,584,537,904,559,838,561
329,370,458,208,270,652,230,108,442,396,353,399,335,381,364,367,215,241,655,589,757,470,491,569,653,663,864,452,491,638,530,528,643,712,557,546,911,554,838,567
310,370,466,211,273,640,241,108,446,410,352,411,353,388,354,375,213,252,647,585,761,482,495,568,649,641,845,471,498,632,529,532,634,712,551,549,904,547,849,581
317,359,471,216,282,630,251,107,462,407,361,423,361,386,365,374,214,264,628,580,757,494,490,562,655,636,824,466,505,635,535,539,635,725,534,546,903,548,845,573
308,365,472,216,285,621,248,113,458,408,369,435,380,395,354,368,209,275,618,588,759,501,489,565,667,631,801,473,502,645,538,542,648,734,537,548,927,545,850,556
307,365,479,226,282,602,254,114,470,408,377,447,380,387,366,384,211,281,603,578,778,498,493,577,658,627,778,474,500,631,532,556,664,752,524,536,926,551,865,574
308,368,499,225,306,585,264,115,467,410,388,455,377,395,363,379,216,281,596,577,777,518,491,582,667,616,761,475,505,631,538,539,643,738,508,543,926,538,878,576
313,377,491,239,296,576,269,118,456,408,382,464,399,394,373,378,221,294,592,568,793,518,504,580,668,605,736,473,511,625,531,553,667,754,502,531,928,552,892,566
