HAL53,HAL54,HAL55,HAL56,HAL57,HAL58,HAL59,HAL60,HAL61,HAL62,HAL63,HAL64,HAL65,HAL66,HAL67,HAL68,HAL69,HAL70,HAL71,HAL72,HAL73,HAL74,HAL75,HAL76,HAL77,HAL78,HAL79,HAL80,HAL81,HAL82,HAL83,HAL84,HAL85,HAL86,HAL87,HAL88,HAL89,HAL90,HAL91,HAL92
595,839,908,793,750,715,867,512,850,848,809,669,786,855,377,643,580,703,648,864,793,846,862,861,783,416,189,832,921,888,905,844,843,916,754,680,693,672,714,874
615,870,944,786,733,719,854,507,854,879,816,688,778,882,399,650,578,705,644,914,820,872,893,884,839,442,206,848,968,915,916,866,896,979,791,739,732,714,802,901
574,884,979,801,699,719,840,501,878,914,816,670,759,913,406,651,560,685,635,955,865,883,906,936,865,479,220,894,1015,977,956,910,930,992,821,781,748,745,865,925
575,932,999,797,712,702,821,502,876,921,819,649,753,920,428,654,571,683,646,974,892,925,937,958,901,512,238,912,1037,989,1002,925,966,1037,854,817,758,787,921,951
570,951,1017,781,674,701,842,497,873,926,824,663,770,930,434,671,553,657,651,1006,926,934,958,991,928,538,246,907,1066,996,1021,944,988,1072,886,860,798,797,975,947
542,961,1030,795,659,722,828,484,890,923,831,660,752,936,441,674,539,655,643,1025,954,927,967,1023,961,576,264,942,1066,1015,1033,947,1014,1115,918,881,806,803,1026,930
552,958,1064,775,659,711,817,490,880,948,815,640,743,932,451,680,537,641,637,1037,974,941,978,1002,974,596,267,944,1078,1028,1041,947,1012,1129,954,900,827,817,1054,948
567,956,1054,760,662,718,830,480,853,940,817,607,733,931,454,651,526,621,627,1045,991,946,973,1043,1002,622,278,925,1060,1033,1043,956,1021,1151,980,937,843,817,1050,937
538,949,1052,756,653,718,804,469,840,907,803,622,733,911,442,667,509,605,629,1055,1007,936,979,1041,1025,628,285,922,1066,1013,1061,954,1016,1140,1012,946,838,831,1079,928
527,953,1045,765,630,711,790,473,827,900,773,595,718,897,443,658,496,603,644,1060,1008,927,964,1035,1020,641,296,907,1052,1018,1035,942,1032,1173,1006,925,859,828,1078,903
518,931,1009,734,610,718,792,454,813,885,783,570,706,887,431,649,492,584,631,1055,997,898,907,1021,1009,644,295,878,1005,986,1038,934,1020,1158,1011,927,842,815,1064,873
499,895,982,723,604,704,763,447,794,868,742,571,684,867,434,653,486,568,617,1057,979,881,893,1011,993,653,304,845,992,971,1025,921,1014,1146,1017,934,856,807,1055,841
