Left_Optic_Radiation_V1V2,Right_Optic_Radiation_V1V2,Left_MR,Right_MR,Left_DT,Right_DT,Left_AR,Right_AR,Left_SR,Right_SR
556,602,1963,2002,1727,1558,279,300,1167,1336
612,630,2244,2166,2200,1923,343,370,1194,1358
659,689,2451,2369,2624,2223,430,487,1208,1402
730,718,2597,2496,2939,2438,535,604,1249,1448
789,753,2771,2644,3203,2685,616,712,1281,1511
823,793,2886,2742,3440,2833,716,813,1286,1547
855,818,2986,2805,3636,2969,799,910,1320,1609
888,835,3057,2898,3815,3080,895,1001,1340,1620
913,846,3143,2990,3907,3201,992,1107,1346,1663
922,873,3204,3017,3998,3285,1085,1184,1376,1676
949,901,3255,3099,4058,3364,1172,1292,1381,1700
968,909,3306,3091,4152,3413,1238,1356,1388,1729
976,918,3336,3156,4155,3470,1294,1436,1397,1743
994,929,3367,3185,4244,3504,1386,1485,1411,1771
1034,955,3389,3249,4262,3506,1448,1561,1425,1775
1029,974,3370,3218,4321,3547,1510,1619,1428,1791
1059,984,3414,3239,4342,3607,1561,1668,1445,1798
1082,1005,3428,3265,4387,3634,1613,1716,1448,1835
1144,1036,3417,3271,4421,3584,1672,1754,1448,1844
1159,1062,3475,3333,4435,3639,1706,1800,1455,1862
1204,1083,3505,3333,4434,3626,1739,1865,1465,1889
1207,1108,3496,3322,4541,3651,1798,1923,1474,1925
1258,1149,3532,3356,4560,3656,1837,1958,1492,1931
1278,1173,3545,3380,4579,3633,1873,2017,1518,1966
1306,1193,3544,3386,4574,3656,1934,2061,1542,1988
1338,1211,3552,3388,4619,3685,1998,2108,1560,2005
1358,1224,3573,3417,4677,3688,2013,2138,1587,2043
1366,1261,3590,3445,4680,3674,2043,2199,1623,2079
1402,1268,3591,3441,4695,3689,2060,2244,1647,2125
1408,1260,3601,3448,4714,3665,2103,2281,1647,2155
1413,1281,3617,3479,4727,3701,2141,2317,1663,2197
1432,1283,3625,3503,4699,3691,2157,2393,1707,2240
1415,1289,3647,3516,4745,3667,2177,2398,1716,2293
1419,1302,3670,3552,4689,3655,2232,2435,1749,2315
1424,1300,3667,3561,4698,3638,2247,2507,1762,2335
1412,1306,3731,3575,4652,3627,2285,2543,1793,2362
1437,1308,3749,3615,4654,3663,2300,2575,1826,2377
1430,1307,3771,3622,4658,3624,2313,2633,1832,2439
1436,1289,3813,3596,4656,3632,2339,2659,1864,2467
1427,1288,3807,3678,4618,3617,2389,2710,1870,2509
1422,1294,3825,3683,4570,3580,2398,2783,1881,2527
1435,1290,3899,3703,4557,3540,2427,2812,1899,2545
1424,1287,3897,3752,4492,3515,2464,2845,1929,2607
1403,1289,3925,3791,4499,3536,2478,2923,1951,2640
1392,1272,3965,3838,4504,3503,2500,2936,1959,2629
1396,1266,3969,3811,4447,3480,2506,2980,1959,2663
1392,1271,4001,3824,4385,3406,2543,3037,1969,2657
1389,1281,4030,3856,4370,3413,2566,3039,1988,2685
1387,1257,4055,3871,4352,3384,2560,3062,2002,2706
1383,1252,4058,3921,4319,3312,2576,3116,2015,2745
1362,1240,4086,3924,4270,3285,2624,3137,2034,2748
1370,1225,4144,3944,4248,3230,2638,3153,2071,2724
1341,1197,4146,3960,4175,3174,2647,3198,2077,2782
1331,1205,4124,3961,4160,3152,2632,3199,2105,2741
1329,1206,4167,4003,4168,3117,2635,3209,2100,2750
1318,1179,4197,3984,4107,3036,2611,3184,2104,2764
1315,1169,4245,4005,4057,3042,2637,3211,2139,2760
1328,1156,4222,3977,4050,3006,2634,3182,2167,2755
1294,1144,4248,4010,3970,2980,2601,3166,2195,2753
1307,1125,4254,4027,3934,2946,2613,3150,2227,2751
1276,1106,4319,4074,3928,2905,2630,3157,2218,2770
1268,1078,4315,4022,3893,2861,2594,3154,2237,2752
