Left_Optic_Radiation_V1V2,Right_Optic_Radiation_V1V2,Left_MR,Right_MR,Left_DT,Right_DT,Left_AR,Right_AR,Left_SR,Right_SR
445,483,1766,1871,816,1247,220,250,1016,1304
479,471,1836,1952,859,1300,229,269,1039,1276
531,518,1920,2091,879,1358,262,303,1042,1316
584,560,2050,2147,958,1410,301,330,1038,1347
652,588,2160,2271,963,1459,329,374,1074,1399
706,622,2236,2353,1005,1515,368,395,1065,1411
741,657,2312,2415,1024,1571,394,425,1078,1426
800,658,2380,2474,1053,1596,422,461,1097,1453
819,694,2406,2563,1088,1617,456,486,1096,1455
879,715,2451,2605,1068,1629,488,524,1090,1473
903,749,2503,2632,1093,1643,508,543,1089,1495
961,780,2523,2675,1077,1656,530,573,1084,1509
991,821,2482,2699,1105,1656,551,588,1106,1520
1036,857,2511,2730,1103,1637,561,619,1096,1530
1109,897,2495,2767,1111,1632,590,641,1093,1549
1169,947,2501,2787,1097,1673,613,655,1082,1565
1229,988,2480,2755,1114,1635,627,672,1089,1589
1275,1025,2526,2763,1105,1642,648,691,1079,1596
1338,1085,2492,2778,1122,1641,650,711,1097,1599
1406,1127,2515,2773,1096,1636,676,742,1104,1617
1460,1169,2495,2789,1109,1640,672,763,1100,1637
1504,1202,2506,2800,1093,1639,680,762,1092,1643
1567,1240,2488,2788,1090,1620,698,785,1093,1641
1597,1283,2499,2828,1088,1620,708,801,1105,1667
1660,1318,2489,2808,1075,1595,711,808,1087,1657
1691,1323,2508,2828,1074,1556,718,844,1110,1691
1718,1378,2528,2836,1092,1577,710,873,1115,1695
1724,1385,2525,2831,1079,1552,732,885,1132,1723
1731,1403,2519,2842,1052,1556,743,903,1142,1730
1739,1430,2519,2833,1065,1563,748,912,1148,1717
1753,1472,2533,2866,1066,1535,765,925,1165,1768
1798,1481,2541,2875,1051,1500,770,944,1188,1797
1794,1497,2558,2899,1036,1502,769,980,1218,1806
1796,1536,2555,2902,1026,1515,784,1004,1222,1813
1830,1536,2567,2924,1021,1498,803,1024,1231,1816
1833,1562,2562,2934,1018,1468,804,1045,1253,1823
1815,1577,2608,2968,1007,1453,811,1069,1265,1861
1833,1579,2599,2968,997,1449,829,1085,1286,1881
1805,1569,2641,2999,988,1450,834,1102,1326,1872
1827,1549,2676,2997,989,1429,838,1153,1329,1870
1833,1565,2654,3020,972,1414,849,1184,1353,1877
1819,1565,2683,3011,962,1393,840,1208,1384,1892
1819,1598,2689,3051,968,1382,855,1244,1397,1870
1834,1592,2694,3041,967,1369,877,1271,1413,1875
1839,1618,2709,3074,951,1351,869,1308,1407,1889
1840,1630,2758,3083,923,1314,901,1332,1428,1884
1839,1591,2754,3082,907,1301,881,1362,1438,1913
1842,1590,2766,3082,909,1281,885,1364,1448,1893
1823,1614,2767,3077,893,1250,913,1386,1454,1882
1841,1613,2781,3066,897,1228,917,1422,1475,1896
1846,1600,2776,3089,881,1191,931,1440,1483,1907
1832,1620,2787,3090,875,1185,954,1467,1487,1916
1822,1606,2811,3083,859,1149,957,1471,1470,1913
1839,1617,2824,3067,833,1111,965,1495,1507,1912
1808,1603,2831,3081,825,1089,954,1499,1500,1910
1812,1551,2813,3055,790,1044,965,1470,1493,1917
1823,1555,2842,3038,762,1011,999,1464,1524,1903
1803,1556,2813,3031,740,985,990,1478,1513,1880
1810,1560,2828,3007,713,953,987,1460,1499,1885
1800,1524,2863,3041,698,913,993,1450,1516,1886
1777,1524,2886,3048,690,870,1017,1439,1516,1873
1745,1496,2863,3023,674,841,996,1399,1511,1902
1742,1491,2858,3039,642,793,1010,1341,1529,1872
1751,1493,2885,2997,610,763,1003,1339,1546,1868
1716,1475,2868,3008,589,714,988,1325,1546,1878
1724,1470,2907,3002,565,695,979,1271,1551,1872
1711,1482,2904,2994,555,657,974,1250,1558,1878
1677,1454,2901,3004,534,620,981,1251,1562,1877
1671,1432,2910,2972,501,605,966,1190,1591,1860
1644,1428,2941,2974,501,568,951,1189,1600,1876
1665,1409,2946,2974,490,543,953,1165,1612,1859
1637,1400,2918,2966,464,521,932,1141,1642,1864
1622,1382,2936,2954,451,502,913,1119,1625,1862
1624,1391,2935,2928,441,496,911,1088,1632,1874
1653,1360,2922,2957,429,481,892,1061,1638,1866
1637,1385,2945,2923,407,457,876,1041,1641,1833
1648,1354,2913,2923,393,449,850,1012,1638,1862
1645,1362,2883,2887,383,444,846,990,1642,1832
1620,1358,2866,2878,368,430,827,952,1638,1841
1642,1342,2847,2854,356,424,812,930,1613,1814
1624,1351,2803,2812,345,425,787,894,1613,1812
1653,1345,2794,2798,329,416,779,864,1609,1795
1642,1366,2742,2772,325,403,740,818,1591,1793
1661,1396,2722,2748,318,400,732,798,1567,1775
1665,1387,2699,2689,314,383,679,771,1544,1766
1652,1379,2664,2643,293,372,669,719,1522,1743
1652,1377,2639,2640,279,369,658,676,1464,1735
1668,1379,2599,2591,272,359,629,658,1436,1693
1658,1423,2533,2560,256,334,607,607,1417,1664
1682,1395,2479,2491,252,319,556,593,1387,1646
1661,1379,2438,2407,235,308,532,563,1336,1650
1654,1368,2346,2337,223,291,486,522,1308,1602
1646,1356,2283,2263,223,288,461,490,1287,1557
1642,1341,2216,2181,216,289,421,469,1236,1524
1626,1352,2144,2082,208,271,393,440,1206,1508
1596,1321,2029,1979,192,253,354,394,1172,1481
1574,1313,1937,1875,173,227,312,366,1133,1448
1506,1287,1846,1797,176,205,282,341,1149,1424
1499,1232,1750,1762,159,184,244,329,1067,1347
1453,1248,1754,1726,165,178,235,302,1187,1428
