HAL7,HAL8,HAL9,HAL10,HAL11,HAL12,HAL13,HAL14,HAL15,HAL16,HAL17,HAL18,HAL19,HAL20,HAL21,HAL22,HAL23,HAL24,HAL25,HAL26,HAL27,HAL28,HAL29,HAL30,HAL31,HAL32,HAL33,HAL34,HAL35,HAL36,HAL37,HAL38,HAL39,HAL40,HAL41,HAL42,HAL43,HAL44,HAL45,HAL46
651,696,675,609,630,548,656,383,737,602,577,583,566,632,668,707,707,693,846,667,634,635,635,628,493,321,249,640,672,669,657,658,705,512,597,637,683,639,716,682
615,691,676,583,606,548,647,369,694,581,571,573,546,610,652,662,681,669,842,665,622,630,621,608,484,318,250,604,639,656,646,652,712,492,591,625,682,609,703,685
607,699,658,585,604,516,626,376,668,568,547,551,530,595,652,670,662,645,832,666,589,621,611,612,501,313,275,608,644,636,642,627,694,511,624,621,706,642,697,677
594,692,663,573,587,509,611,366,654,540,526,550,509,580,628,648,672,639,815,680,595,592,600,578,500,320,275,591,644,653,629,619,690,507,621,636,715,627,721,686
594,699,655,558,569,509,595,367,624,538,526,520,489,577,602,627,654,643,812,666,558,575,603,585,514,330,286,572,626,642,628,593,672,507,617,642,730,634,731,674
583,690,654,549,572,507,591,370,617,529,527,508,489,555,580,634,649,634,808,682,560,572,575,579,514,337,293,564,620,628,632,584,665,499,626,633,727,633,726,673
575,686,663,530,542,498,585,353,613,493,514,500,461,543,564,613,635,623,805,694,571,566,574,580,522,352,286,556,623,620,603,580,664,496,622,645,734,626,741,670
564,690,652,534,520,497,565,357,603,507,515,486,458,536,549,618,629,618,797,674,550,556,560,587,525,359,291,553,605,610,608,566,670,511,647,656,742,636,755,676
544,702,657,521,512,482,558,355,583,482,501,477,462,538,549,601,618,604,776,684,565,558,556,577,535,344,296,527,597,611,580,569,660,504,641,634,756,648,747,669
540,698,676,509,508,481,556,356,575,488,494,474,452,534,534,578,589,609,777,682,567,547,553,562,548,350,311,530,606,609,588,566,658,531,664,650,760,631,759,668
514,709,668,504,482,469,527,365,561,488,493,454,443,505,522,564,586,584,783,690,547,552,549,586,543,362,306,528,593,598,582,560,650,520,667,645,750,624,758,664
496,717,671,484,470,470,539,362,549,484,465,430,425,506,518,566,579,591,769,681,564,545,548,563,548,364,313,508,587,604,572,557,669,520,648,644,768,612,744,650
500,712,672,463,447,464,523,359,519,481,466,417,409,509,488,541,576,565,761,681,546,540,546,571,560,366,318,510,573,604,561,541,661,517,660,619,740,600,736,657
490,714,665,454,432,454,506,355,511,475,448,396,400,480,480,533,552,564,762,696,546,524,530,567,561,368,325,515,579,596,566,536,672,523,664,613,740,593,733,625
470,694,649,440,420,446,508,359,494,468,430,379,382,479,458,512,534,554,744,707,530,523,526,549,566,356,329,490,570,590,559,533,667,519,655,606,738,572,718,629
