HAL7,HAL8,HAL9,HAL10,HAL11,HAL12,HAL13,HAL14,HAL15,HAL16,HAL17,HAL18,HAL19,HAL20,HAL21,HAL22,HAL23,HAL24,HAL25,HAL26,HAL27,HAL28,HAL29,HAL30,HAL31,HAL32,HAL33,HAL34,HAL35,HAL36,HAL37,HAL38,HAL39,HAL40,HAL41,HAL42,HAL43,HAL44,HAL45,HAL46
713,672,820,792,672,922,713,586,734,867,743,410,796,806,718,797,631,568,960,352,771,728,749,435,367,227,229,751,652,622,722,734,750,435,619,570,542,645,659,660
668,705,847,777,637,912,731,562,718,861,734,395,799,826,722,772,625,572,957,365,753,748,761,449,388,239,237,764,690,641,746,766,740,434,658,612,575,652,680,648
655,721,870,745,608,891,730,560,713,867,760,378,777,795,731,760,626,550,951,369,747,761,778,450,405,222,256,780,674,636,748,770,742,433,670,627,581,637,684,651
644,715,887,745,594,888,741,545,716,884,764,376,781,813,720,751,628,542,960,374,727,770,786,468,397,238,262,789,690,655,758,770,730,438,694,633,609,638,721,673
625,752,882,726,588,880,751,520,721,876,768,357,775,795,749,757,603,542,934,380,743,796,783,466,394,238,275,789,680,666,778,775,751,424,725,667,627,635,742,692
596,760,916,704,566,885,759,515,707,876,776,351,773,784,737,750,600,524,949,401,764,813,780,482,399,235,285,800,715,688,797,790,743,459,756,673,643,633,750,715
579,789,937,689,552,887,744,516,698,896,746,348,755,795,729,756,595,511,942,424,744,806,801,483,407,241,290,793,688,684,803,802,758,445,765,699,659,635,773,715
564,805,918,675,536,876,748,501,683,847,766,351,747,795,721,739,577,500,931,422,761,782,804,498,415,237,289,808,700,709,823,811,755,447,794,717,650,622,792,722
555,795,908,640,508,865,735,484,668,859,739,353,732,774,713,745,573,485,921,423,747,789,779,478,401,255,297,794,693,692,827,797,767,454,814,746,702,637,806,711
537,806,900,624,498,841,721,464,664,826,734,347,741,769,694,739,570,474,913,424,754,752,782,495,429,244,304,781,673,704,825,814,768,444,840,759,696,624,815,730
502,789,875,616,466,834,714,454,644,797,712,342,703,741,681,728,565,457,922,422,727,740,758,489,426,252,305,781,664,716,810,800,772,464,842,761,710,642,824,705
508,799,883,589,447,819,696,438,624,805,700,334,694,722,682,704,554,450,913,426,733,715,749,480,417,251,297,759,632,706,808,767,775,445,878,775,724,614,818,698
480,783,846,568,438,837,663,435,600,770,674,319,683,695,640,690,543,449,913,422,723,692,734,467,423,253,302,754,618,734,812,751,756,459,880,766,722,611,817,681
